ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Hometown/Last_School,Player_URL,
USC,MBBALL,2011-2012,4,Tyler Sugiyama,Sugiyama,Tyler,Guard,5/10/13,150,RS SO,"Winnetka, Ill. (New Trier HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/sugiyama_tyler00.html,
USC,MBBALL,2011-2012,42,Curtis Washington,Washington,Curtis,Forward,6/10/13,245,SO,"Elizabethtown, Ky. (Elizabethtown HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/washington_curtis00.html,
USC,MBBALL,2011-2012,25,Byron Wesley,Wesley,Byron,Guard,6/5/13,210,FR,"Etiwanda, Calif. (Etiwanda)",http://www.usctrojans.com/sports/m-baskbl/mtt/wesley_byron00.html,
USC,MBBALL,2011-2012,34,Eric Wise,Wise,Eric,Forward,6/6/13,240,SR,"Riverside, Calif. (King)",http://www.usctrojans.com/sports/m-baskbl/mtt/wise_eric00.html,
USC,MBBALL,2010-2011,3,James Dunleavy,Dunleavy,James,Guard,6/6/13,195,RS JR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/dunleavy_james00.html,
USC,MBBALL,2010-2011,2,Jio Fontan,Fontan,Jio,Guard,6/1/00,175,JR,"Paterson, N.J. (St. Anthony's)",http://www.usctrojans.com/sports/m-baskbl/mtt/fontan_jio00.html,
USC,MBBALL,2010-2011,21,Aaron Fuller,Fuller,Aaron,Forward,6/6/13,235,JR,"Mesa, Ariz. (Mesa)",http://www.usctrojans.com/sports/m-baskbl/mtt/fuller_aaron00.html,
USC,MBBALL,2010-2011,33,Garrett Jackson,Jackson,Garrett,Forward,6/6/13,215,FR,"Portland, Ore. (Westview)",http://www.usctrojans.com/sports/m-baskbl/mtt/jackson_garrett00.html,
USC,MBBALL,2010-2011,10,Maurice Jones,Jones,Maurice,Guard,5/7/13,155,FR,"Saginaw, Mich. (Arthur Hill)",http://www.usctrojans.com/sports/m-baskbl/mtt/jones_maurice00.html,
USC,MBBALL,2010-2011,35,Daniel Munoz,Munoz,Daniel,Guard,5/10/13,175,SO,"Coto de Caza, Calif. (Santa Margarita)",http://www.usctrojans.com/sports/m-baskbl/mtt/munoz_daniel00.html,
USC,MBBALL,2010-2011,43,Marcus Simmons,Simmons,Marcus,Guard,6/6/13,220,SR,"Alexandria, La. (Peabody High)",http://www.usctrojans.com/sports/m-baskbl/mtt/simmons_marcus00.html,
USC,MBBALL,2010-2011,14,Donte Smith,Smith,Donte,Guard,5/11/13,180,RS SR,"Pomona, Calif. (Diamond Ranch)",http://www.usctrojans.com/sports/m-baskbl/mtt/smith_donte00.html,
USC,MBBALL,2010-2011,22,Evan Smith,Smith,Evan,Forward,6/7/13,225,SO,"Calabasas, Calif. (Calabasas HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/smith_evan00.html,
USC,MBBALL,2010-2011,1,Alex Stepheson,Stepheson,Alex,Forward,6/10/13,250,RS SR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/stepheson_alex00.html,
USC,MBBALL,2010-2011,20,Eric Strangis,Strangis,Eric,Guard,6/4/13,190,JR,"La Crescenta, Calif. (Crescenta Valley)",http://www.usctrojans.com/sports/m-baskbl/mtt/strangis_eric00.html,
USC,MBBALL,2010-2011,4,Tyler Sugiyama,Sugiyama,Tyler,Guard,5/10/13,150,RS FR,"Winnetka, Ill. (New Trier HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/sugiyama_tyler00.html,
USC,MBBALL,2010-2011,5,Nikola Vucevic,Vucevic,Nikola,Forward,6/10/13,240,JR,"Bar, Montenegro (Stoneridge Prep)",http://www.usctrojans.com/sports/m-baskbl/mtt/vucevic_nikola00.html,
USC,MBBALL,2010-2011,42,Curtis Washington,Washington,Curtis,Forward,6/10/13,230,FR,"Elizabethtown, Ky. (Elizabethtown HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/washington_curtis00.html,
USC,MBBALL,2009-2010,43,Kasey Cunningham,Cunningham,Kasey,Forward,6/7/13,225,RS JR,"Albuquerque, N.M. (Cibola High)",http://www.usctrojans.com/sports/m-baskbl/mtt/cunningham_kasey00.html,
USC,MBBALL,2009-2010,3,James Dunleavy,Dunleavy,James,Guard,6/6/13,195,RS SO,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/dunleavy_james00.html,
USC,MBBALL,2009-2010,34,Korri Ennis,Ennis,Korri,Guard,6/1/00,180,RS SO,"Brandon, Fla. (Brandon HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/ennis_korri00.html,
USC,MBBALL,2009-2010,44,Mike Gerrity,Gerrity,Mike,Guard,6/1/13,180,RS SR,"Yorba Linda, Calif. (Mater Dei)",http://www.usctrojans.com/sports/m-baskbl/mtt/gerrity_mike00.html,
USC,MBBALL,2009-2010,0,Marcus Johnson,Johnson,Marcus,Forward,6/6/13,210,RS SR,"Los Angeles, Calif. (Westchester)",http://www.usctrojans.com/sports/m-baskbl/mtt/johnson_marcus00.html,
USC,MBBALL,2009-2010,21,Dwight Lewis,Lewis,Dwight,Guard,6/5/13,215,SR,"Metairie, La. (Taylor High (TX))",http://www.usctrojans.com/sports/m-baskbl/mtt/lewis_dwight00.html,
USC,MBBALL,2009-2010,15,Percy Miller,Miller,Percy,Guard,5/11/13,170,SO,"New Orleans, La. (Beverly Hills)",http://www.usctrojans.com/sports/m-baskbl/mtt/miller_percy00.html,
USC,MBBALL,2009-2010,35,Daniel Munoz,Munoz,Daniel,Guard,5/10/13,175,FR,"Coto de Caza, Calif. (Santa Margarita)",http://www.usctrojans.com/sports/m-baskbl/mtt/munoz_daniel00.html,
USC,MBBALL,2009-2010,13,Davis Rozitis,Rozitis,Davis,Forward/Center,7/1/00,215,FR,"Cesis, Latvia (Cesis State Grammar School)",http://www.usctrojans.com/sports/m-baskbl/mtt/rozitis_davis00.html,
USC,MBBALL,2009-2010,20,Marcus Simmons,Simmons,Marcus,Guard,6/6/13,200,JR,"Alexandria, La. (Peabody High)",http://www.usctrojans.com/sports/m-baskbl/mtt/simmons_marcus00.html,0
USC,MBBALL,2009-2010,14,Donte Smith,Smith,Donte,Guard,5/11/13,180,RS JR,"Pomona, Calif. (Diamond Ranch)",http://www.usctrojans.com/sports/m-baskbl/mtt/smith_donte00.html,
USC,MBBALL,2009-2010,22,Evan Smith,Smith,Evan,Forward,6/7/13,210,FR,"Calabasas, Calif. (Calabasas HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/smith_evan00.html,
USC,MBBALL,2009-2010,1,Alex Stepheson,Stepheson,Alex,Forward,6/9/13,235,RS JR,"Los Angeles, Calif. (Harvard-Westlake)",http://www.usctrojans.com/sports/m-baskbl/mtt/stepheson_alex00.html,
USC,MBBALL,2009-2010,10,Tyler Sugiyama,Sugiyama,Tyler,Guard,5/10/13,150,FR,"Winnetka, Ill. (New Trier HS)",http://www.usctrojans.com/sports/m-baskbl/mtt/sugiyama_tyler00.html,
