ID_School,ID_Sport,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL
ORE,FBALL,2011-2012,1,Josh Huff,Josh,Huff,WR,5/11/13,207,So.,"Houston, Texas (Nimitz HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971243
ORE,FBALL,2011-2012,2,Bryan Bennett,Bryan,Bennett,QB,6/3/13,205,RFr.,"Encino, Calif. (Crespi HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971236
ORE,FBALL,2011-2012,2,Troy Hill,Troy,Hill,DB,5/11/13,165,RFr.,"Youngstown, Ohio (St. Bonaventure)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204999998
ORE,FBALL,2011-2012,3,Dior Mathis,Dior,Mathis,CB,5/9/13,174,RFr.,"Detroit, Mich. (Cass Tech HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204920078
ORE,FBALL,2011-2012,4,Erick Dargan,Erick,Dargan,DB,5/11/13,200,RFr.,"Pittsburg, Calif. (Pittsburg)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971086
ORE,FBALL,2011-2012,5,Issac Dixon,Issac,Dixon,DB,5/11/13,185,Fr.,"Opa Locka, Fla. (Monsignor Pace HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205125579
ORE,FBALL,2011-2012,5,Darron Thomas,Darron,Thomas,QB,6/3/13,215,Jr.,"Houston, Texas (Aldine HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550474
ORE,FBALL,2011-2012,6,De'Anthony Thomas,De'Anthony,Thomas,RB,5/9/13,173,Fr.,"Los Angeles, Calif. (Crenshaw HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238473
ORE,FBALL,2011-2012,7,Keanon Lowe,Keanon,Lowe,WR,5/9/13,177,RFr.,"Portland, Ore. (Jesuit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971244
ORE,FBALL,2011-2012,8,Marcus Mariota,Marcus,Mariota,QB,6/4/13,200,Fr.,"Honolulu, Hawaii (St. Louis HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238133
ORE,FBALL,2011-2012,9,Blake Cantu,Blake,Cantu,WR,6/1/00,203,So.,"Southlake, Tex. (Southlake Carroll HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=3719819
ORE,FBALL,2011-2012,10,Rahsaan Vaughn,Rahsaan,Vaughn,WR,6/2/13,192,Jr.,"Oakland, Calif. (College of San Mateo) (Washington HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238572
ORE,FBALL,2011-2012,11,Eddie Pleasant,Eddie,Pleasant,ROV,5/11/13,210,Sr.,"La Palma, Calif. (Kennedy HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1149816
ORE,FBALL,2011-2012,12,Devon Blackmon,Devon,Blackmon,WR,6/1/13,177,Fr.,"Fontana, Calif. (Summit HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205237404
ORE,FBALL,2011-2012,12,Brian Jackson,Brian,Jackson,DB,5/10/13,194,So.,"Hoover, Ala. (Hoover HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773869
ORE,FBALL,2011-2012,14,Ifo Ekpre-Olomu,Ifo,Ekpre-Olomu,CB,5/10/13,182,Fr.,"Chino Hills, Calif. (Chino Hills HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205237521
ORE,FBALL,2011-2012,14,Dustin Haines,Dustin,Haines,QB,6/3/13,204,So.,"Eugene, Ore. (South Eugene HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773859
ORE,FBALL,2011-2012,16,Daryle Hawkins,Daryle,Hawkins,WR,6/4/13,197,So.,"Omaha, Neb. (Omaha Central HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773775
ORE,FBALL,2011-2012,17,Antwan Baker,Antwan,Baker,RB,5/7/13,170,Fr.,"Portland, Ore. (David Douglas HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205312386
ORE,FBALL,2011-2012,17,James Scales,James,Scales,DB,5/10/13,185,RFr.,"Greensboro, N.C. (Northern Guilford)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204920086
ORE,FBALL,2011-2012,18,Brennan Doty,Brennan,Doty,QB,6/2/13,185,Fr.,"Port Neches, Texas (Port Neches-Groves HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205237444
ORE,FBALL,2011-2012,18,Anthony Gildon,Anthony,Gildon,CB,6/1/13,180,Sr.,"Simi Valley, Calif. (Oaks Christian HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1149786
ORE,FBALL,2011-2012,19,Eric Dungy,Eric,Dungy,WR,6/1/13,183,RFr.,"Tampa, Fla. (Plant HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971241
ORE,FBALL,2011-2012,20,John Boyett,John,Boyett,FS,5/10/13,202,Jr.,"Napa, Calif. (Napa HS)",http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550409
