ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,Height,Weight,Year,Hometown/Prior_School,Player_URL
ND,FBALL,2005-2006,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,4-Jun,260,JR,"Randallstown, MD/The Gilman School",http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
ND,FBALL,2005-2006,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,2-Jun,203,JR,"Burke, VA/Robinson",http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2005-2006,49,Matt Augustyn,Augustyn,Matt,Running back,3-Jun,220,JR,"Chevy Chase, Md./Our Lady of Good Counsel",http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2005-2006,58,Abdel Banda,Banda,Abdel,Linebacker,1-Jun,220,SO,"Morristown, NJ/Delbarton",http://www.und.com/sports/m-footbl/mtt/banda_abdel00.html
ND,FBALL,2005-2006,90,Brian Beidatsch,Beidatsch,Brian,Defensive Line,3-Jun,294,SR,"Milwaukee, WI/Marquette",http://www.und.com/sports/m-footbl/mtt/beidatsch_brian00.html
ND,FBALL,2005-2006,59,James Bent,Bent,James,Offensive Line,2-Jun,265,SR,"Mishawaka, IN/Mishawaka",http://www.und.com/sports/m-footbl/mtt/bent_james00.html
ND,FBALL,2005-2006,53,Joseph Boland,Boland,Joseph,Linebacker,2-Jun,242,SR,"Drexel Hill, PA/Monsignor Bonner",http://www.und.com/sports/m-footbl/mtt/boland_joseph00.html
ND,FBALL,2005-2006,71,James Bonelli,Bonelli,James,Offensive Line,5-Jun,280,SR,"Camarillo, CA/St. Bonaventure",http://www.und.com/sports/m-footbl/mtt/bonelli_james00.html
ND,FBALL,2005-2006,56,Nick Borseti,Borseti,Nick,Linebacker,4-Jun,238,JR,"Saugus, MA/St. John's Prep",http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2005-2006,7,Darrin Bragg,Bragg,Darrin,Wide Receiver,1-Jun,192,SO,"San Jose, CA/Bellarmine Prep",http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2005-2006,52,Joe Brockington,Brockington,Joe,Linebacker,1-Jun,212,JR,"Palmyra, PA/Palmyra",http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2005-2006,94,Justin Brown,Brown,Justin,Defensive Line,3-Jun,247,SO,"Clinton, MD/Bishop McNamara",http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2005-2006,27,David Bruton,Bruton,David,Defensive Back,2-Jun,187,FR,"Miamisburg, OH/Miamisburg",http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2005-2006,91,Craig Cardillo,Cardillo,Craig,Kicker,Jun-00,175,JR,"Hauppauge, NY/Hauppauge",http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
ND,FBALL,2005-2006,89,John Carlson,Carlson,John,Tight End,6-Jun,254,JR,"Litchfield, MN/Litchfield",http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2005-2006,31,Jake Carney,Carney,Jake,Defensive Back,Jun-00,187,SR,"Lexington, KY/Lexington Catholic",http://www.und.com/sports/m-footbl/mtt/carney_jake00.html
ND,FBALL,2005-2006,93,Dan Chervanick,Chervanick,Dan,Defensive Line,1-Jun,259,SR,"Leesport, PA/Holy Name",http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
ND,FBALL,2005-2006,40,Maurice Crum Jr.,Crum Jr.,Maurice,Linebacker,Jun-00,220,SO,"Riverview, FL/Tamba Bay Tech",http://www.und.com/sports/m-footbl/mtt/crumjr_maurice00.html
ND,FBALL,2005-2006,60,Casey Cullen,Cullen,Casey,Defensive Line,1-Jun,238,JR,"Victoria, TX/St. Joseph",http://www.und.com/sports/m-footbl/mtt/cullen_casey00.html
ND,FBALL,2005-2006,72,Paul Duncan,Duncan,Paul,Offensive Line,7-Jun,292,FR,"Dallas, GA/East Paulding",http://www.und.com/sports/m-footbl/mtt/duncan_paul00.html
ND,FBALL,2005-2006,24,Brandon Erickson,Erickson,Brandon,Wide Receiver,Jun-00,178,SO,"Marlboro, NJ/Marlboro",http://www.und.com/sports/m-footbl/mtt/erickson_brandon00.html
ND,FBALL,2005-2006,88,Anthony Fasano,Fasano,Anthony,Tight End,5-Jun,255,SR,"Verona, NJ/Verona",http://www.und.com/sports/m-footbl/mtt/fasano_anthony00.html
ND,FBALL,2005-2006,15,Leo Ferrine,Ferrine,Leo,Defensive Back,Jun-00,186,SO,"Springfield, NJ/St. Peter's Prep",http://www.und.com/sports/m-footbl/mtt/ferrine_leo00.html
ND,FBALL,2005-2006,54,David Fitzgerald,Fitzgerald,David,Offensive Line,4-Jun,293,SR,"Godfrey, IL/Marquette Catholic",http://www.und.com/sports/m-footbl/mtt/fitzgerald_david00.html
ND,FBALL,2005-2006,19,D.J. Fitzpatrick,Fitzpatrick,D.J.,Kicker/Punter,2-Jun,206,SR,"Granger, IN/Marian",http://www.und.com/sports/m-footbl/mtt/fitzpatrick_dj00.html
ND,FBALL,2005-2006,87,Marcus Freeman,Freeman,Marcus,Tight End,3-Jun,245,SR,"St. Paul, MN/Cretin-Derham Hall",http://www.und.com/sports/m-footbl/mtt/freeman_marcus00.html
ND,FBALL,2005-2006,75,Chris Frome,Frome,Chris,Defensive Line,5-Jun,268,SR,"Saugus, CA/Newhall Hart",http://www.und.com/sports/m-footbl/mtt/frome_chris00.html
ND,FBALL,2005-2006,45,Carl Gioia,Gioia,Carl,Kicker,10-May,183,JR,"Valparaiso, IN/Valparaiso",http://www.und.com/sports/m-footbl/mtt/gioia_carl00.html
ND,FBALL,2005-2006,17,Dan Gorski,Gorski,Dan,Quarterback,3-Jun,196,FR,"Omaha, NE/Creighton Prep",http://www.und.com/sports/m-footbl/mtt/gorski_dan00.html
ND,FBALL,2005-2006,11,David Grimes,Grimes,David,Wide Receiver,Jun-00,170,FR,"Detroit, MI/DePorres",http://www.und.com/sports/m-footbl/mtt/grimes_david00.html
