ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Height_Feet,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2005-2006,95,Victor Abiamiri,Abiamiri,Victor,Defensive Line,DL,6'4,76,6.3333308,260,JR,"Randallstown, MD",Randallstown,MD,The Gilman School,http://www.und.com/sports/m-footbl/mtt/abiamiri_victor00.html
ND,FBALL,2005-2006,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,WR,6'2,74,6.1666642,203,JR,"Burke, VA",Burke,VA,Robinson,http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2005-2006,49,Matt Augustyn,Augustyn,Matt,Running back,RB,6'3,75,6.2499975,220,JR,"Chevy Chase, MD",Chevy Chase,MD,Our Lady of Good Counsel,http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2005-2006,58,Abdel Banda,Banda,Abdel,Linebacker,LB,6'1,73,6.0833309,220,SO,"Morristown, NJ",Morristown,NJ,Delbarton,http://www.und.com/sports/m-footbl/mtt/banda_abdel00.html
ND,FBALL,2005-2006,90,Brian Beidatsch,Beidatsch,Brian,Defensive Line,DL,6'3,75,6.2499975,294,SR,"Milwaukee, WI",Milwaukee,WI,Marquette,http://www.und.com/sports/m-footbl/mtt/beidatsch_brian00.html
ND,FBALL,2005-2006,59,James Bent,Bent,James,Offensive Line,OL,6'2,74,6.1666642,265,SR,"Mishawaka, IN",Mishawaka,IN,Mishawaka,http://www.und.com/sports/m-footbl/mtt/bent_james00.html
ND,FBALL,2005-2006,53,Joseph Boland,Boland,Joseph,Linebacker,LB,6'2,74,6.1666642,242,SR,"Drexel Hill, PA",Drexel Hill,PA,Monsignor Bonner,http://www.und.com/sports/m-footbl/mtt/boland_joseph00.html
ND,FBALL,2005-2006,71,James Bonelli,Bonelli,James,Offensive Line,OL,6'5,77,6.4166641,280,SR,"Camarillo, CA",Camarillo,CA,St. Bonaventure,http://www.und.com/sports/m-footbl/mtt/bonelli_james00.html
ND,FBALL,2005-2006,56,Nick Borseti,Borseti,Nick,Linebacker,LB,6'4,76,6.3333308,238,JR,"Saugus, MA",Saugus,MA,St. John's Prep,http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2005-2006,7,Darrin Bragg,Bragg,Darrin,Wide Receiver,WR,6'1,73,6.0833309,192,SO,"San Jose, CA",San Jose,CA,Bellarmine Prep,http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2005-2006,52,Joe Brockington,Brockington,Joe,Linebacker,LB,6'1,73,6.0833309,212,JR,"Palmyra, PA",Palmyra,PA,Palmyra,http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2005-2006,94,Justin Brown,Brown,Justin,Defensive Line,DL,6'3,75,6.2499975,247,SO,"Clinton, MD",Clinton,MD,Bishop McNamara,http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2005-2006,27,David Bruton,Bruton,David,Defensive Back,DB,6'2,74,6.1666642,187,FR,"Miamisburg, OH",Miamisburg,OH,Miamisburg,http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2005-2006,91,Craig Cardillo,Cardillo,Craig,Kicker,K,6'0,72,5.9999976,175,JR,"Hauppauge, NY",Hauppauge,NY,Hauppauge,http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
