Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2005.idx_gr:vl-unitid of parent institution reporting graduation rates
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,12,0,12,9,0,9,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,9,1,8,7,1,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2004-2005,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,32,10,22,21,8,13,1,0,1,1,0,1,4,1,3,0,0,0,0,0,0,5,1,4,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,2,2,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,4,3,3,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,4,4,0,10,10,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,22,8,14,15,6,9,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,4,1,3,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,2,2,0,5,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,5,2,3,4,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,4,2,2,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,20,9,11,19,8,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,11,6,5,1,1,0,7,4,3,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,1,6,5,1,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,18,8,10,17,7,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,9,4,5,1,1,0,5,2,3,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,-2
2004-2005,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,5,1,4,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,35,11,24,28,7,21,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,3,3,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,3,0,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,14,11,3,10,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,8,8,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,21,6,15,17,5,12,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,11,9,2,8,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,48,13,35,39,9,30,2,0,2,1,1,0,0,0,0,0,0,0,2,2,0,4,1,3,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,4,2,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,14,9,5,7,6,1,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,19,19,0,3,3,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,34,12,22,28,8,20,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,3,1,2,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2004-2005,134130,University of Florida,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
