Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2000-2001,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,0,4,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2000-2001,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),14,14,0,8,8,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2000-2001,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),24,11,13,17,8,9,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,4,1,3
2000-2001,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,17,8,9,11,6,5,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,1,3
2000-2001,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2000-2001,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,2,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,4,3,2,2,0,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2000-2001,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2000-2001,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,4,4,0,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2000-2001,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,13,6,19,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,13,6,19,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,2,0,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,2,4,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2000-2001,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,0,5,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,0,4,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),41,9,32,31,5,26,2,0,2,2,1,1,0,0,0,2,1,1,0,0,0,4,2,2
2000-2001,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,33,6,27,25,3,22,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0,4,2,2
2000-2001,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,1,6,4,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,6,3,4,4,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2000-2001,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,5,2,4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2000-2001,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,19,0,5,5,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,10,0,3,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
