Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,15,3,12,11,3,8,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0
2001-2002,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,0,4,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,122755,San Jose State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,15,5,10,13,5,8,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,4,3,0,0,0,5,3,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,5,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,8,8,0,10,10,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,123961,University of Southern California,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,10,3,7,9,3,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
