Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2001-2002,152080,University of Notre Dame,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,22,22,0,9,9,0,12,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,7,0,7,6,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,3,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,10,5,5,7,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,6,6,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,3,3,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,4,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,18,3,15,17,3,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,9,5,4,6,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,7,5,2,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,4,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,10,1,9,9,1,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,157289,University of Louisville,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,45,11,34,35,8,27,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,7,2,5
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,3,3,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,6,5,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,4,4,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,30,9,21,23,7,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,5,3,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,38,13,25,27,8,19,1,0,1,0,0,0,1,0,1,0,0,0,3,1,2,6,4,2
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,12,4,8,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,9,9,0,7,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,34,13,21,25,8,17,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,5,4,1
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,11,3,8,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3
2001-2002,170976,University of Michigan-Ann Arbor,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,6,6,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,42,14,28,29,11,18,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,10,2,8
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,1,4,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,11,1,10,10,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,6,6,0,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,33,9,24,24,7,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,1,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,0,8,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,181464,University of Nebraska-Lincoln,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,53,18,35,46,16,30,3,1,2,0,0,0,2,0,2,0,0,0,1,0,1,1,1,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,8,3,5,1,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,14,8,6,9,5,4,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,9,9,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,42,13,29,36,11,25,3,1,2,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,8,4,4,5,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,30,11,19,28,9,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,23,23,0,15,15,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,26,11,15,24,9,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,1,4,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,19,19,0,12,12,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,64,29,35,61,26,35,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,4,3,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,13,3,10,6,0,6,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,5,5,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,53,20,33,50,17,33,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,6,1,5,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross-country and/or track,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,199120,University of North Carolina at Chapel Hill,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,6,6,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,66,28,38,54,19,35,4,3,1,5,4,1,0,0,0,0,0,0,3,2,1,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,2,3,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,6,4,2,4,2,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,22,22,0,10,10,0,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,43,19,24,37,14,23,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,3,1,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,7,7,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,20,8,12,13,5,8,1,1,0,2,0,2,1,1,0,1,0,1,0,0,0,2,1,1
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,11,5,6,4,2,2,6,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,8,3,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,3,3,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,10,5,5,6,4,2,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,4,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,6,6,0,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2001-2002,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,28,15,13,21,10,11,1,1,0,1,1,0,3,1,2,1,1,0,0,0,0,1,1,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,4,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,3,3,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross-country and/or track,12,4,8,10,3,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,10,10,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports,22,10,12,17,6,11,1,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,1,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,3,3,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross-country and/or track,9,2,7,7,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,207500,University of Oklahoma Norman Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports,35,12,23,28,9,19,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,3,1,2
2001-2002,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,10,10,0,8,8,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,10,6,4,8,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,14,14,0,4,4,0,7,7,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
