Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_gr1999_hd.idx_grs:vl-unitid of parent institution reporting graduation rates
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,37,12,25,28,7,21,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,5,3,2,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,3,4,2,0,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,11,3,8,6,1,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,17,17,0,3,3,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,29,10,19,20,5,15,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,5,3,2,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,2,3,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,7,0,7,4,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-2
1998-1999,100858,Auburn University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,38,23,15,35,21,14,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
