Year,unitid,Institution_Name,Cohort_Data,Sport,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_gr1999_hd.idx_grs:vl-unitid of parent institution reporting graduation rates
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,1,4,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,20,13,7,7,6,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,16,16,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,21,11,10,19,10,9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,4,1,3,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,11,5,6,4,3,1,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports combined,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross country and/or track,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,217882,Clemson University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,34,23,11,29,20,9,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,3,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,9,4,5,3,1,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,28,21,7,25,19,6,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,2,4,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,198419,Duke University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,24,7,17,21,6,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,4,3,1,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,13,6,7,8,4,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,27,27,0,6,6,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,13,3,10,11,2,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,12,5,7,7,3,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,11,11,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,134097,Florida State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports combined,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,18,8,10,16,7,9,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,1,5,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,6,1,5,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,17,8,9,15,7,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,1,4,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,6,1,5,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports combined,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,131496,Georgetown University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,6,3,3,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,15,15,0,7,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,6,3,3,5,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,155399,Kansas State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,34,9,25,17,6,11,4,0,4,2,0,2,1,0,1,0,0,0,0,0,0,10,3,7,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,9,3,6,4,1,3,3,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,6,1,5,3,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,25,25,0,11,11,0,13,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,24,7,17,10,4,6,2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,9,3,6,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,5,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,3,1,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,159391,Louisiana State University and Agricultural & Mechanical College,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,9,9,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,26,8,18,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,12,12,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,26,8,18,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,6,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,147767,Northwestern University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,17,17,0,11,11,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,56,20,36,45,13,32,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,7,4,3,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,3,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,21,21,0,9,9,0,11,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,30,9,21,26,7,19,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
1998-1999,204796,Ohio State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,22,16,6,15,11,4,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,2,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,6,3,3,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,10,3,7,8,2,6,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,22,22,0,9,9,0,12,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,8,5,3,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,10,10,0,7,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports combined,5,5,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Basketball,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Cross country and/or track,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,207388,Oklahoma State University-Main Campus,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,19,6,13,14,4,10,0,0,0,1,1,0,2,0,2,1,0,1,0,0,0,1,1,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,7,4,3,1,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,20,20,0,5,5,0,14,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,12,3,9,8,2,6,0,0,0,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,7,7,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,209542,Oregon State University,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Football,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),All other sports combined,49,13,36,41,12,29,3,1,2,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Baseball,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Basketball,3,2,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Cross country and/or track,14,5,9,4,2,2,7,1,6,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),Football,18,18,0,6,6,0,11,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,All other sports combined,37,8,29,30,8,22,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Baseball,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Basketball,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Cross country and/or track,11,4,7,3,1,2,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,Football,8,8,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,All other sports combined,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
1998-1999,186380,Rutgers University-New Brunswick,Degree/certificate-seeking students (4-yr institution) Transfer-out students,Baseball,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
