year,team,rank,value,value_change,revenue,expense,operating_income,debt_value,debt_percent,revenue_multiple,ebitda_multiple,league
2010,Real Madrid,2,1323.00,0.54,563.00,433.00,130.00,-26.46,-0.02,2.35,10.18,UEFA
2010,Arsenal,3,1181.00,0.41,369.00,267.00,102.00,-23.62,-0.02,3.20,11.58,UEFA
2010,Barcelona,4,1000.00,0.00,513.00,400.00,113.00,40.00,0.04,1.95,8.85,UEFA
2010,Bayern Munich,5,990.00,0.14,406.00,345.00,61.00,-108.90,-0.11,2.44,16.23,UEFA
2010,Liverpool,6,822.00,0.47,304.00,267.00,37.00,-156.18,-0.19,2.70,22.22,UEFA
2010,AC Milan,7,800.00,0.00,276.00,235.00,41.00,-152.00,-0.19,2.90,19.51,UEFA
2010,Juventus,8,656.00,0.03,285.00,228.00,57.00,59.04,0.09,2.30,11.51,UEFA
2010,Chelsea,9,646.00,0.08,340.00,413.00,-73.00,-122.74,-0.19,1.90,0.00,UEFA
2010,Inter Milan,10,413.00,0.00,276.00,290.00,-14.00,49.56,0.12,1.50,0.00,UEFA
2010,Schalke 04,11,384.00,50.00,175.00,182.00,-7.00,-96.00,-0.25,2.19,0.00,UEFA
2010,Tottenham Hotspur,12,372.00,29.00,186.00,151.00,35.00,-59.52,-0.16,2.00,10.63,UEFA
2010,Olympique Lyonnais,13,333.00,10.00,196.00,191.00,5.00,-69.93,-0.21,1.70,66.60,UEFA
2010,Hamburg SV,14,329.00,0.00,206.00,165.00,41.00,0.00,0.00,1.60,8.02,UEFA
2010,AS Roma,15,308.00,0.00,205.00,180.00,25.00,-58.52,-0.19,1.50,12.32,UEFA
2010,Werder Bremen,16,274.00,0.00,161.00,137.00,24.00,-16.44,-0.06,1.70,11.42,UEFA
2010,Olympique Marseille,17,262.00,0.00,187.00,168.00,19.00,23.58,0.09,1.40,13.79,UEFA
2010,Borussia Dortmund,18,261.00,32.00,145.00,137.00,8.00,-52.20,-0.20,1.80,32.63,UEFA
2010,Manchester City,19,258.00,0.00,143.00,199.00,-56.00,-43.86,-0.17,1.80,0.00,UEFA
2010,Newcastle United,20,198.00,8.00,142.00,191.00,-49.00,-59.40,-0.30,1.39,0.00,UEFA
2009,Real Madrid,2,1353.00,0.23,576.00,495.00,81.00,67.65,0.05,2.35,16.70,UEFA
2009,Arsenal,3,1200.00,1.07,349.00,269.00,80.00,0.00,0.00,3.44,15.00,UEFA
2009,Bayern Munich,4,1110.00,0.00,465.00,406.00,59.00,233.10,0.21,2.39,18.81,UEFA
2009,Liverpool,5,1010.00,0.59,332.00,282.00,50.00,-40.40,-0.04,3.04,20.20,UEFA
2009,AC Milan,6,990.00,0.00,330.00,272.00,58.00,237.60,0.24,3.00,17.07,UEFA
2009,Barcelona,7,960.00,0.07,487.00,379.00,108.00,211.20,0.22,1.97,8.89,UEFA
2009,Chelsea,8,800.00,0.92,424.00,437.00,-13.00,40.00,0.05,1.89,0.00,UEFA
2009,Juventus,9,600.00,0.05,264.00,218.00,46.00,108.00,0.18,2.27,13.04,UEFA
2009,Schalke 04,10,510.00,38.00,234.00,193.00,41.00,45.90,0.09,2.18,12.44,UEFA
2009,Tottenham Hotspur,11,445.00,29.00,228.00,158.00,70.00,35.60,0.08,1.95,6.36,UEFA
2009,Olympique Lyonnais,12,423.00,18.00,245.00,151.00,94.00,16.92,0.04,1.73,4.50,UEFA
2009,AS Roma,13,381.00,9.00,276.00,207.00,69.00,-45.72,-0.12,1.38,5.52,UEFA
2009,Internazionale Milan,14,370.00,77.00,272.00,245.00,27.00,-29.60,-0.08,1.36,13.70,UEFA
2009,Hamburg SV,15,330.00,0.00,202.00,158.00,44.00,42.90,0.13,1.63,7.50,UEFA
2009,Borussia Dortmund,16,325.00,33.00,183.00,174.00,9.00,3.25,0.01,1.78,36.11,UEFA
2009,Manchester City,17,310.00,0.00,164.00,180.00,-16.00,192.20,0.62,1.89,0.00,UEFA
2009,Werder Bremen,18,292.00,0.00,177.00,150.00,27.00,35.04,0.12,1.65,10.81,UEFA
2009,Newcastle United,19,285.00,96.00,198.00,211.00,-13.00,-14.25,-0.05,1.44,0.00,UEFA
2009,VfB Stuttgart,20,264.00,0.00,176.00,158.00,18.00,NA,NA,1.50,14.67,UEFA
2009,Aston Villa,21,240.00,10.00,150.00,149.00,1.00,62.40,0.26,1.60,240.00,UEFA
2009,Olympique Marseille,21,240.00,0.00,200.00,180.00,20.00,67.20,0.28,1.20,12.00,UEFA
2009,Celtic,23,218.00,14.00,145.00,134.00,11.00,-8.72,-0.04,1.50,19.82,UEFA
2009,Everton,24,207.00,49.00,151.00,137.00,14.00,10.35,0.05,1.37,14.79,UEFA
2009,Glasgow Rangers,25,194.00,86.00,128.00,113.00,15.00,NA,NA,1.52,12.93,UEFA
2008,Manchester United,1,1800.00,0.60,394.00,283.00,111.00,432.00,0.24,4.57,16.22,UEFA
2008,Real Madrid,2,1285.00,0.27,474.00,362.00,112.00,308.40,0.24,2.71,11.47,UEFA
2008,Arsenal,3,1200.00,0.43,329.00,252.00,77.00,372.00,0.31,3.65,15.58,UEFA
2008,Liverpool,4,1050.00,0.65,269.00,209.00,60.00,1375.50,1.31,3.90,17.50,UEFA
