RSCI,Player,HS,PS,AS,RC,Total,Ht,Height_Inches,Pos,College,City.State,State,City,Country,Class,Ranking_Date,fname,Pre,Chg,DT,RB,SN,HP,FB,HH,FS,VB,JG,SS,Avg,X5yr,Dev,VC,HM,RH,SI,SC,MP,RU,IR,FC
1,LeBron James,1,1,1,1,700,6'7,79,SF,NBA,"Akron, OH",OH,Akron,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,1,NA,NA,NA,NA,NA,1,NA,NA,1,1, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,LeBron James,1,1,1,1,700,6'7,79,SF,NBA,"Akron, OH",OH,Akron,United States,2003,8/12/2003,rcsi03_Final.csv,NA, ,1,NA,NA,NA,NA,NA,1,NA,NA,1,1, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Harrison Barnes ,NA,1,2,2,698,6'6 ,78,SF,,"Ames, IA",IA,Ames,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
1,Brandon Jennings,1,1,NA,4,697,6'1,73,PG,Europe,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2008,5/1/2008,rcsi08_Final.csv,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,1.3,NA,1,1,1,NA,NA,NA,NA,NA
1,Derrick Favors ,NA,1,1,3,696,6'9,81,C,Georgia Tech,"Atlanta, GA",GA,Atlanta,United States,2009,5/1/2009,rcsi09_Final.csv,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,0.8,NA,1,2,2,NA,NA,NA,NA,NA
1,Derrick Favors ,2,1,NA,4,695,6'9 ,81,C,,"Atlanta, GA",GA,Atlanta,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,  ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,1,1,2,NA,NA,NA,NA,NA
2,Luol Deng,2,2,2,2,693,6'8,80,SF,Duke,"Blairstown, NJ",NJ,Blairstown,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Luol Deng,2,2,2,2,693,6'8,80,SF,Duke,"Blairstown, NJ",NJ,Blairstown,United States,2003,8/12/2003,rcsi03_Final.csv,NA, ,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,O.J. Mayo,2,1,3,4,693,6'4,76,SG-PG,University of Southern California,"Cincinnati, OH",OH,Cincinnati,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2, ,1.3,NA,2,1,NA,NA,NA,NA,NA,NA
2,Jared Sullinger ,NA,3,1,3,690,6'8 ,80,C,Ohio State,"Columbus, OH",OH,Columbus,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,2,NA,2,3,2,NA,NA,NA,NA,NA
2,Kevin Love,1,3,1,6,689,6'9,81,PF,"University of California, Los Angeles","Lake Oswego, OR",OR,Lake Oswego,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,2.4,NA,1,3,NA,NA,NA,NA,NA,NA
3,Brandon Knight ,NA,2,5,1,688,6'3 ,75,PG,,"Fort Lauderdale, FL",FL,Fort Lauderdale,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,3,NA,3,2,4,NA,NA,NA,NA,NA
3,Eric Gordon,3,4,2,2,687,6'3,75,SG,Indiana,"Indianapolis, IN",IN,Indianapolis,United States,2007,5/1/2007,rcsi07_Final.csv,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3, ,0.8,NA,3,2,NA,NA,NA,NA,NA,NA
1,Greg Monroe,8,1,NA,1,686,6'10,82,PF,,"Harvey, LA",LA,Harvey,United States,2008,7/1/2007,rcsi08_Fall.csv,NA, ,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,2,1,7,NA,NA,NA,NA,NA
2,John Wall ,NA,3,6,1,686,6'3,75,PG,Kentucky,"Raleigh, NC",NC,Raleigh,United States,2009,5/1/2009,rcsi09_Final.csv,NA,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,*,1.7,NA,3,1,5,NA,NA,NA,NA,NA
2,Brandon Jennings,1,2,NA,8,685,6'1,73,PG,Arizona,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3.4,NA,1,2,1,NA,NA,NA,NA,NA
2,Jrue Holiday,3,4,NA,2,684,6'3,75,SG,"University of California, Los Angeles","N Hollywood, CA",CA,N Hollywood,United States,2008,5/1/2008,rcsi08_Final.csv,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,0.8,NA,3,3,4,NA,NA,NA,NA,NA
3,Tyreke Evans,3,3,NA,6,683,6'4,76,SG,,"Aston, PA",PA,Aston,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1.3,NA,3,3,2,NA,NA,NA,NA,NA
3,DeMarcus Cousins ,NA,4,2,2,683,6'10,82,C,Kentucky,"Mobile, AL",AL,Mobile,United States,2009,5/1/2009,rcsi09_Final.csv,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4, ,1.1,NA,4,5,4,NA,NA,NA,NA,NA
1,Donnell Harvey,1,1,10,NA,683,6'7,79,PF,Florida,"Cuthbert, GA",GA,Cuthbert,United States,1999,6/13/1999,rcsi99_Final.csv,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
3,Tyreke Evans,2,2,NA,6,681,6'4,76,SG,Memphis,"Aston, PA",PA,Aston,United States,2008,5/1/2008,rcsi08_Final.csv,NA,-2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4, ,1.8,NA,4,4,3,NA,NA,NA,NA,NA
4,Avery Bradley ,NA,2,9,4,681,6'2,74,SG,University of Texas at Austin,"Tacoma, WA",WA,Tacoma,United States,2009,5/1/2009,rcsi09_Final.csv,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,1.1,NA,2,3,1,NA,NA,NA,NA,NA
4,Michael Beasley,6,2,8,1,680,6'8,80,PF,Kansas State,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2007,5/1/2007,rcsi07_Final.csv,NA,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,*,2.2,NA,4,4,NA,NA,NA,NA,NA,NA
2,Xavier Henry ,6,4,NA,3,680,6'6 ,78,SG,Memphis,"Oklahoma, City",OK,Oklahoma City,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,  ,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,2,NA,4,5,1,NA,NA,NA,NA,NA
3,Ndudi Ebi,4,3,3,7,679,6'10,82,PF,Arizona,"Houston, TX",TX,Houston,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,3,NA,NA,NA,NA,NA,3,NA,NA,5,4, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Samardo Samuels,4,3,NA,9,679,6'8,80,C,Louisville,"Newark, NJ",NJ,Newark,United States,2008,5/1/2008,rcsi08_Final.csv,NA,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,,2.9,NA,2,6,2,NA,NA,NA,NA,NA
4,Demar DeRozan,2,5,NA,2,675,6'6,78,SF,University of Southern California,"Compton, CA",CA,Compton,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1.6,NA,5,4,9,NA,NA,NA,NA,NA
5,John Henson ,NA,5,3,5,675,6'10,82,PF,North Carolina,"Round Rock, TX",TX,Round Rock,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5, ,0.7,NA,5,4,6,NA,NA,NA,NA,NA
3,John Henson ,7,5,NA,6,675,6'10 ,82,PF,North Carolina,"Round Rock, TX",TX,Round Rock,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,3,NA,6,2,3,NA,NA,NA,NA,NA
3,Shannon Brown,3,3,3,6,674,6'3,75,SG,Michigan State,"Maywood, IL",IL,Maywood,United States,2003,8/12/2003,rcsi03_Final.csv,NA,4,5,NA,NA,NA,NA,NA,8,NA,NA,5,5, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Ndudi Ebi,6,5,4,9,673,6'10,82,PF,NBA,"Houston, TX",TX,Houston,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-1,3,NA,NA,NA,NA,NA,3,NA,NA,4,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Samardo Samuels,11,4,NA,7,671,6'8,80,C,Louisville,"Newark, NJ",NJ,Newark,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3.5,NA,4,5,3,NA,NA,NA,NA,NA
4,Kyrie Irving ,NA,4,3,9,671,6'1 ,73,PG,,"Elizabeth, NJ",NJ,Elizabeth,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,27,NA,5,4,6,NA,NA,NA,NA,NA
2,Keith Bogans,2,18,5,NA,671,6'4,76,SG,Kentucky,"Hyattsville, MD",MD,Hyattsville,United States,1999,6/13/1999,rcsi99_Final.csv,NA,-1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,1
5,Kyle Singler,5,5,4,5,670,6'8,80,SF,Duke,"Medford, OR",OR,Medford,United States,2007,5/1/2007,rcsi07_Final.csv,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6, ,0.6,NA,6,6,NA,NA,NA,NA,NA,NA
5,Derrick Rose,8,6,5,3,670,6'2,74,PG,Memphis,"Chicago, IL",IL,Chicago,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,2.1,NA,5,5,NA,NA,NA,NA,NA,NA
4,Kendrick Perkins,13,4,4,6,669,6'10,82,C,Memphis,"Beaumont, TX",TX,Beaumont,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,4,NA,NA,NA,NA,NA,4,NA,NA,3,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Demar DeRozan,7,6,NA,3,668,6'6,78,SF,University of Southern California,"Compton, CA",CA,Compton,United States,2008,5/1/2008,rcsi08_Final.csv,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6, ,1.6,NA,7,2,8,NA,NA,NA,NA,NA
4,Lance Stephenson ,1,6,NA,9,668,6'5 ,77,SF,,"Brooklyn, NY",NY,Brooklyn,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,-1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,32,NA,5,4,7,NA,NA,NA,NA,NA
5,DeMarcus Cousins ,4,8,NA,2,668,6'10 ,82,C,University of Alabama at Birmingham,"Mobile, AL",AL,Mobile,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,  ,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,30,NA,7,8,4,NA,NA,NA,NA,NA
5,Perry Jones ,NA,6,12,6,667,6'9 ,81,C,Baylor,"Duncanville, TX",TX,Duncanville,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,32,NA,4,5,3,NA,NA,NA,NA,NA
6,Xavier Henry ,NA,6,4,8,666,6'6,78,SG,Kansas,"Oklahoma City, OK",OK,Oklahoma City,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,,2,NA,8,6,3,NA,NA,NA,NA,NA
6,Kenny Boynton ,3,2,NA,7,666,6'2 ,74,SG,Florida,"Plantation, FL",FL,Plantation,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,  ,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,50,NA,2,6,13,NA,NA,NA,NA,NA
6,Jrue Holiday,5,12,NA,3,663,6'3,75,SG,"University of California, Los Angeles","N Hollywood, CA",CA,N Hollywood,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3.7,NA,6,11,4,NA,NA,NA,NA,NA
3,Jason Williams,5,2,15,NA,661,6'2,74,PG,Duke,"Metchum, NJ",NJ,Metchum,United States,1999,6/13/1999,rcsi99_Final.csv,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,2
5,Kendrick Perkins,14,4,7,8,657,6'10,82,C,NBA,"Beaumont, TX",TX,Beaumont,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-1,6,NA,NA,NA,NA,NA,4,NA,NA,7,7, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Brian Butch,3,10,14,5,655,7'0,84,C,Wisconsin,"Appleton, WI",WI,Appleton,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,7,NA,NA,NA,NA,NA,6,NA,NA,7,7, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Tristan Thompson ,NA,5,4,17,651,6'9 ,81,PF,University of Texas at Austin,"Henderson, NV",NV,Henderson,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,37,NA,7,6,11,NA,NA,NA,NA,NA
7,Delvon Roe,7,6,NA,14,649,6'8,80,PF,Michigan State,"Lakewood, OH",OH,Lakewood,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3.2,NA,7,10,5,NA,NA,NA,NA,NA
4,Joe Forte,12,13,3,NA,648,6'4,76,SG,North Carolina,"Hyattsville, MD",MD,Hyattsville,United States,1999,6/13/1999,rcsi99_Final.csv,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,11
7,Renardo Sidney ,NA,7,5,16,647,6'9,81,PF,Mississippi State,"Los Angeles, CA",CA,Los Angeles,United States,2009,5/1/2009,rcsi09_Final.csv,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10, ,3.7,NA,9,9,7,NA,NA,NA,NA,NA
7,Will Barton ,NA,8,10,11,646,6'6 ,78,SG,Memphis,"Baltimore, MD",MD,Baltimore,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,27,NA,9,10,5,NA,NA,NA,NA,NA
5,Marvin Stone,4,20,9,NA,645,6'10,82,PF-C,Kentucky,"Huntsville, AL",AL,Huntsville,United States,1999,6/13/1999,rcsi99_Final.csv,NA,-2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,5
6,Leon Powe,16,5,11,11,643,6'8,80,PF,California,"Oakland, CA",CA,Oakland,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,10,NA,NA,NA,NA,NA,7,NA,NA,4,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Greg Monroe,10,5,NA,8,643,6'10,82,PF,Georgetown,"Harvey, LA",LA,Harvey,United States,2008,5/1/2008,rcsi08_Final.csv,NA,-4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,,2.2,NA,5,8,20,NA,NA,NA,NA,NA
8,Lance Stephenson ,NA,11,7,11,643,6'5,77,SF,,"Brooklyn, NY",NY,Brooklyn,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,,2.2,NA,7,8,12,NA,NA,NA,NA,NA
7,Jerryd Bayless,4,12,13,13,642,6'3,75,SG,Arizona,"Phoenix, AZ",AZ,Phoenix,United States,2007,5/1/2007,rcsi07_Final.csv,NA, ,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,8, ,3.8,NA,7,7,NA,NA,NA,NA,NA,NA
9,Kenny Boynton ,NA,8,8,12,642,6'2,74,SG,Florida,"Plantation, FL",FL,Plantation,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,8, ,2.3,NA,6,7,9,NA,NA,NA,NA,NA
6,Chris Paul,7,9,10,11,640,6'0,72,PG,Wake Forest,"Clemmons, NC",NC,Clemmons,United States,2003,8/12/2003,rcsi03_Final.csv,NA,3,9,NA,NA,NA,NA,NA,11,NA,NA,10,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,David Padgett,15,8,5,7,639,6'10,82,C,Kansas,"Reno, NV",NV,Reno,United States,2003,8/12/2003,rcsi03_Final.csv,NA,5,4,NA,NA,NA,NA,NA,12,NA,NA,17,10, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Brian Butch,5,14,15,5,639,7'0,84,C,Wisconsin,"Appleton, WI",WI,Appleton,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-2,11,NA,NA,NA,NA,NA,7,NA,NA,11,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Al-Farouq Aminu,6,10,NA,7,639,6'8,80,PF,Wake Forest,"Norcross, GA",GA,Norcross,United States,2008,5/1/2008,rcsi08_Final.csv,NA, ,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,9, ,2.8,NA,8,7,17,NA,NA,NA,NA,NA
9,Leon Powe,17,6,13,13,638,6'8,80,PF,California,"Oakland, CA",CA,Oakland,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-3,8,NA,NA,NA,NA,NA,9,NA,NA,3,10, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Josh Selby ,NA,12,14,4,638,6'2 ,74,PG,,"Baltimore, MD",MD,Baltimore,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,34,NA,6,15,8,NA,NA,NA,NA,NA
8,B.J. Mullens,34,11,NA,1,636,7'0,84,C,Ohio State,"Canal Winchester, OH",OH,Canal Winchester,United States,2008,5/1/2008,rcsi08_Final.csv,NA,-3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,13.1,NA,12,5,5,NA,NA,NA,NA,NA
7,Abdul Gaddy ,8,11,NA,13,635,6'3 ,75,PG,Washington,"Tacoma, WA",WA,Tacoma,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,31,NA,8,9,14,NA,NA,NA,NA,NA
8,Donte Greene,7,8,18,9,634,6'8,80,PF,Syracuse,"Towson, MD",MD,Towson,United States,2007,5/1/2007,rcsi07_Final.csv,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,,1,NA,9,14,NA,NA,NA,NA,NA,NA
9,Tobias Harris ,NA,15,16,5,634,6'7 ,79,PF,,"Dix Hills, NY",NY,Dix Hills,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,35,NA,8,13,7,NA,NA,NA,NA,NA
8,Al-Farouq Aminu,14,11,NA,11,631,6'8,80,PF,Wake Forest,"Norcross, GA",GA,Norcross,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,-5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2.5,NA,8,9,15,NA,NA,NA,NA,NA
10,Reggie Bullock ,NA,13,9,10,631,6'6 ,78,SG,North Carolina,"Kinston, NC",NC,Kinston,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,11,9,13,NA,NA,NA,NA,NA
7,Vakeaton Wafer,8,6,16,18,630,6'5,77,SG,Florida State,"Pineville, LA",LA,Pineville,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,11,NA,NA,NA,NA,NA,8,NA,NA,10,11, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Shannon Brown,17,14,9,10,630,6'3,75,SG,Michigan State,"Maywood, IL",IL,Maywood,United States,2003,11/16/2002,rcsi03_Fall.csv,NA,1,9,NA,NA,NA,NA,NA,10,NA,NA,8,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Dominic Cheek ,10,9,NA,16,630,6'6 ,78,SG,,"Jersey City, NJ",NJ,Jersey City,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,46,NA,9,7,11,NA,NA,NA,NA,NA
9,Avery Bradley ,9,14,NA,8,629,6'2 ,74,SG,University of Texas at Austin,"Tacoma, WA",WA,Tacoma,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,50,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,33,NA,12,10,15,NA,NA,NA,NA,NA
9,Ed Davis,16,8,NA,15,628,6'8,80,PF,North Carolina,"Richmond, VA",VA,Richmond,United States,2008,5/1/2008,rcsi08_Final.csv,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,11, ,4.4,NA,6,13,11,NA,NA,NA,NA,NA
6,LaVell Blanchard,8,17,1,NA,626,6'6,78,SF,Michigan,"Ann Arbor, MI",MI,Ann Arbor,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,16
11,Josh Smith ,NA,11,8,19,625,6'9 ,81,C,,"Kent, WA",WA,Kent,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,34,NA,14,7,10,NA,NA,NA,NA,NA
9,Chris Paul,6,8,12,15,624,6'0,72,PG,Wake Forest,"Clemmons, NC",NC,Clemmons,United States,2003,11/16/2002,rcsi03_Fall.csv,NA, ,17,NA,NA,NA,NA,NA,14,NA,NA,11,12, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Kris Humphries,5,15,7,8,624,6'8,80,PF,Duke,"Minnetonka, MN",MN,Minnetonka,United States,2003,11/16/2002,rcsi03_Fall.csv,NA,2,16,NA,NA,NA,NA,NA,13,NA,NA,19,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,William Buford,13,9,NA,19,623,6'4,76,SG,Ohio State,"Toledo, OH",OH,Toledo,United States,2008,7/1/2007,rcsi08_Fall.csv,NA,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,3.7,NA,15,8,8,NA,NA,NA,NA,NA
10,Keith Gallon ,NA,10,15,9,623,6'8,80,C,Oklahoma,"Mouth of Wilson, VA",VA,Mouth of Wilson,United States,2009,5/1/2009,rcsi09_Final.csv,NA,20,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,,2.4,NA,13,15,11,NA,NA,NA,NA,NA
9,Patrick Patterson,15,9,9,17,622,6'8,80,PF,Kentucky,"Huntington, WV",WV,Huntington,United States,2007,5/1/2007,rcsi07_Final.csv,NA,39,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,14, ,2.8,NA,11,12,NA,NA,NA,NA,NA,NA
9,J.J. Hickson,14,7,15,10,622,6'8,80,PF-C,North Carolina State,"Marietta, GA",GA,Marietta,United States,2007,5/1/2007,rcsi07_Final.csv,NA,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,,2.2,NA,15,11,NA,NA,NA,NA,NA,NA
7,Brett Nelson,11,9,16,NA,622,6'3,75,PG,Florida,"St. Albans, WV",WV,St. Albans,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,16,6
12,DeShaun Thomas ,NA,10,6,18,620,6'6 ,78,PF,Ohio State,"Fort Wayne, IN",IN,Fort Wayne,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,35,NA,10,17,12,NA,NA,NA,NA,NA
10,Renardo Sidney ,39,7,NA,10,619,6'9 ,81,PF,,"Los Angeles, CA",CA,Los Angeles,United States,2009,9/1/2008,rcsi09_Summer.csv,NA,-6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,NA,10,12,5,NA,NA,NA,NA,NA
13,C.J. Leslie ,NA,9,15,14,619,6'8 ,80,PF,,"Raleigh, NC",NC,Raleigh,United States,2010,9/1/2009,rcsi10_Summer.csv,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,28,NA,15,14,9,NA,NA,NA,NA,NA
11,Abdul Gaddy ,NA,16,11,13,617,6'3,75,PG,Washington,"Tacoma, WA",WA,Tacoma,United States,2009,5/1/2009,rcsi09_Final.csv,NA,-4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,14, ,2.5,NA,10,16,14,NA,NA,NA,NA,NA
8,Carlos Boozer,7,10,29,NA,617,6'9,81,PF,Duke,"Juneau, AK",AK,Juneau,United States,1999,6/13/1999,rcsi99_Final.csv,NA,,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,9
8,Jonathan Bender,38,7,4,NA,617,6'11,83,PF,NBA,"Picayune, MS",MS,Picayune,United States,1999,6/13/1999,rcsi99_Final.csv,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,25
10,Kris Humphries,8,11,17,10,616,6'8,80,PF,Minnesota,"Minnetonka, MN",MN,Minnetonka,United States,2003,8/12/2003,rcsi03_Final.csv,NA,-1,18,NA,NA,NA,NA,NA,14,NA,NA,13,13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Nick Calathes,11,16,10,14,615,6'4,76,PG,Florida,"Winter Park, FL",FL,Winter Park,United States,2007,5/1/2007,rcsi07_Final.csv,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,12, ,2.1,NA,14,17,NA,NA,NA,NA,NA,NA
10,Delvon Roe,9,9,NA,24,615,6'8,80,PF,Michigan State,"Lakewood, OH",OH,Lakewood,United States,2008,5/1/2008,rcsi08_Final.csv,NA,-1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,,6.4,NA,10,14,15,NA,NA,NA,NA,NA
11,Scotty Hopson,25,18,NA,5,614,6'5,77,SF,University of Tennessee,"Hopkinsville, KY",KY,Hopkinsville,United States,2008,5/1/2008,rcsi08_Final.csv,NA, ,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,15, ,8.4,NA,18,11,9,NA,NA,NA,NA,NA
