"","player_game_number","season","season_game","game_date","age","team","game_location","opponent","game_result","game_started","pass_completions","pass_attempts","completion_percentage","passing_yards","passing_touchdowns","interceptions_thrown","qb_rating","yards_per_pass","adjusted_yards_per_pass","rushing_attempts","rushing_yards","rushing_yards_per_attempt","rushing_touchdowns","receiptions","receiving_yards","yards_per_receiption","receiving_touchdowns","receiving_rushing_touchdowns","two_point_conversions","receiving_rushing_points","player","started","outcome","score","team_score","opponent_score"
"31",27,2006,6,"2006-10-22","25-119","ATL","","PIT","W 41-38","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","41-38",41,38
"32",28,2006,7,"2006-10-29","25-126","ATL","@","CIN","W 29-27","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","29-27",29,27
"33",29,2006,8,"2006-11-05","25-133","ATL","@","DET","L 14-30","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","14-30",14,30
"34",30,2006,9,"2006-11-12","25-140","ATL","","CLE","L 13-17","",0,1,0,0,0,0,39.6,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","13-17",13,17
"35",31,2006,10,"2006-11-19","25-147","ATL","@","BAL","L 10-24","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","10-24",10,24
"36",32,2006,11,"2006-11-26","25-154","ATL","","NOR","L 13-31","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","13-31",13,31
"37",33,2006,12,"2006-12-03","25-161","ATL","@","WAS","W 24-14","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","24-14",24,14
"38",34,2006,13,"2006-12-10","25-168","ATL","@","TAM","W 17-6","",0,0,NA,0,0,0,NA,NA,NA,1,0,0,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"W","17-6",17,6
"39",35,2006,14,"2006-12-16","25-174","ATL","","DAL","L 28-38","",3,5,0.375,33,0,1,40,6.6,-2.4,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","28-38",28,38
"40",36,2006,15,"2006-12-24","25-182","ATL","","CAR","L 3-10","",0,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","3-10",3,10
"41",37,2006,16,"2006-12-31","25-189","ATL","@","PHI","L 17-24","",15,21,0.417,175,1,1,92.4,8.33,7.14,2,21,10.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",FALSE,"L","17-24",17,24
"44",38,2007,1,"2007-09-09","26-076","HOU","","KAN","W 20-3","*",16,22,0.421,225,1,1,101.5,10.23,9.09,1,-1,-1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","20-3",20,3
"45",39,2007,2,"2007-09-16","26-083","HOU","@","CAR","W 34-21","*",20,28,0.417,227,2,0,119.2,8.11,9.54,2,3,1.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-21",34,21
"46",40,2007,3,"2007-09-23","26-090","HOU","","IND","L 24-30","*",27,33,0.45,236,1,2,81.3,7.15,5.03,1,5,5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","24-30",24,30
"47",41,2007,4,"2007-09-30","26-097","HOU","@","ATL","L 16-26","*",28,40,0.412,317,1,0,101.8,7.93,8.43,5,19,3.8,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","16-26",16,26
"48",42,2007,5,"2007-10-07","26-104","HOU","","MIA","W 22-19","*",20,34,0.37,294,0,1,74.9,8.65,7.32,3,6,2,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","22-19",22,19
"49",43,2007,6,"2007-10-14","26-111","HOU","@","JAX","L 17-37","*",19,31,0.38,259,0,1,74.5,8.35,6.9,2,6,3,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-37",17,37
"50",44,2007,7,"2007-10-21","26-118","HOU","","TEN","L 36-38","*",5,9,0.357,23,0,0,60.9,2.56,2.56,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","36-38",36,38
"51",45,2007,8,"2007-10-28","26-125","HOU","@","SDG","L 10-35","*",11,18,0.379,77,0,2,31.2,4.28,-0.72,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","10-35",10,35
"52",46,2007,10,"2007-11-18","26-146","HOU","","NOR","W 23-10","*",21,33,0.389,293,2,0,112.3,8.88,10.09,2,7,3.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","23-10",23,10
"53",47,2007,11,"2007-11-25","26-153","HOU","@","CLE","L 17-27","*",22,36,0.379,256,2,2,78,7.11,5.72,1,7,7,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","17-27",17,27
"54",48,2007,12,"2007-12-02","26-160","HOU","@","TEN","L 20-28","*",3,5,0.375,34,0,0,80.4,6.8,6.8,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","20-28",20,28
"57",49,2008,1,"2008-09-07","27-074","HOU","@","PIT","L 17-38","*",25,33,0.431,202,1,2,75.6,6.12,4,2,4,2,1,0,0,NA,0,1,NA,6,"Matt Schaub",TRUE,"L","17-38",17,38
"58",50,2008,2,"2008-09-21","27-088","HOU","@","TEN","L 12-31","*",17,37,0.315,188,0,3,27.8,5.08,1.43,3,12,4,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","12-31",12,31
"59",51,2008,3,"2008-09-28","27-095","HOU","@","JAX","L 27-30","*",29,40,0.42,307,3,0,119.5,7.68,9.18,5,24,4.8,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","27-30",27,30
"60",52,2008,5,"2008-10-12","27-109","HOU","","MIA","W 29-28","*",22,42,0.344,379,1,2,71.4,9.02,7.36,4,15,3.75,1,0,0,NA,0,1,NA,6,"Matt Schaub",TRUE,"W","29-28",29,28
"61",53,2008,6,"2008-10-19","27-116","HOU","","DET","W 28-21","*",26,31,0.456,267,2,0,124.1,8.61,9.9,2,1,0.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","28-21",28,21
"62",54,2008,7,"2008-10-26","27-123","HOU","","CIN","W 35-6","*",24,28,0.462,280,3,0,144,10,12.14,4,-2,-0.5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","35-6",35,6
"63",55,2008,8,"2008-11-02","27-130","HOU","@","MIN","L 21-28","*",11,16,0.407,139,0,1,69.5,8.69,5.88,0,0,NA,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","21-28",21,28
"64",56,2008,13,"2008-12-07","27-165","HOU","@","GNB","W 24-21","*",28,42,0.4,414,2,1,104.7,9.86,9.74,1,0,0,0,0,0,NA,0,0,1,2,"Matt Schaub",TRUE,"W","24-21",24,21
"65",57,2008,14,"2008-12-14","27-172","HOU","","TEN","W 13-12","*",23,39,0.371,284,1,0,90.1,7.28,7.79,4,7,1.75,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","13-12",13,12
"66",58,2008,15,"2008-12-21","27-179","HOU","@","OAK","L 16-27","*",19,36,0.345,255,0,1,64,7.08,5.83,2,10,5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","16-27",16,27
"67",59,2008,16,"2008-12-28","27-186","HOU","","CHI","W 31-24","*",27,36,0.429,328,2,0,121.1,9.11,10.22,4,-3,-0.75,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","31-24",31,24
"70",60,2009,1,"2009-09-13","28-080","HOU","","NYJ","L 7-24","*",18,33,0.353,166,0,1,55.9,5.03,3.67,1,6,6,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","7-24",7,24
"71",61,2009,2,"2009-09-20","28-087","HOU","@","TEN","W 34-31","*",25,39,0.391,357,4,0,127.8,9.15,11.21,4,4,1,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","34-31",34,31
"72",62,2009,3,"2009-09-27","28-094","HOU","","JAX","L 24-31","*",26,35,0.426,300,3,1,116.4,8.57,9,1,5,5,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","24-31",24,31
"73",63,2009,4,"2009-10-04","28-101","HOU","","OAK","W 29-6","*",11,22,0.333,224,1,1,82.4,10.18,9.05,5,-1,-0.2,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","29-6",29,6
"74",64,2009,5,"2009-10-11","28-108","HOU","@","ARI","L 21-28","*",35,50,0.412,371,2,1,96.3,7.42,7.32,3,5,1.67,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"L","21-28",21,28
"75",65,2009,6,"2009-10-18","28-115","HOU","@","CIN","W 28-17","*",28,40,0.412,392,4,1,124.2,9.8,10.68,3,-1,-0.33,0,0,0,NA,0,0,NA,0,"Matt Schaub",TRUE,"W","28-17",28,17
