id,url,model,year,type,photo,total.year.photo
49,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/3/6,lujan_fernandez,2000,model,3,6
50,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/4/6,lujan_fernandez,2000,model,4,6
51,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/5/6,lujan_fernandez,2000,model,5,6
52,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/lujan_fernandez/2000/model/6/6,lujan_fernandez,2000,model,6,6
53,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/1/6,michelle_behennah,2000,model,1,6
54,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/2/6,michelle_behennah,2000,model,2,6
55,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/3/6,michelle_behennah,2000,model,3,6
56,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/4/6,michelle_behennah,2000,model,4,6
57,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/5/6,michelle_behennah,2000,model,5,6
58,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/michelle_behennah/2000/model/6/6,michelle_behennah,2000,model,6,6
59,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/1/8,noemie_lenoir,2000,model,1,8
60,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/2/8,noemie_lenoir,2000,model,2,8
61,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/3/8,noemie_lenoir,2000,model,3,8
62,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/4/8,noemie_lenoir,2000,model,4,8
63,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/5/8,noemie_lenoir,2000,model,5,8
64,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/6/8,noemie_lenoir,2000,model,6,8
65,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/7/8,noemie_lenoir,2000,model,7,8
66,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/noemie_lenoir/2000/model/8/8,noemie_lenoir,2000,model,8,8
67,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/1/6,rachel_roberts,2000,model,1,6
68,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/2/6,rachel_roberts,2000,model,2,6
69,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/3/6,rachel_roberts,2000,model,3,6
70,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/4/6,rachel_roberts,2000,model,4,6
71,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/5/6,rachel_roberts,2000,model,5,6
72,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/rachel_roberts/2000/model/6/6,rachel_roberts,2000,model,6,6
73,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/1/8,shakara_ledard,2000,model,1,8
74,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/2/8,shakara_ledard,2000,model,2,8
75,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/3/8,shakara_ledard,2000,model,3,8
76,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/4/8,shakara_ledard,2000,model,4,8
77,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/5/8,shakara_ledard,2000,model,5,8
78,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/6/8,shakara_ledard,2000,model,6,8
79,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/7/8,shakara_ledard,2000,model,7,8
80,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/shakara_ledard/2000/model/8/8,shakara_ledard,2000,model,8,8
81,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/1/7,veronica_varekova,2000,model,1,7
82,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/2/7,veronica_varekova,2000,model,2,7
83,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/3/7,veronica_varekova,2000,model,3,7
84,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/4/7,veronica_varekova,2000,model,4,7
85,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/5/7,veronica_varekova,2000,model,5,7
86,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/6/7,veronica_varekova,2000,model,6,7
87,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/veronica_varekova/2000/model/7/7,veronica_varekova,2000,model,7,7
88,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/1/8,yamila_diaz-rahi,2000,model,1,8
89,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/2/8,yamila_diaz-rahi,2000,model,2,8
90,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/3/8,yamila_diaz-rahi,2000,model,3,8
91,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/4/8,yamila_diaz-rahi,2000,model,4,8
92,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/5/8,yamila_diaz-rahi,2000,model,5,8
93,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/6/8,yamila_diaz-rahi,2000,model,6,8
94,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/7/8,yamila_diaz-rahi,2000,model,7,8
95,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/yamila_diaz-rahi/2000/model/8/8,yamila_diaz-rahi,2000,model,8,8
96,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/1/7,amy_wesson,2001,model,1,7
97,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/2/7,amy_wesson,2001,model,2,7
98,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/3/7,amy_wesson,2001,model,3,7
99,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/4/7,amy_wesson,2001,model,4,7
100,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/5/7,amy_wesson,2001,model,5,7
101,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/6/7,amy_wesson,2001,model,6,7
102,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/amy_wesson/2001/model/7/7,amy_wesson,2001,model,7,7
103,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/1/7,aurelie_claudel,2001,model,1,7
104,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/2/7,aurelie_claudel,2001,model,2,7
105,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/3/7,aurelie_claudel,2001,model,3,7
106,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/4/7,aurelie_claudel,2001,model,4,7
107,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/5/7,aurelie_claudel,2001,model,5,7
108,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/6/7,aurelie_claudel,2001,model,6,7
109,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/aurelie_claudel/2001/model/7/7,aurelie_claudel,2001,model,7,7
110,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/1/7,daniela_pestova,2001,model,1,7
111,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/2/7,daniela_pestova,2001,model,2,7
112,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/3/7,daniela_pestova,2001,model,3,7
113,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/4/7,daniela_pestova,2001,model,4,7
114,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/5/7,daniela_pestova,2001,model,5,7
115,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/6/7,daniela_pestova,2001,model,6,7
116,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/daniela_pestova/2001/model/7/7,daniela_pestova,2001,model,7,7
117,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/1/7,elsa_benitez,2001,model,1,7
118,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/2/7,elsa_benitez,2001,model,2,7
119,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/3/7,elsa_benitez,2001,model,3,7
120,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/4/7,elsa_benitez,2001,model,4,7
121,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/5/7,elsa_benitez,2001,model,5,7
122,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/6/7,elsa_benitez,2001,model,6,7
123,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/elsa_benitez/2001/model/7/7,elsa_benitez,2001,model,7,7
124,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/1/7,fernanda_tavares,2001,model,1,7
125,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/2/7,fernanda_tavares,2001,model,2,7
126,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/3/7,fernanda_tavares,2001,model,3,7
127,http://sportsillustrated.cnn.com/vault/swimsuit/modelfeatured/fernanda_tavares/2001/model/4/7,fernanda_tavares,2001,model,4,7
