Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
56,Jacob Gowan,http://www.gostanford.com/sports/m-footbl/mtt/jacob_gowan_439858.html,LS,6/3/13,260,SR,"Santa Rosa, CA",Santa Rosa,CA,Cardinal Newman High School,,,,Stanford University,2012-2013
82,Chris Harrell,http://www.gostanford.com/sports/m-footbl/mtt/chris_harrell_809255.html,TE,6/4/13,225,FR,"Missouri City, TX",Missouri City,TX,Elkins High School,,,,Stanford University,2012-2013
23,Ronnie Harris,http://www.gostanford.com/sports/m-footbl/mtt/ronnie_harris_755807.html,NB,5/10/13,172,SO,"Atlanta, GA",Atlanta,GA,Westlake High School,,,,Stanford University,2012-2013
97,Anthony Hayes,http://www.gostanford.com/sports/m-footbl/mtt/anthony_hayes_755808.html,DT,6/3/13,298,SO,"Brooklyn Park, MN",Brooklyn Park,MN,St. Thomas Academy,,,,Stanford University,2012-2013
40,Joe Hemschoot,http://www.gostanford.com/sports/m-footbl/mtt/joe_hemschoot_702765.html,ILB,6/1/13,225,JR,"Lakewood, CO",Lakewood,CO,Lakewood High School,,,,Stanford University,2012-2013
85,Ryan Hewitt,http://www.gostanford.com/sports/m-footbl/mtt/ryan_hewitt_439879.html,FB,6/4/13,248,SR,"Denver, CO",Denver,CO,J.K. Mullen High School,,,,Stanford University,2012-2013
10,Zach Hoffpauir,http://www.gostanford.com/sports/m-footbl/mtt/zach_hoffpauir_809257.html,SS,6/1/00,203,FR,"Glendale, AZ",Glendale,AZ,Centennial High School,,,,Stanford University,2012-2013
8,Kevin Hogan,http://www.gostanford.com/sports/m-footbl/mtt/kevin_hogan_755809.html,QB,6/4/13,224,SO,"McLean, VA",McLean,VA,Gonzaga College High School,,,,Stanford University,2012-2013
92,Charlie Hopkins,http://www.gostanford.com/sports/m-footbl/mtt/charlie_hopkins_755810.html,DE,6/6/13,274,SO,"Spokane, WA",Spokane,WA,Gonzaga Prep,,,,Stanford University,2012-2013
59,Craig Jones,http://www.gostanford.com/sports/m-footbl/mtt/craig_jones_809258.html,ILB,6/1/00,220,FR,"Modesto, CA",Modesto,CA,Central Catholic High School,,,,Stanford University,2012-2013
14,Dontonio Jordan,http://www.gostanford.com/sports/m-footbl/mtt/dontonio_jordan_809259.html,WR,5/11/13,183,FR,"Hickory Creek, TX",Hickory Creek,TX,Lake Dallas High School,,,,Stanford University,2012-2013
46,Matt Kasner,http://www.gostanford.com/sports/m-footbl/mtt/matt_kasner_755811.html,TE,6/4/13,226,SO,"Granite Bay, CA",Granite Bay,CA,Granite Bay High School,,,,Stanford University,2012-2013
98,Luke Kaumatule,http://www.gostanford.com/sports/m-footbl/mtt/luke_kaumatule_809261.html,TE,6/7/13,253,FR,"Honolulu, HI",Honolulu,HI,Punahou School,,,,Stanford University,2012-2013
80,Sam Knapp,http://www.gostanford.com/sports/m-footbl/mtt/sam_knapp_439897.html,WR,6/3/13,208,SR,"Menlo Park, CA",Menlo Park,CA,Menlo-Atherton High School,,,,Stanford University,2012-2013
38,Gautam Krishnamurthi,http://www.gostanford.com/sports/m-footbl/mtt/gautam_krishnamurthi_809263.html,WR,6/1/13,170,SO,"Saratoga, CA",Saratoga,CA,Harker School,,,,Stanford University,2012-2013
41,Cason Kynes,http://www.gostanford.com/sports/m-footbl/mtt/cason_kynes_755813.html,SS,5/9/13,187,SR,"Annandale, VA",Annandale,VA,Annandale High School,,,,Stanford University,2012-2013
35,Jarek Lancaster,http://www.gostanford.com/sports/m-footbl/mtt/jarek_lancaster_439863.html,ILB,6/1/13,242,SR,"Helotes, TX",Helotes,TX,Sandra Day O'Connor High School,,,,Stanford University,2012-2013
15,Dallas Lloyd,http://www.gostanford.com/sports/m-footbl/mtt/dallas_lloyd_809264.html,QB,6/3/13,199,FR,"Pleasant Grove, UT",Pleasant Grove,UT,Pleasant Grove High School,,,,Stanford University,2012-2013
55,Nate Lohn,http://www.gostanford.com/sports/m-footbl/mtt/nate_lohn_809265.html,DE,6/3/13,273,FR,"Kansas City, MO",Kansas City,MO,Staley High School,,,,Stanford University,2012-2013
43,Blake Lueders,http://www.gostanford.com/sports/m-footbl/mtt/blake_lueders_702585.html,OLB,6/5/13,256,JR,"Zionsville, IN",Zionsville,IN,Zionsville Community High School,,,,Stanford University,2012-2013
2,Wayne Lyons,http://www.gostanford.com/sports/m-footbl/mtt/wayne_lyons_755814.html,CB,6/1/13,187,SO,"Ft. Lauderdale, FL",Ft. Lauderdale,FL,Dillard High School,,,,Stanford University,2012-2013
21,Drew Madhu,http://www.gostanford.com/sports/m-footbl/mtt/drew_madhu_809224.html,FS,6/1/13,192,FR,"Tampa, FL",Tampa,FL,H.B. Plant,,,,Stanford University,2012-2013
4,Blake Martinez,http://www.gostanford.com/sports/m-footbl/mtt/blake_martinez_809225.html,ILB,6/2/13,237,FR,"Tucson, AZ",Tucson,AZ,Canyon del Oro,,,,Stanford University,2012-2013
90,Josh Mauro,http://www.gostanford.com/sports/m-footbl/mtt/josh_mauro_439864.html,DE,6/6/13,277,SR,"Hurst, TX",Hurst,TX,L.D. Bell High School,,,,Stanford University,2012-2013
61,Conor McFadden,http://www.gostanford.com/sports/m-footbl/mtt/conor_mcfadden_702766.html,C/OG,6/3/13,284,JR,"West St. Paul, MN",West St. Paul,MN,St. Thomas Academy,,,,Stanford University,2012-2013
10,Geoff Meinken,http://www.gostanford.com/sports/m-footbl/mtt/geoff_meinken_439867.html,FB,6/4/13,252,SR,"Lynnwood, WA",Lynnwood,WA,Lynnwood High School,,,,Stanford University,2012-2013
45,Sam Mercer,http://www.gostanford.com/sports/m-footbl/mtt/sam_mercer_755815.html,ILB,6/1/00,218,SO,"Thousand Oaks, CA",Thousand Oaks,CA,Chaminade College Prep,,,,Stanford University,2012-2013
67,Reed Miller,http://www.gostanford.com/sports/m-footbl/mtt/reed_miller_809229.html,LS,6/2/13,225,FR,"Encinitas, CA",Encinitas,CA,Santa Fe Christian School,,,,Stanford University,2012-2013
88,Ty Montgomery,http://www.gostanford.com/sports/m-footbl/mtt/ty_montgomery_755816.html,WR,6/2/13,212,SO,"Dallas, TX",Dallas,TX,St. Mark's School of Texas,,,,Stanford University,2012-2013
60,Brian Moran,http://www.gostanford.com/sports/m-footbl/mtt/brian_moran_755817.html,OT/OG,6/7/13,309,SO,"Menlo Park, CA",Menlo Park,CA,Sacred Heart Prep,,,,Stanford University,2012-2013
47,Myles Muagututia,http://www.gostanford.com/sports/m-footbl/mtt/myles_muagututia_439870.html,ILB,6/2/13,223,SR,"Oceanside, CA",Oceanside,CA,Francis Parker High School,,,,Stanford University,2012-2013
78,Kyle Murphy,http://www.gostanford.com/sports/m-footbl/mtt/kyle_murphy_809230.html,OT,6/7/13,280,FR,"San Clemente, CA",San Clemente,CA,San Clemente,,,,Stanford University,2012-2013
93,Trent Murphy,http://www.gostanford.com/sports/m-footbl/mtt/trent_murphy_439873.html,OLB,6/6/13,261,SR,"Phoenix, AZ",Phoenix,AZ,Brophy College Prep,,,,Stanford University,2012-2013
20,Keanu Nelson,http://www.gostanford.com/sports/m-footbl/mtt/keanu_nelson_702587.html,WR,5/11/13,178,JR,"Tucson, AZ",Tucson,AZ,Sabino High School,,,,Stanford University,2012-2013
6,Josh Nunes,http://www.gostanford.com/sports/m-footbl/mtt/josh_nunes_439918.html,QB,6/4/13,225,SR,"Upland, CA",Upland,CA,Upland High School,,,,Stanford University,2012-2013
