Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
18,Dwayne Stanford,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504201&Q_SEASON=2012,WR,6/5/13,195,Fr.,"Cincinnati, Ohio ",Cincinnati,OHIO,Taft High School,,University of Oregon,2012-2013,,,
19,Eric Dungy,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971241&Q_SEASON=2012,WR,6/1/13,183,So.,"Tampa, Fla. ",Tampa,FL,Plant High School,,University of Oregon,2012-2013,,,
20,John Boyett,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550409&Q_SEASON=2012,FS,5/10/13,205,Sr.,"Napa, Calif. ",Napa,CA,Napa High School,,University of Oregon,2012-2013,,,
21,Chance Allen,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504191&Q_SEASON=2012,WR,6/2/13,195,Fr.,"Missouri City, Texas ",Missouri City,TX,Fort Bend Elkins High School,,University of Oregon,2012-2013,,,
21,Avery Patterson,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204830527&Q_SEASON=2012,CB,5/10/13,185,Jr.,"Pittsburg, Calif. ",Pittsburg,CA,Pittsburg High School,,University of Oregon,2012-2013,,,
22,Derrick Malone,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971247&Q_SEASON=2012,LB,6/2/13,219,So.,"Colton, Calif. ",Colton,CA,Colton High School,,University of Oregon,2012-2013,,,
23,B.J. Kelley,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238233&Q_SEASON=2012,WR,6/2/13,181,RFr.,"Fresno, Calif. ",Fresno,CA,Central High School,,University of Oregon,2012-2013,,,
24,Kenjon Barner,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550399&Q_SEASON=2012,RB,5/11/13,192,Sr.,"Riverside, Calif. ",Riverside,CA,Notre Dame High School,,University of Oregon,2012-2013,,,
25,Boseko Lokombo,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773876&Q_SEASON=2012,LB,6/3/13,233,Jr.,"Abbotsford, B.C. ",Abbotsford,BC,W.J. Mouat High School,,University of Oregon,2012-2013,,,
26,Ben Butterfield,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204827572&Q_SEASON=2012,DB,6/1/00,197,Jr.,"Sherwood, Ore. ",Sherwood,ORE,Sherwood High School,,University of Oregon,2012-2013,,,
