Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown ,City,State,High_School,Prior_College,DBPediaCollege_Name,Season,ID_Player_Race,Formal_Stated_Major,College_Major_Group
84,Stetzon Bair,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504142&Q_SEASON=2012,DL,6/9/13,270,So.,"St. Anthony, Idaho ",St. Anthony,IDAHO,South Fremont High School,Iowa Western Community College,University of Oregon,2012-2013,,,
84,Chad Delaney,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204920061&Q_SEASON=2012,WR,6/1/00,180,Jr.,"Elmira, Ore. ",Elmira,ORE,Elmira High School,,University of Oregon,2012-2013,,,
85,Pharaoh Brown,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205504197&Q_SEASON=2012,TE,6/6/13,234,Fr.,"Lyndhurst, Ohio ",Lyndhurst,OHIO,Brush High School,,University of Oregon,2012-2013,,,
86,Brian Teague,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204783115&Q_SEASON=2012,TE,6/3/13,265,Jr.,"Portland, Ore. ",Portland,ORE,David Douglas High School,,University of Oregon,2012-2013,,,
87,Nick Morrison,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205239073&Q_SEASON=2012,DL,6/4/13,265,Sr.,"Everett, Wash. ",Everett,WA,Cascade High School,,University of Oregon,2012-2013,,,
88,Jeff Bedbury,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680887&Q_SEASON=2012,WR,6/1/00,195,RSo.,Eugene ,Eugene ,ORE,Marist High School,,University of Oregon,2012-2013,,,
89,Will Murphy,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=3744204&Q_SEASON=2012,WR,6/2/13,193,Sr.,"Albany, Ore. ",Albany,ORE,West Albany High School,,University of Oregon,2012-2013,,,
90,Ricky Heimuli,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971242&Q_SEASON=2012,DT,6/4/13,305,Jr.,"Glendale, Utah ",Glendale,UT,Brighton High School,,University of Oregon,2012-2013,,,
91,Dane Ebanez,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204827575&Q_SEASON=2012,WR,5/9/13,180,Jr.,"North Pole, Alaska ",North Pole,AK,North Pole High School,,University of Oregon,2012-2013,,,
91,Tony Washington,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204971251&Q_SEASON=2012,DE,6/3/13,244,So.,"Rancho Cucamonga, Calif. ",Rancho Cucamonga,CA,Los Osos High School,,University of Oregon,2012-2013,,,
92,Patrick Acosta,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205718663&Q_SEASON=2012,WR,5/8/13,167,Jr.,"Beaverton, Ore. ",Beaverton,ORE,Westview High School,,University of Oregon,2012-2013,,,
92,Wade Keliikipi,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204773885&Q_SEASON=2012,DT,6/3/13,295,Jr.,"Waianae, Hawaii ",Waianae,HAWAII,Waianae High School,,University of Oregon,2012-2013,,,
93,Rob Beard,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550967&Q_SEASON=2012,PK,6/1/00,215,Sr.,"Fullerton, Calif. ",Fullerton,CA,Troy High School,,University of Oregon,2012-2013,,,
94,Axel McQuaw,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=204999994&Q_SEASON=2012,OL,6/6/13,275,Jr.,"Yachats, Ore. ",Yachats,ORE,Waldport High School,,University of Oregon,2012-2013,,,
96,Dion Jordan,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=1550429&Q_SEASON=2012,DE,6/7/13,243,Sr.,"Chandler, Ariz. ",Chandler,AZ,Chandler High School,,University of Oregon,2012-2013,,,
97,Hayden Crook,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205680884&Q_SEASON=2012,PK,5/10/13,155,Fr.,Bend ,Bend ,ORE,Bend High School,,University of Oregon,2012-2013,,,
97,Jared Ebert,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205126096&Q_SEASON=2012,DT,6/5/13,260,Jr.,"Iowa City, Iowa ",Iowa City,IOWA,Iowa City West High School,Iowa Western Community College,University of Oregon,2012-2013,,,
98,David Kafovalu,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205003378&Q_SEASON=2012,DE,6/3/13,240,So.,"Riverside, Calif. ",Riverside,CA,Arlington High School,,University of Oregon,2012-2013,,,
99,Sam Kamp,http://www.goducks.com/ViewArticle.dbml?SPSID=3378&SPID=233&DB_OEM_ID=500&ATCLID=205238131&Q_SEASON=2012,DL,6/4/13,251,RFr.,"Mesa, Ariz. ",Mesa,AZ,Mountain View High School,,University of Oregon,2012-2013,,,
