Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
44,Perez Ford,http://www.niuhuskies.com/sports/m-footbl/mtt/ford_perez00.html,RB,6/1/00,218,FR,"Romeoville, IL",Romeoville,IL,Romeoville,,,,,Northern Illinois University,2012-2013
59,Michael Gegner,http://www.niuhuskies.com/sports/m-footbl/mtt/gegner_michael00.html,C,6/3/13,283,RS SO,"Indianapolis, IN",Indianapolis,IN,Warren Central,,,,,Northern Illinois University,2012-2013
81,Clayton Glasper,http://www.niuhuskies.com/sports/m-footbl/mtt/glasper_clayton00.html,WR,6/4/13,202,FR,"Peoria, IL",Peoria,IL,Richwoods,,,,,Northern Illinois University,2012-2013
94,Donovan Gordon,http://www.niuhuskies.com/sports/m-footbl/mtt/gordon_donovan00.html,DT,6/1/00,275,RS SO,"Kansas City, MO",Kansas City,MO,Raytown South,Nebraska-Omaha,,,,Northern Illinois University,2012-2013
50,Ryan Gorrell,http://www.niuhuskies.com/sports/m-footbl/mtt/gorrell_ryan00.html,LB,6/1/13,225,RS SO,"Westchester, IL",Westchester,IL,Montini Catholic,Minnesota State,,,,Northern Illinois University,2012-2013
56,Daniel Green,http://www.niuhuskies.com/sports/m-footbl/mtt/green_daniel00.html,DE,6/1/13,242,RS SR,"Oak Park, IL",Oak Park,IL,Oak Park,River Forest,,,,Northern Illinois University,2012-2013
60,David Green,http://www.niuhuskies.com/sports/m-footbl/mtt/green_david00.html,DL,6/2/13,315,RS SO,"Oak Park, Ill.",Oak Park,ILL,Oak Park,Triton College,,,,Northern Illinois University,2012-2013
80,Jordan Gruettner,http://www.niuhuskies.com/sports/m-footbl/mtt/gruettner_jordan00.html,P,5/11/13,225,FR,"Muskego, Wis.",Muskego,WIS,Muskego,,,,,Northern Illinois University,2012-2013
12,Drew Hare,http://www.niuhuskies.com/sports/m-footbl/mtt/hare_drew00.html,QB,6/1/13,200,FR,"O'Fallon, MO",O'Fallon,MO,Fort Zumwalt West,,,,,Northern Illinois University,2012-2013
20,Keith Harris Jr.,http://www.niuhuskies.com/sports/m-footbl/mtt/harrisjr_keith00.html,RB,5/8/13,181,FR,"Chicago, IL",Chicago,IL,Leo,,,,,Northern Illinois University,2012-2013
17,Marckie Hayes,http://www.niuhuskies.com/sports/m-footbl/mtt/hayes_marckie00.html,CB,5/8/13,176,RS SO,"Sycamore, IL",Sycamore,IL,Sycamore,,,,,Northern Illinois University,2012-2013
41,Cody Hazelett,http://www.niuhuskies.com/sports/m-footbl/mtt/hazelett_cody00.html,LB,6/2/13,200,FR,"Inver Grove Heights, MN",Inver Grove Heights,MN,Simley,,,,,Northern Illinois University,2012-2013
57,Cornelius Henry,http://www.niuhuskies.com/sports/m-footbl/mtt/henry_cornelius00.html,DT,6/1/00,250,RS SO,"Chicago, Ill.",Chicago,ILL,Fenger Academy,,,,,Northern Illinois University,2012-2013
98,Lincoln Howard,http://www.niuhuskies.com/sports/m-footbl/mtt/howard_lincoln00.html,TE,6/5/13,285,FR,"Osceola, WI",Osceola,WI,Osceola,,,,,Northern Illinois University,2012-2013
62,Patrick Husain,http://www.niuhuskies.com/sports/m-footbl/mtt/husain_patrick00.html,OL,6/7/13,309,JR,"Evanston, IL",Evanston,IL,Evanston Township,Tulane,,,,Northern Illinois University,2012-2013
96,Michael Ippolito,http://www.niuhuskies.com/sports/m-footbl/mtt/ippolito_michael00.html,DE,6/3/13,259,FR,"Naperville, IL",Naperville,IL,Neuqua Valley,,,,,Northern Illinois University,2012-2013
16,Charles Ivory,http://www.niuhuskies.com/sports/m-footbl/mtt/ivory_charles00.html,CB,6/1/00,160,FR,"Vero Beach, FL",Vero Beach,FL,Vero Beach,,,,,Northern Illinois University,2012-2013
40,Victor Jacques,http://www.niuhuskies.com/sports/m-footbl/mtt/jacques_victor00.html,LB,5/11/13,228,RS SR,"Miami, FL",Miami,FL,Christopher Columbus,,,,,Northern Illinois University,2012-2013
99,Nabal Jefferson,http://www.niuhuskies.com/sports/m-footbl/mtt/jefferson_nabal00.html,DT,6/1/00,287,SR,"Chicago, IL",Chicago,IL,Marist,,,,,Northern Illinois University,2012-2013
92,Mario Jones,http://www.niuhuskies.com/sports/m-footbl/mtt/jones_mario00.html,DT,,275,FR,"Chicago, IL",Chicago,IL,Hubbard,,,,,Northern Illinois University,2012-2013
73,Matt Killian,http://www.niuhuskies.com/sports/m-footbl/mtt/killian_matt00.html,OL,6/5/13,303,RS FR,"O'Fallon, MO",O'Fallon,MO,Francis Howell,,,,,Northern Illinois University,2012-2013
79,Matt Krempel,http://www.niuhuskies.com/sports/m-footbl/mtt/krempel_matt00.html,OL,6/5/13,307,RS JR,"Columbus, IN",Columbus,IN,Columbus North,,,,,Northern Illinois University,2012-2013
9,Rasheen Lemon,http://www.niuhuskies.com/sports/m-footbl/mtt/lemon_rasheen00.html,S,6/1/00,206,RS FR,"Chicago, IL",Chicago,IL,Proviso West,,,,,Northern Illinois University,2012-2013
10,Tommylee Lewis,http://www.niuhuskies.com/sports/m-footbl/mtt/lewis_tommylee01.html,WR,5/7/13,155,SO,"Riviera Beach, FL",Riviera Beach,FL,W.T. Dwyer,,,,,Northern Illinois University,2012-2013
63,Larry Lloyd,http://www.niuhuskies.com/sports/m-footbl/mtt/lloyd_larry00.html,DT,6/1/00,244,RS SO,"Chicago, IL",Chicago,IL,Glenbard East,,,,,Northern Illinois University,2012-2013
29,Paris Logan,http://www.niuhuskies.com/sports/m-footbl/mtt/logan_paris00.html,CB,5/9/13,179,RS FR,"Columbia, MO",Columbia,MO,Rock Bridge,,,,,Northern Illinois University,2012-2013
75,Tyler Loos,http://www.niuhuskies.com/sports/m-footbl/mtt/loos_tyler00.html,OL,6/5/13,282,RS SO,"Sterling, IL",Sterling,IL,Sterling,,,,,Northern Illinois University,2012-2013
6,Jordan Lynch,http://www.niuhuskies.com/sports/m-footbl/mtt/lynch_jordan00.html,QB,6/1/00,216,RS JR,"Chicago, IL",Chicago,IL,Mt. Carmel,,,,,Northern Illinois University,2012-2013
80,DeVonte' Majors,http://www.niuhuskies.com/sports/m-footbl/mtt/majors_devonte01.html,WR,6/1/13,237,RS FR,"O'Fallon, MO",O'Fallon,MO,Fort Zumwalt West,,,,,Northern Illinois University,2012-2013
37,Desroy Maxwell,http://www.niuhuskies.com/sports/m-footbl/mtt/maxwell_desroy00.html,TE,6/2/13,245,FR,"Evanston, IL",Evanston,IL,Amundsen,,,,,Northern Illinois University,2012-2013
84,Brian Mayer,http://www.niuhuskies.com/sports/m-footbl/mtt/mayer_brian00.html,DS,6/2/13,205,RS SO,"Orland Park, IL",Orland Park,IL,Carl Sandburg,,,,,Northern Illinois University,2012-2013
45,Boomer Mays,http://www.niuhuskies.com/sports/m-footbl/mtt/mays_boomer00.html,LB,6/1/00,230,RS FR,"Lawrence, KS",Lawrence,KS,Eudora,,,,,Northern Illinois University,2012-2013
