,unitid,DOE.Institution_Name,ID_School,ID_Conference,Year,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
1215,217882,Clemson University,CLEM,ACC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,51,26,25,20,12,8,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,1997Size.csv
1228,217882,Clemson University,CLEM,ACC,1996-1997,Baseball,Athletes,Scholarship Awards,41,41,0,38,38,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1229,217882,Clemson University,CLEM,ACC,1996-1997,Basketball,Athletes,Scholarship Awards,27,13,14,8,2,6,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1997Size.csv
1242,217882,Clemson University,CLEM,ACC,1996-1997,All other sports combined,Athletes,Scholarship Awards,132,58,74,112,48,64,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,16,7,9,1997Size.csv
889,198419,Duke University,DUKE,ACC,1996-1997,Baseball,Athletes,Scholarship Awards,17,17,0,16,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
895,198419,Duke University,DUKE,ACC,1996-1997,Football,Athletes,Scholarship Awards,83,83,0,46,46,0,34,34,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1997Size.csv
902,198419,Duke University,DUKE,ACC,1996-1997,All other sports combined,Athletes,Scholarship Awards,117,52,65,106,46,60,1,1,0,2,0,2,1,0,1,0,0,0,0,0,0,7,5,2,1997Size.csv
912,198419,Duke University,DUKE,ACC,1996-1997,Basketball,Athletes,Scholarship Awards,26,11,15,10,3,7,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1997Size.csv
297,134130,University of Florida,FLA,SEC,1996-1997,Football,Athletes,Scholarship Awards,76,76,0,18,18,0,56,56,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1997Size.csv
298,134130,University of Florida,FLA,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,55,32,23,32,20,12,17,8,9,3,3,0,0,0,0,0,0,0,2,1,1,1,0,1,1997Size.csv
325,134130,University of Florida,FLA,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,22,11,11,7,5,2,14,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1997Size.csv
339,134130,University of Florida,FLA,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,36,36,0,27,27,0,1,1,0,7,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
343,134130,University of Florida,FLA,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,126,32,94,105,24,81,5,2,3,4,1,3,1,1,0,1,0,1,2,0,2,8,4,4,1997Size.csv
271,134097,Florida State University,FSU,ACC,1996-1997,Football,Athletes,Scholarship Awards,81,81,0,22,22,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
280,134097,Florida State University,FSU,ACC,1996-1997,Basketball,Athletes,Scholarship Awards,23,9,14,9,2,7,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
282,134097,Florida State University,FSU,ACC,1996-1997,All other sports combined,Athletes,Scholarship Awards,109,33,76,82,23,59,5,1,4,5,1,4,0,0,0,2,1,1,0,0,0,15,7,8,1997Size.csv
289,134097,Florida State University,FSU,ACC,1996-1997,Baseball,Athletes,Scholarship Awards,29,29,0,23,23,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
290,134097,Florida State University,FSU,ACC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,43,21,22,22,10,12,18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1997Size.csv
222,131496,Georgetown University,GTOWN,BIGEAST,1996-1997,All other sports combined,Athletes,Scholarship Awards,68,48,20,68,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
226,131496,Georgetown University,GTOWN,BIGEAST,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,41,18,23,25,14,11,13,4,9,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1997Size.csv
237,131496,Georgetown University,GTOWN,BIGEAST,1996-1997,Basketball,Athletes,Scholarship Awards,26,13,13,5,0,5,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1997Size.csv
586,155399,Kansas State University,KAN.ST,BIG12,1996-1997,Basketball,Athletes,Scholarship Awards,23,13,10,15,5,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
587,155399,Kansas State University,KAN.ST,BIG12,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,50,24,26,40,19,21,9,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
594,155399,Kansas State University,KAN.ST,BIG12,1996-1997,Baseball,Athletes,Scholarship Awards,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
597,155399,Kansas State University,KAN.ST,BIG12,1996-1997,Football,Athletes,Scholarship Awards,79,79,0,35,35,0,42,42,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
602,155399,Kansas State University,KAN.ST,BIG12,1996-1997,All other sports combined,Athletes,Scholarship Awards,40,10,30,36,10,26,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1997Size.csv
631,157289,University of Louisville,LOUIS,BIGEAST,1996-1997,Football,Athletes,Scholarship Awards,23,23,0,6,6,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
637,157289,University of Louisville,LOUIS,BIGEAST,1996-1997,All other sports combined,Athletes,Scholarship Awards,29,9,20,26,7,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1997Size.csv
645,157289,University of Louisville,LOUIS,BIGEAST,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,10,7,3,9,7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
658,157289,University of Louisville,LOUIS,BIGEAST,1996-1997,Baseball,Athletes,Scholarship Awards,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
667,157289,University of Louisville,LOUIS,BIGEAST,1996-1997,Basketball,Athletes,Scholarship Awards,11,4,7,8,1,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
708,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,38,18,20,9,7,2,17,5,12,2,1,1,0,0,0,0,0,0,0,0,0,10,5,5,1997Size.csv
717,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1996-1997,Football,Athletes,Scholarship Awards,83,83,0,29,29,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
718,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,28,14,14,4,2,2,18,10,8,0,0,0,0,0,0,0,0,0,4,2,2,2,0,2,1997Size.csv
720,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,135,39,96,94,25,69,5,1,4,4,0,4,1,0,1,2,0,2,2,1,1,27,12,15,1997Size.csv
730,159391,Louisiana State University and Agricultural & Mechanical College,LSU,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,27,27,0,24,24,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
541,152080,University of Notre Dame,ND,IND,1996-1997,Baseball,Athletes,Scholarship Awards,27,27,0,23,23,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1997Size.csv
542,152080,University of Notre Dame,ND,IND,1996-1997,Basketball,Athletes,Scholarship Awards,25,13,12,17,9,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
559,152080,University of Notre Dame,ND,IND,1996-1997,Football,Athletes,Scholarship Awards,81,81,0,33,33,0,46,46,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1997Size.csv
566,152080,University of Notre Dame,ND,IND,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,35,18,17,25,13,12,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1997Size.csv
574,152080,University of Notre Dame,ND,IND,1996-1997,All other sports combined,Athletes,Scholarship Awards,158,70,88,138,56,82,2,1,1,4,2,2,4,2,2,0,0,0,0,0,0,10,9,1,1997Size.csv
787,181464,University of Nebraska-Lincoln,NEB,BIG10,1996-1997,Football,Athletes,Scholarship Awards,102,102,0,52,52,0,46,46,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
792,181464,University of Nebraska-Lincoln,NEB,BIG10,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,68,33,35,45,19,26,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
806,181464,University of Nebraska-Lincoln,NEB,BIG10,1996-1997,Basketball,Athletes,Scholarship Awards,29,13,16,17,5,12,10,7,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1997Size.csv
820,181464,University of Nebraska-Lincoln,NEB,BIG10,1996-1997,Baseball,Athletes,Scholarship Awards,32,32,0,25,25,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
823,181464,University of Nebraska-Lincoln,NEB,BIG10,1996-1997,All other sports combined,Athletes,Scholarship Awards,194,83,111,175,75,100,4,2,2,4,4,0,7,1,6,3,0,3,1,1,0,0,0,0,1997Size.csv
514,147767,Northwestern University,NWST,BIG12,1996-1997,All other sports combined,Athletes,Scholarship Awards,139,39,100,126,34,92,6,1,5,0,0,0,4,2,2,0,0,0,0,0,0,3,2,1,1997Size.csv
517,147767,Northwestern University,NWST,BIG12,1996-1997,Football,Athletes,Scholarship Awards,89,89,0,51,51,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
523,147767,Northwestern University,NWST,BIG12,1996-1997,Baseball,Athletes,Scholarship Awards,25,25,0,24,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
530,147767,Northwestern University,NWST,BIG12,1996-1997,Basketball,Athletes,Scholarship Awards,25,11,14,18,6,12,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1070,207500,University of Oklahoma Norman Campus,OK,BIG12,1996-1997,Baseball,Athletes,Scholarship Awards,15,15,0,12,12,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1071,207500,University of Oklahoma Norman Campus,OK,BIG12,1996-1997,All other sports combined,Athletes,Scholarship Awards,173,103,70,120,69,51,17,11,6,7,5,2,5,2,3,10,7,3,0,0,0,14,9,5,1997Size.csv
1081,207500,University of Oklahoma Norman Campus,OK,BIG12,1996-1997,Football,Athletes,Scholarship Awards,74,74,0,24,24,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1087,207500,University of Oklahoma Norman Campus,OK,BIG12,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,36,13,23,15,2,13,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,1997Size.csv
1090,207500,University of Oklahoma Norman Campus,OK,BIG12,1996-1997,Basketball,Athletes,Scholarship Awards,19,7,12,10,3,7,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
1016,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1996-1997,Basketball,Athletes,Scholarship Awards,29,12,17,14,5,9,12,7,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1997Size.csv
1017,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,35,17,18,8,4,4,7,2,5,2,1,1,0,0,0,1,1,0,0,0,0,17,9,8,1997Size.csv
1018,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1996-1997,Baseball,Athletes,Scholarship Awards,29,29,0,23,23,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,1997Size.csv
1019,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1996-1997,All other sports combined,Athletes,Scholarship Awards,81,35,46,50,21,29,3,1,2,3,1,2,3,2,1,5,2,3,0,0,0,17,8,9,1997Size.csv
1054,207388,Oklahoma State University-Main Campus,OKSTATE,BIG12,1996-1997,Football,Athletes,Scholarship Awards,79,79,0,23,23,0,50,50,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,1997Size.csv
1159,209551,University of Oregon,ORE,PAC12,1996-1997,Football,Athletes,Scholarship Awards,80,80,0,40,40,0,32,32,0,1,1,0,5,5,0,0,0,0,2,2,0,0,0,0,1997Size.csv
1171,209551,University of Oregon,ORE,PAC12,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,54,24,30,41,17,24,6,3,3,1,0,1,0,0,0,0,0,0,0,0,0,6,4,2,1997Size.csv
1173,209551,University of Oregon,ORE,PAC12,1996-1997,Basketball,Athletes,Scholarship Awards,28,13,15,11,2,9,8,8,0,1,0,1,0,0,0,0,0,0,3,3,0,5,0,5,1997Size.csv
1182,209551,University of Oregon,ORE,PAC12,1996-1997,All other sports combined,Athletes,Scholarship Awards,90,37,53,69,29,40,0,0,0,3,0,3,6,2,4,0,0,0,3,1,2,9,5,4,1997Size.csv
1143,209542,Oregon State University,ORE.ST,PAC12,1996-1997,Football,Athletes,Scholarship Awards,87,87,0,33,33,0,45,45,0,3,3,0,2,2,0,1,1,0,3,3,0,0,0,0,1997Size.csv
1144,209542,Oregon State University,ORE.ST,PAC12,1996-1997,Basketball,Athletes,Scholarship Awards,33,15,18,17,7,10,10,7,3,0,0,0,0,0,0,0,0,0,1,0,1,5,1,4,1997Size.csv
1147,209542,Oregon State University,ORE.ST,PAC12,1996-1997,Baseball,Athletes,Scholarship Awards,40,40,0,35,35,0,1,1,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1997Size.csv
1148,209542,Oregon State University,ORE.ST,PAC12,1996-1997,All other sports combined,Athletes,Scholarship Awards,153,58,95,125,48,77,1,0,1,9,3,6,6,0,6,1,0,1,3,3,0,8,4,4,1997Size.csv
967,204796,Ohio State University-Main Campus,OSU,BIG10,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,28,14,14,5,3,2,18,7,11,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1,1997Size.csv
968,204796,Ohio State University-Main Campus,OSU,BIG10,1996-1997,Basketball,Athletes,Scholarship Awards,26,10,16,8,2,6,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1997Size.csv
969,204796,Ohio State University-Main Campus,OSU,BIG10,1996-1997,Football,Athletes,Scholarship Awards,89,89,0,40,40,0,44,44,0,1,1,0,0,0,0,0,0,0,2,2,0,2,2,0,1997Size.csv
973,204796,Ohio State University-Main Campus,OSU,BIG10,1996-1997,Baseball,Athletes,Scholarship Awards,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
975,204796,Ohio State University-Main Campus,OSU,BIG10,1996-1997,All other sports combined,Athletes,Scholarship Awards,274,128,146,206,90,116,6,4,2,9,7,2,7,2,5,0,0,0,1,1,0,45,24,21,1997Size.csv
835,186380,Rutgers University-New Brunswick,RUT,BIGEAST,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,55,24,31,33,15,18,17,6,11,2,2,0,2,0,2,0,0,0,1,1,0,0,0,0,1997Size.csv
855,186380,Rutgers University-New Brunswick,RUT,BIGEAST,1996-1997,Basketball,Athletes,Scholarship Awards,26,13,13,12,5,7,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
857,186380,Rutgers University-New Brunswick,RUT,BIGEAST,1996-1997,All other sports combined,Athletes,Scholarship Awards,221,82,139,203,74,129,11,3,8,1,0,1,2,1,1,0,0,0,4,4,0,0,0,0,1997Size.csv
864,186380,Rutgers University-New Brunswick,RUT,BIGEAST,1996-1997,Baseball,Athletes,Scholarship Awards,26,26,0,24,24,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
867,186380,Rutgers University-New Brunswick,RUT,BIGEAST,1996-1997,Football,Athletes,Scholarship Awards,74,74,0,31,31,0,40,40,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1252,218663,University of South Carolina-Columbia,SCAR,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,126,51,75,94,34,60,1,0,1,3,3,0,1,0,1,0,0,0,0,0,0,27,14,13,1997Size.csv
1254,218663,University of South Carolina-Columbia,SCAR,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,29,29,0,28,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1257,218663,University of South Carolina-Columbia,SCAR,SEC,1996-1997,Football,Athletes,Scholarship Awards,83,83,0,21,21,0,61,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1268,218663,University of South Carolina-Columbia,SCAR,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,26,14,12,8,3,5,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
1278,218663,University of South Carolina-Columbia,SCAR,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,39,17,22,18,9,9,13,3,10,0,0,0,1,0,1,0,0,0,0,0,0,7,5,2,1997Size.csv
117,122755,San Jose State University,SJ.ST,MWC,1996-1997,Football,Athletes,Scholarship Awards,55,55,0,29,29,0,16,16,0,5,5,0,3,3,0,0,0,0,2,2,0,0,0,0,1997Size.csv
124,122755,San Jose State University,SJ.ST,MWC,1996-1997,All other sports combined,Athletes,Scholarship Awards,126,32,94,78,16,62,10,7,3,13,4,9,9,0,9,4,2,2,12,3,9,0,0,0,1997Size.csv
126,122755,San Jose State University,SJ.ST,MWC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,27,8,19,19,6,13,1,1,0,2,0,2,2,1,1,0,0,0,3,0,3,0,0,0,1997Size.csv
129,122755,San Jose State University,SJ.ST,MWC,1996-1997,Basketball,Athletes,Scholarship Awards,31,15,16,13,6,7,14,8,6,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,1997Size.csv
132,122755,San Jose State University,SJ.ST,MWC,1996-1997,Baseball,Athletes,Scholarship Awards,31,31,0,26,26,0,1,1,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1997Size.csv
1346,228246,Southern Methodist University,SMU,CUSA,1996-1997,Basketball,Athletes,Scholarship Awards,28,13,15,15,4,11,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
1351,228246,Southern Methodist University,SMU,CUSA,1996-1997,All other sports combined,Athletes,Scholarship Awards,93,44,49,78,33,45,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,13,9,4,1997Size.csv
1379,228246,Southern Methodist University,SMU,CUSA,1996-1997,Football,Athletes,Scholarship Awards,84,84,0,36,36,0,44,44,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1385,228246,Southern Methodist University,SMU,CUSA,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,25,11,14,5,1,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,17,9,8,1997Size.csv
1540,243744,Stanford University,STAN,PAC12,1996-1997,Basketball,Athletes,Scholarship Awards,28,13,15,14,6,8,10,5,5,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1997Size.csv
1553,243744,Stanford University,STAN,PAC12,1996-1997,Baseball,Athletes,Scholarship Awards,21,21,0,19,19,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1567,243744,Stanford University,STAN,PAC12,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,40,16,24,30,13,17,7,2,5,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1997Size.csv
1573,243744,Stanford University,STAN,PAC12,1996-1997,Football,Athletes,Scholarship Awards,75,75,0,39,39,0,33,33,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1997Size.csv
1575,243744,Stanford University,STAN,PAC12,1996-1997,All other sports combined,Athletes,Scholarship Awards,185,75,110,144,57,87,3,2,1,12,7,5,18,6,12,0,0,0,0,0,0,8,3,5,1997Size.csv
1386,228723,Texas A & M University-College Station,TAM,SEC,1996-1997,Football,Athletes,Scholarship Awards,77,77,0,29,29,0,46,46,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1392,228723,Texas A & M University-College Station,TAM,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,31,13,18,16,4,12,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
1393,228723,Texas A & M University-College Station,TAM,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,128,36,92,106,28,78,1,0,1,5,1,4,1,0,1,1,1,0,0,0,0,14,6,8,1997Size.csv
1394,228723,Texas A & M University-College Station,TAM,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,40,40,0,39,39,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1435,228723,Texas A & M University-College Station,TAM,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,68,38,30,38,21,17,24,14,10,1,0,1,2,0,2,0,0,0,0,0,0,3,3,0,1997Size.csv
402,139959,University of Georgia,UGA,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,134,37,97,112,28,84,4,2,2,0,0,0,2,0,2,0,0,0,0,0,0,16,7,9,1997Size.csv
411,139959,University of Georgia,UGA,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,36,36,0,33,33,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
426,139959,University of Georgia,UGA,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,28,14,14,5,3,2,21,11,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1997Size.csv
429,139959,University of Georgia,UGA,SEC,1996-1997,Football,Athletes,Scholarship Awards,86,86,0,26,26,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
435,139959,University of Georgia,UGA,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,38,16,22,10,4,6,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,1997Size.csv
749,170976,University of Michigan-Ann Arbor,UM,BIG10,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,51,24,27,26,13,13,18,7,11,0,0,0,1,1,0,0,0,0,0,0,0,6,3,3,1997Size.csv
765,170976,University of Michigan-Ann Arbor,UM,BIG10,1996-1997,Baseball,Athletes,Scholarship Awards,19,19,0,18,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
766,170976,University of Michigan-Ann Arbor,UM,BIG10,1996-1997,Basketball,Athletes,Scholarship Awards,28,12,16,10,3,7,16,9,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
768,170976,University of Michigan-Ann Arbor,UM,BIG10,1996-1997,Football,Athletes,Scholarship Awards,88,88,0,45,45,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
771,170976,University of Michigan-Ann Arbor,UM,BIG10,1996-1997,All other sports combined,Athletes,Scholarship Awards,198,66,132,170,54,116,7,2,5,4,1,3,8,1,7,0,0,0,3,3,0,6,5,1,1997Size.csv
930,199120,University of North Carolina at Chapel Hill,UNC,ACC,1996-1997,Football,Athletes,Scholarship Awards,88,88,0,28,28,0,59,59,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1997Size.csv
