,unitid,DOE.Institution_Name,ID_School,ID_Conference,Year,Sport,ID_Variable,Variable,Total,M,W,C,C.M,C.W,AA,AA.M,AA.W,H,H.M,H.W,AS.PI,AS.PI.M,AS.PI.W,AI,AI.M,AI.W,UNK,UNK.M,UNK.W,NON,NON.M,NON.W,fname
51,100858,Auburn University,AUB,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,130,40,90,109,28,81,5,1,4,1,0,1,2,1,1,1,1,0,0,0,0,12,9,3,1997Size.csv
52,100858,Auburn University,AUB,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
53,100858,Auburn University,AUB,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,25,13,12,5,2,3,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1997Size.csv
54,100858,Auburn University,AUB,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,35,17,18,17,9,8,10,5,5,2,0,2,0,0,0,1,1,0,0,0,0,5,2,3,1997Size.csv
55,100858,Auburn University,AUB,SEC,1996-1997,Football,Athletes,Scholarship Awards,87,87,0,22,22,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
16,100751,The University of Alabama,BAMA,SEC,1996-1997,Basketball,Athletes,Scholarship Awards,28,13,15,8,3,5,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1997Size.csv
24,100751,The University of Alabama,BAMA,SEC,1996-1997,Baseball,Athletes,Scholarship Awards,26,26,0,23,23,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
30,100751,The University of Alabama,BAMA,SEC,1996-1997,Football,Athletes,Scholarship Awards,83,83,0,31,31,0,51,51,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1997Size.csv
31,100751,The University of Alabama,BAMA,SEC,1996-1997,All other sports combined,Athletes,Scholarship Awards,118,30,88,92,20,72,2,0,2,4,1,3,0,0,0,0,0,0,0,0,0,20,9,11,1997Size.csv
41,100751,The University of Alabama,BAMA,SEC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,37,18,19,18,11,7,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,1997Size.csv
445,142115,Boise State University,BOS.ST,MWC,1996-1997,Basketball,Athletes,Scholarship Awards,5,1,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1997Size.csv
447,142115,Boise State University,BOS.ST,MWC,1996-1997,All other sports combined,Athletes,Scholarship Awards,10,4,6,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
455,142115,Boise State University,BOS.ST,MWC,1996-1997,Cross-country and/or track,Athletes,Scholarship Awards,10,3,7,6,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997Size.csv
461,142115,Boise State University,BOS.ST,MWC,1996-1997,Football,Athletes,Scholarship Awards,21,21,0,16,16,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
1211,217882,Clemson University,CLEM,ACC,1996-1997,Football,Athletes,Scholarship Awards,77,77,0,28,28,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997Size.csv
