Race,Basketball,Baseball,CC/Track,Football,Other,Gender,School_ID,Variable,Cohort Year,Year
AI,0,0,0,1,2,Male,ND,Scholarships,2005-2006,2010-2011
Asian,0,1,0,0,1,Male,ND,Scholarships,2005-2006,2010-2011
Black,3,0,1,30,1,Male,ND,Scholarships,2005-2006,2010-2011
Hispanic,0,0,0,2,2,Male,ND,Scholarships,2005-2006,2010-2011
PI,0,0,0,0,0,Male,ND,Scholarships,2005-2006,2010-2011
NR,0,0,1,0,7,Male,ND,Scholarships,2005-2006,2010-2011
Mixed,0,0,0,2,0,Male,ND,Scholarships,2005-2006,2010-2011
Unknown,0,0,0,5,3,Male,ND,Scholarships,2005-2006,2010-2011
White,8,21,19,45,95,Male,ND,Scholarships,2005-2006,2010-2011
AI,0,,1,,0,Female,ND,Scholarships,2005-2006,2010-2011
Asian,0,,0,,7,Female,ND,Scholarships,2005-2006,2010-2011
Black,7,,3,,2,Female,ND,Scholarships,2005-2006,2010-2011
Hispanic,0,,2,,4,Female,ND,Scholarships,2005-2006,2010-2011
PI,0,,0,,0,Female,ND,Scholarships,2005-2006,2010-2011
NR,1,,2,,5,Female,ND,Scholarships,2005-2006,2010-2011
Mixed,1,,0,,2,Female,ND,Scholarships,2005-2006,2010-2011
Unknown,0,,0,,4,Female,ND,Scholarships,2005-2006,2010-2011
White,3,,16,,120,Female,ND,Scholarships,2005-2006,2010-2011
AI,0,0,0,2,2,Male,ND,Scholarships,2004-2005,2009-2010
Asian,0,1,0,0,4,Male,ND,Scholarships,2004-2005,2009-2010
Black,5,0,1,31,3,Male,ND,Scholarships,2004-2005,2009-2010
Hispanic,0,0,1,1,3,Male,ND,Scholarships,2004-2005,2009-2010
PI,0,0,0,0,0,Male,ND,Scholarships,2004-2005,2009-2010
NR,0,0,3,0,7,Male,ND,Scholarships,2004-2005,2009-2010
Mixed,0,0,1,0,0,Male,ND,Scholarships,2004-2005,2009-2010
Unknown,0,0,0,6,2,Male,ND,Scholarships,2004-2005,2009-2010
White,7,21,14,38,96,Male,ND,Scholarships,2004-2005,2009-2010
AI,0,,,1,0,Female,ND,Scholarships,2004-2005,2009-2010
Asian,0,,,0,6,Female,ND,Scholarships,2004-2005,2009-2010
Black,6,,,4,1,Female,ND,Scholarships,2004-2005,2009-2010
Hispanic,0,,,2,6,Female,ND,Scholarships,2004-2005,2009-2010
PI,0,,,0,0,Female,ND,Scholarships,2004-2005,2009-2010
NR,1,,,2,7,Female,ND,Scholarships,2004-2005,2009-2010
Mixed,1,,,0,1,Female,ND,Scholarships,2004-2005,2009-2010
Unknown,0,,,0,4,Female,ND,Scholarships,2004-2005,2009-2010
White,3,,,16,123,Female,ND,Scholarships,2004-2005,2009-2010
AI,0,0,0,1,1,Male,ND,Scholarships,2003-2004,2008-2009
Asian,0,0,1,0,4,Male,ND,Scholarships,2003-2004,2008-2009
Black,5,0,1,36,4,Male,ND,Scholarships,2003-2004,2008-2009
Hispanic,0,1,1,1,4,Male,ND,Scholarships,2003-2004,2008-2009
PI,0,0,0,0,0,Male,ND,Scholarships,2003-2004,2008-2009
NR,0,0,4,0,5,Male,ND,Scholarships,2003-2004,2008-2009
Mixed,0,0,0,0,0,Male,ND,Scholarships,2003-2004,2008-2009
Unknown,0,0,0,0,0,Male,ND,Scholarships,2003-2004,2008-2009
White,7,23,13,47,95,Male,ND,Scholarships,2003-2004,2008-2009
AI,0,,,0,0,Female,ND,Scholarships,2003-2004,2008-2009
Asian,0,,,0,8,Female,ND,Scholarships,2003-2004,2008-2009
Black,6,,,3,1,Female,ND,Scholarships,2003-2004,2008-2009
Hispanic,0,,,1,5,Female,ND,Scholarships,2003-2004,2008-2009
PI,0,,,0,0,Female,ND,Scholarships,2003-2004,2008-2009
NR,0,,,2,4,Female,ND,Scholarships,2003-2004,2008-2009
Mixed,0,,,0,0,Female,ND,Scholarships,2003-2004,2008-2009
Unknown,0,,,0,0,Female,ND,Scholarships,2003-2004,2008-2009
White,7,,,13,126,Female,ND,Scholarships,2003-2004,2008-2009
Am.Indian/AN,0,0,0,1,0,Male,ND,Scholarships,2002-2003,2007-2008
Asian/PI,0,0,1,0,3,Male,ND,Scholarships,2002-2003,2007-2008
Black,5,0,0,43,5,Male,ND,Scholarships,2002-2003,2007-2008
Hispanic,0,2,0,0,3,Male,ND,Scholarships,2002-2003,2007-2008
White,7,23,15,36,100,Male,ND,Scholarships,2002-2003,2007-2008
NR,0,0,4,0,9,Male,ND,Scholarships,2002-2003,2007-2008
Other,0,0,0,0,0,Male,ND,Scholarships,2002-2003,2007-2008
Am.Indian/AN,0,,,0,0,Female,ND,Scholarships,2002-2003,2007-2008
Asian/PI,0,,,0,4,Female,ND,Scholarships,2002-2003,2007-2008
Black,4,,,5,0,Female,ND,Scholarships,2002-2003,2007-2008
Hispanic,0,,,0,2,Female,ND,Scholarships,2002-2003,2007-2008
White,7,,,11,127,Female,ND,Scholarships,2002-2003,2007-2008
NR,0,,,1,5,Female,ND,Scholarships,2002-2003,2007-2008
Other,0,,,0,0,Female,ND,Scholarships,2002-2003,2007-2008
Am.Indian/AN,0,0,0,0,0,Male,ND,Scholarships,2001-2002,2006-2007
Asian/PI,0,0,0,0,4,Male,ND,Scholarships,2001-2002,2006-2007
Black,7,0,2,42,1,Male,ND,Scholarships,2001-2002,2006-2007
Hispanic,0,1,0,0,1,Male,ND,Scholarships,2001-2002,2006-2007
White,3,16,15,36,92,Male,ND,Scholarships,2001-2002,2006-2007
NR,0,1,5,1,12,Male,ND,Scholarships,2001-2002,2006-2007
Other,0,0,0,0,0,Male,ND,Scholarships,2001-2002,2006-2007
Am.Indian/AN,0,,,0,1,Female,ND,Scholarships,2001-2002,2006-2007
Asian/PI,0,,,0,3,Female,ND,Scholarships,2001-2002,2006-2007
Black,5,,,7,1,Female,ND,Scholarships,2001-2002,2006-2007
Hispanic,0,,,0,1,Female,ND,Scholarships,2001-2002,2006-2007
White,6,,,10,135,Female,ND,Scholarships,2001-2002,2006-2007
NR,0,,,3,13,Female,ND,Scholarships,2001-2002,2006-2007
Other,0,,,0,0,Female,ND,Scholarships,2001-2002,2006-2007
