Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
William Turner,San Francisco Warriors,"$20,000 ",1967-1968,,,,,
Robert Warlick,San Francisco Warriors,"$20,000 ",1967-1968,,,,,
John Barnhill,Baltimore Bullets,"$25,000 ",1968-1969,,,,,
Leroy Ellis,Baltimore Bullets,"$35,000 ",1968-1969,,,,,
Edward Manning,Baltimore Bullets,"$20,000 ",1968-1969,,,,,
Jack Marin,Baltimore Bullets,"$40,000 ",1968-1969,,,,,
Barry Orms,Baltimore Bullets,"$16,000 ",1968-1969,,,,,
Robert Quick,Baltimore Bullets,"$17,000 ",1968-1969,,,,,
Tom Workman,Baltimore Bullets,"$20,000 ",1968-1969,,,,,
Jim Barnes,Boston Celtics,"$22,500 ",1968-1969,,,,,
Emmette Bryant,Boston Celtics,"$30,000 ",1968-1969,,,,,
Donald Chaney,Boston Celtics,"$25,000 ",1968-1969,,,,,
John Havlicek,Boston Celtics,"$140,000 ",1968-1969,,,,,
Bailey Howell,Boston Celtics,"$52,500 ",1968-1969,,,,,
Donald Nelson,Boston Celtics,"$37,500 ",1968-1969,,,,,
Thomas Sanders,Boston Celtics,"$35,000 ",1968-1969,,,,,
Lawrence Siegfried,Boston Celtics,"$54,000 ",1968-1969,,,,,
Thomas Boerwinkle,Chicago Bulls,"$20,000 ",1968-1969,,,,,
Robert Boozer,Chicago Bulls,"$37,500 ",1968-1969,,,,,
Barry Clemens,Chicago Bulls,"$28,000 ",1968-1969,,,,,
Clem Haskins,Chicago Bulls,"$41,000 ",1968-1969,,,,,
Robert Love,Chicago Bulls,"$27,000 ",1968-1969,,,,,
Erwin Mueller,Chicago Bulls,"$35,000 ",1968-1969,,,,,
Loy Peterson,Chicago Bulls,"$20,000 ",1968-1969,,,,,
Jerry Sloan,Chicago Bulls,"$60,000 ",1968-1969,,,,,
James Washington,Chicago Bulls,"$40,000 ",1968-1969,,,,,
Robert Weiss,Chicago Bulls,"$26,000 ",1968-1969,,,,,
Dave Bing,Detroit Pistons,"$73,500 ",1968-1969,,,,,
Terry Dischinger,Detroit Pistons,"$35,000 ",1968-1969,,,,,
Lloyd Dove,Detroit Pistons,"$35,000 ",1968-1969,,,,,
Harold Hairston,Detroit Pistons,"$41,000 ",1968-1969,,,,,
Howard Komives,Detroit Pistons,"$42,500 ",1968-1969,,,,,
Edward Miles,Detroit Pistons,"$40,000 ",1968-1969,,,,,
Otto Moore,Detroit Pistons,"$35,000 ",1968-1969,,,,,
Cliff Anderson,Los Angeles Lakers,"$18,500 ",1968-1969,,,,,
Mel Counts,Los Angeles Lakers,"$40,000 ",1968-1969,,,,,
Fred Crawford,Los Angeles Lakers,"$26,000 ",1968-1969,,,,,
Keith Erickson,Los Angeles Lakers,"$35,000 ",1968-1969,,,,,
William Hewitt,Los Angeles Lakers,"$20,000 ",1968-1969,,,,,
Len Chappell,Milwaukee Bucks,"$30,000 ",1968-1969,,,,,
Richard Cunningham,Milwaukee Bucks,"$24,000 ",1968-1969,,,,,
Dave Gambee,Milwaukee Bucks,"$30,000 ",1968-1969,,,,,
John McGlocklin,Milwaukee Bucks,"$30,000 ",1968-1969,,,,,
Richard Neiman,Milwaukee Bucks,"$18,500 ",1968-1969,,,,,
Charles Paulk,Milwaukee Bucks,"$30,000 ",1968-1969,,,,,
Flynn] Robinson,Milwaukee Bucks,"$60,000 ",1968-1969,,,,,
Gregory Smith,Milwaukee Bucks,"$20,000 ",1968-1969,,,,,
Sam Williams,Milwaukee Bucks,"$25,000 ",1968-1969,,,,,
Nate Bowman,New York Knicks,"$24,000 ",1968-1969,,,,,
David De Busschere,New York Knicks,"$85,000 ",1968-1969,,,,,
Walter Frazier,New York Knicks,"$50,000 ",1968-1969,,,,,
Wilmer Hosket,New York Knicks,"$15,000 ",1968-1969,,,,,
Philip Jackson,New York Knicks,"$25,000 ",1968-1969,,,,,
Donald May,New York Knicks,"$15,000 ",1968-1969,,,,,
Willis Reed,New York Knicks,"$168,617 ",1968-1969,,,,,
Michael Riordan,New York Knicks,"$22,000 ",1968-1969,,,,,
Cazzie Russell,New York Knicks,"$45,000 ",1968-1969,,,,,
Walter Simon,New York Knicks,"$14,000 ",1968-1969,,,,,
John Green,Philadelphia 76ers,"$23,000 ",1968-1969,,,,,
Harold Greer,Philadelphia 76ers,"$90,000 ",1968-1969,,,,,
Matthew Guokas,Philadelphia 76ers,"$25,000 ",1968-1969,,,,,
Shaler Halimon,Philadelphia 76ers,"$25,000 ",1968-1969,,,,,
Darrall Imhoff,Philadelphia 76ers,"$50,000 ",1968-1969,,,,,
Lucious Jackson,Philadelphia 76ers,"$150,000 ",1968-1969,,,,,
Walter Jones,Philadelphia 76ers,"$50,000 ",1968-1969,,,,,
Craig Raymond,Philadelphia 76ers,"$19,000 ",1968-1969,,,,,
Chester Walker,Philadelphia 76ers,"$55,000 ",1968-1969,,,,,
George Wilson,Philadelphia 76ers,"$20,000 ",1968-1969,,,,,
James Fox,Phoenix Suns,"$27,500 ",1968-1969,,,,,
Gail Goodrich,Phoenix Suns,"$45,000 ",1968-1969,,,,,
Gary Gregor,Phoenix Suns,"$30,000 ",1968-1969,,,,,
Neil Johnson,Phoenix Suns,"$18,000 ",1968-1969,,,,,
David Lattin,Phoenix Suns,"$20,000 ",1968-1969,,,,,
Stanley McKenzie,Phoenix Suns,"$16,000 ",1968-1969,,,,,
Richard Snyder,Phoenix Suns,"$25,000 ",1968-1969,,,,,
Richard Van Arsdale,Phoenix Suns,"$45,000 ",1968-1969,,,,,
Rick Adelman,San Diego Rockets,"$15,000 ",1968-1969,,,,,
James Barnett,San Diego Rockets,"$23,500 ",1968-1969,,,,,
Henry Finkel,San Diego Rockets,"$22,000 ",1968-1969,,,,,
Thomas Kimball,San Diego Rockets,"$32,000 ",1968-1969,,,,,
Donald Kojis,San Diego Rockets,"$35,000 ",1968-1969,,,,,
Stuart Lantz,San Diego Rockets,"$22,500 ",1968-1969,,,,,
Pat Riley,San Diego Rockets,"$28,750 ",1968-1969,,,,,
John Trapp,San Diego Rockets,"$17,500 ",1968-1969,,,,,
Arthur Williams,San Diego Rockets,"$16,000 ",1968-1969,,,,,
Alan Hairston,Seattle Supersonics,"$15,500 ",1968-1969,,,,,
Arthur Harris,Seattle Supersonics,"$18,500 ",1968-1969,,,,,
Robert Kauffman,Seattle Supersonics,"$28,500 ",1968-1969,,,,,
Thomas Meschery,Seattle Supersonics,"$35,000 ",1968-1969,,,,,
Bobby Rule,Seattle Supersonics,"$28,750 ",1968-1969,,,,,
Rodney Thorn,Seattle Supersonics,"$24,000 ",1968-1969,,,,,
John Tresvant,Seattle Supersonics,"$38,000 ",1968-1969,,,,,
Leonard Wilkens,Seattle Supersonics,"$65,000 ",1968-1969,,,,,
Joe Ellis,San Francisco Warriors,"$36,333 ",1968-1969,,,,,
Robert Lewis,San Francisco Warriors,"$17,500 ",1968-1969,,,,,
Dale Schlueter,San Francisco Warriors,"$13,500 ",1968-1969,,,,,
William Turner,San Francisco Warriors,"$30,000 ",1968-1969,,,,,
Ron Williams,San Francisco Warriors,"$20,000 ",1968-1969,,,,,
