"","rank","team","value","value_change","debt_percent","revenue","operating_income","year"
"433",7,"Texas Rangers",281,11,71,108.1,0.5,1999
"434",8,"Los Angeles Dodgers",270,14,5,107.9,-11.7,1999
"435",9,"Boston Red Sox",256,12,8,106.9,-7.6,1999
"436",10,"New York Mets",249,29,5,99.7,-5.2,1999
"437",11,"Houston Astros",239,26,67,82.5,-3.7,1999
"438",12,"Seattle Mariners",236,-6,35,81.3,-8.6,1999
"439",13,"Tampa Bay Devil Rays",225,NA,33,93.7,20.6,1999
"440",14,"Chicago Cubs",224,10,6,93.1,-7.9,1999
"441",15,"San Francisco Giants",213,13,80,73.3,-6.4,1999
"442",16,"St Louis Cardinals",205,18,7,97.8,1.6,1999
"443",17,"San Diego Padres",205,27,63,78.9,-8,1999
"444",18,"Anaheim Angels",195,24,10,88.5,-0.2,1999
"445",19,"Chicago White Sox",178,-17,8,74.1,0.2,1999
"446",20,"Cincinnati Reds",163,20,18,54.4,0.6,1999
"447",21,"Toronto Blue Jays",162,15,8,73.4,-9.5,1999
"448",22,"Milwaukee Brewers",155,22,80,55.5,-8.8,1999
"449",23,"Florida Marlins",153,-4,0,69.5,8.6,1999
"450",24,"Detroit Tigers",152,11,96,54.2,-4.5,1999
"451",25,"Philadelphia Phillies",145,11,9,66,4.5,1999
"452",26,"Pittsburgh Pirates",145,9,62,51.7,2.6,1999
"453",27,"Oakland Athletics",125,6,11,56.7,3.3,1999
"454",28,"Kansas City Royals",96,-11,21,53.5,-10.9,1999
"455",29,"Minnesota Twins",89,-5,93,46.8,-7.1,1999
"456",30,"Montreal Expos",84,-4,60,46.5,5.6,1999
