rank,team,value,value_change,debt_percent,revenue,operating_income,year
1,New York Yankees,1200.00,17.00,79.00,302.00,-25.20,2007
2,New York Mets,736.00,22.00,83.00,217.00,24.40,2007
3,Boston Red Sox,724.00,17.00,33.00,234.00,19.50,2007
4,Los Angeles Dodgers,632.00,31.00,67.00,211.00,27.50,2007
5,Chicago Cubs,592.00,32.00,0.00,197.00,22.20,2007
6,St Louis Cardinals,460.00,7.00,53.00,184.00,14.00,2007
7,San Francisco Giants,459.00,12.00,32.00,184.00,18.50,2007
8,Atlanta Braves,458.00,13.00,0.00,183.00,14.80,2007
9,Philadelphia Phillies,457.00,8.00,38.00,183.00,11.30,2007
10,Washington Nationals,447.00,2.00,56.00,144.00,19.50,2007
11,Houston Astros,442.00,6.00,12.00,184.00,18.40,2007
12,Seattle Mariners,436.00,2.00,23.00,182.00,21.50,2007
13,Los Angeles Angels of Anaheim,431.00,17.00,8.00,187.00,11.50,2007
14,Baltimore Orioles,395.00,10.00,38.00,158.00,17.10,2007
15,Chicago White Sox,381.00,21.00,10.00,173.00,19.50,2007
16,San Diego Padres,367.00,4.00,48.00,160.00,5.20,2007
17,Texas Rangers,365.00,3.00,73.00,155.00,11.20,2007
18,Cleveland Indians,364.00,4.00,27.00,158.00,24.90,2007
19,Detroit Tigers,357.00,22.00,59.00,170.00,8.70,2007
20,Toronto Blue Jays,344.00,20.00,0.00,157.00,11.00,2007
21,Arizona Diamondbacks,339.00,11.00,68.00,154.00,6.40,2007
22,Colorado Rockies,317.00,6.00,28.00,151.00,23.90,2007
23,Cincinnati Reds,307.00,12.00,13.00,146.00,22.40,2007
24,Oakland Athletics,292.00,24.00,31.00,146.00,14.50,2007
25,Minnesota Twins,288.00,33.00,31.00,131.00,14.80,2007
26,Milwaukee Brewers,287.00,22.00,42.00,144.00,20.80,2007
27,Kansas City Royals,282.00,18.00,14.00,123.00,8.40,2007
28,Pittsburgh Pirates,274.00,10.00,37.00,137.00,25.30,2007
29,Tampa Bay Devil Rays,267.00,28.00,15.00,134.00,20.20,2007
30,Florida Marlins,244.00,8.00,36.00,122.00,43.30,2007
1,New York Yankees,1306.00,9.00,77.00,327.00,-47.30,2008
