Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2004.idx_gr:vl-id number of parent institution - graduation rates
2003-2004,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),35,8,27,23,5,18,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,6,3,3,-2
2003-2004,100751,The University of Alabama,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,28,4,24,19,3,16,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,3,1,2,-2
2003-2004,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100751,The University of Alabama,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,2,2,0,5,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2
2003-2004,100751,The University of Alabama,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,1,1,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-2
2003-2004,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2003-2004,100751,The University of Alabama,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),23,23,0,5,5,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100751,The University of Alabama,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),41,13,28,35,11,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,-2
2003-2004,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,25,7,18,22,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,-2
2003-2004,100858,Auburn University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,11,3,8,9,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,4,6,1,1,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,3,2,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,11,9,11,7,4,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2003-2004,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,6,7,7,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,-2
2003-2004,100858,Auburn University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,4,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,100858,Auburn University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),36,6,30,26,4,22,0,0,0,4,2,2,2,0,2,0,0,0,2,0,2,2,0,2,-2
2003-2004,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,18,2,16,13,2,11,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,2,0,2,-2
2003-2004,122755,San Jose State University,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,15,3,12,10,1,9,0,0,0,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,-2
2003-2004,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,5,0,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,122755,San Jose State University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,0,3,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,8,0,5,5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-2
2003-2004,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-2
2003-2004,122755,San Jose State University,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,5,5,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),28,9,19,21,7,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,5,-2
2003-2004,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,19,4,15,13,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,-2
2003-2004,123961,University of Southern California,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,3,3,1,0,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,1,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,123961,University of Southern California,Football,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,9,9,14,8,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,131496,Georgetown University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,16,8,8,13,7,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,3,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,131496,Georgetown University,Basketball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
