Year,unitid,Institution_Name,Sport,Cohort_Data,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W,idxtable_flags2004.idx_gr:vl-id number of parent institution - graduation rates
2003-2004,131496,Georgetown University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,4,14,10,4,6,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,-2
2003-2004,134097,Florida State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,3,11,7,3,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,-2
2003-2004,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,11,0,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Baseball,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,2,4,4,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,5,6,3,3,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,134097,Florida State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,4,6,2,2,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,2,2,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134097,Florida State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),50,16,34,39,13,26,3,0,3,5,2,3,1,1,0,0,0,0,2,0,2,0,0,0,-2
2003-2004,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,32,11,21,24,9,15,2,0,2,4,2,2,0,0,0,0,0,0,2,0,2,0,0,0,-2
2003-2004,134130,University of Florida,All other sports,Degree/certificate-seeking students (4-yr institution) Transfer-out students,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,5,4,4,2,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,5,2,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,12,8,13,8,5,5,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,5,6,5,2,3,4,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,134130,University of Florida,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Transfer-out students,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),20,20,0,8,8,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,134130,University of Florida,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,7,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),22,6,16,12,2,10,1,1,0,3,1,2,1,0,1,0,0,0,1,0,1,4,2,2,-2
2003-2004,135726,University of Miami,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,14,5,9,7,2,5,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,3,2,1,-2
2003-2004,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),11,11,0,6,6,0,1,1,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,-2
2003-2004,135726,University of Miami,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,4,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,3,5,0,0,0,6,2,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,135726,University of Miami,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,3,4,0,0,0,5,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,1,4,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,135726,University of Miami,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,4,1,3,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,3,3,0,9,9,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,-2
2003-2004,135726,University of Miami,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,13,13,0,3,3,0,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-2
2003-2004,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),34,9,25,29,7,22,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,-2
2003-2004,139959,University of Georgia,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,22,4,18,20,3,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),9,9,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,139959,University of Georgia,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,139959,University of Georgia,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,2,2,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,139959,University of Georgia,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),17,17,0,4,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,139959,University of Georgia,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),19,5,14,15,4,11,1,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,7,3,4,6,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),8,4,4,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,142115,Boise State University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),18,18,0,9,9,0,6,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,142115,Boise State University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,8,8,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),42,14,28,36,11,25,3,2,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,-2
2003-2004,147767,Northwestern University,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,38,14,24,33,11,22,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-2
2003-2004,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),6,6,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,6,6,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,4,1,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-2
2003-2004,147767,Northwestern University,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),15,15,0,9,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,147767,Northwestern University,Football,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,11,11,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-2
2003-2004,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),45,16,29,38,11,27,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,3,2,1,-2
2003-2004,152080,University of Notre Dame,All other sports,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,42,14,28,36,10,26,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,3,2,1,-2
2003-2004,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,152080,University of Notre Dame,Baseball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),5,3,2,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,152080,University of Notre Dame,Basketball,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2003-2004,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Adjusted cohort (revised cohort minus exclusions),10,6,4,6,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
2003-2004,152080,University of Notre Dame,Cross-country and/or track,Degree/certificate-seeking students (4-yr institution) Completers within 150% of normal time,10,6,4,6,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2
