year,team,rank,value,value_change,debt,debt_percent,revenue,expenses,ebitda,revenue_multiple,ebitda_multiple,debt_yield,ebitda_yield,gate_revenue,media_revenue,stadium_revenue,player_expense,other_revenue,other_expense,name,team_id,wiki_url,logo_image_url,dbpedia_url,dbpedia_data_json,league
2011,Tampa Bay Buccaneers,19,981,-0.05,176.58,0.18,245,194.2,50.8,4,19.31,0.29,0.05,NA,NA,NA,NA,NA,NA,Buccaneers,tam,wikipedia.org/wiki/Tampa_Bay_Buccaneers,http://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/200px-Tampa_Bay_Buccaneers_logo.svg.png,live.dbpedia.org/page/Tampa_Bay_Buccaneers,live.dbpedia.org/page/Tampa_Bay_Buccaneers.json,NFL
2011,Cleveland Browns,20,977,-0.04,146.55,0.15,247,249.9,-2.9,3.96,0,0,0,NA,NA,NA,NA,NA,NA,Browns,cle,wikipedia.org/wiki/Cleveland_Browns,http://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Cleveland_Browns_logo%2C_2006_to_present.svg/200px-Cleveland_Browns_logo%2C_2006_to_present.svg.png,live.dbpedia.org/page/Cleveland_Browns,live.dbpedia.org/page/Cleveland_Browns.json,NFL
2011,New Orleans Saints,21,965,0.01,125.45,0.13,261,232.1,28.9,3.7,33.39,0.23,0.03,NA,NA,NA,NA,NA,NA,Saints,nor,wikipedia.org/wiki/New_Orleans_Saints,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/New_Orleans_Saints.svg/200px-New_Orleans_Saints.svg.png,live.dbpedia.org/page/New_Orleans_Saints,live.dbpedia.org/page/New_Orleans_Saints.json,NFL
2011,Tennessee Titans,22,964,-0.03,125.32,0.13,250,228.2,21.8,3.86,44.22,0.17,0.02,NA,NA,NA,NA,NA,NA,Titans,oti,wikipedia.org/wiki/Tennessee_Titans,http://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/200px-Tennessee_Titans_logo.svg.png,live.dbpedia.org/page/Tennessee_Titans,live.dbpedia.org/page/Tennessee_Titans.json,NFL
2011,San Diego Chargers,23,920,0.01,128.8,0.14,241,206.8,34.2,3.82,26.9,0.27,0.04,NA,NA,NA,NA,NA,NA,Chargers,sdg,wikipedia.org/wiki/San_Diego_Chargers,http://upload.wikimedia.org/wikipedia/en/thumb/0/06/San_Diego_Chargers_logo.svg/200px-San_Diego_Chargers_logo.svg.png,live.dbpedia.org/page/San_Diego_Chargers,live.dbpedia.org/page/San_Diego_Chargers.json,NFL
2011,Arizona Cardinals,24,901,-0.02,153.17,0.17,240,183.6,56.4,3.75,15.98,0.37,0.06,NA,NA,NA,NA,NA,NA,Cardinals,crd,wikipedia.org/wiki/Arizona_Cardinals,http://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/200px-Arizona_Cardinals_logo.svg.png,live.dbpedia.org/page/Arizona_Cardinals,live.dbpedia.org/page/Arizona_Cardinals.json,NFL
2011,Cincinnati Bengals,25,875,-0.03,96.25,0.11,236,191.3,44.7,3.71,19.57,0.46,0.05,NA,NA,NA,NA,NA,NA,Bengals,cin,wikipedia.org/wiki/Cincinnati_Bengals,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Cincinnati_Bengals.svg/200px-Cincinnati_Bengals.svg.png,live.dbpedia.org/page/Cincinnati_Bengals,live.dbpedia.org/page/Cincinnati_Bengals.json,NFL
2011,Detroit Lions,26,844,0.03,278.52,0.33,228,235.7,-7.7,3.7,0,0,-0.01,NA,NA,NA,NA,NA,NA,Lions,det,wikipedia.org/wiki/Detroit_Lions,http://upload.wikimedia.org/wikipedia/en/thumb/3/3f/New_Lions_Logo.svg/200px-New_Lions_Logo.svg.png,live.dbpedia.org/page/Detroit_Lions,live.dbpedia.org/page/Detroit_Lions.json,NFL
2011,Atlanta Falcons,27,814,-0.02,276.76,0.34,233,205.8,27.2,3.49,29.93,0.1,0.03,NA,NA,NA,NA,NA,NA,Falcons,atl,wikipedia.org/wiki/Atlanta_Falcons,http://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/100px-Atlanta_Falcons_logo.svg.png,live.dbpedia.org/page/Atlanta_Falcons,live.dbpedia.org/page/Atlanta_Falcons.json,NFL
2011,Minnesota Vikings,28,796,0.03,326.36,0.41,227,223.3,3.7,3.51,215.14,0.01,0,NA,NA,NA,NA,NA,NA,Vikings,min,wikipedia.org/wiki/Minnesota_Vikings,http://upload.wikimedia.org/wikipedia/en/b/b0/Minnesota_Vikings_Logo_2013.png,live.dbpedia.org/page/Minnesota_Vikings,live.dbpedia.org/page/Minnesota_Vikings.json,NFL
2011,Buffalo Bills,29,792,-0.01,126.72,0.16,236,195.1,40.9,3.36,19.36,0.32,0.05,NA,NA,NA,NA,NA,NA,Bills,buf,wikipedia.org/wiki/Buffalo_Bills,http://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/200px-Buffalo_Bills_logo.svg.png,live.dbpedia.org/page/Buffalo_Bills,live.dbpedia.org/page/Buffalo_Bills.json,NFL
2011,St. Louis Rams,30,775,-0.01,116.25,0.15,228,203.4,24.6,3.4,31.5,0.21,0.03,NA,NA,NA,NA,NA,NA,Rams,ram,wikipedia.org/wiki/St._Louis_Rams,http://upload.wikimedia.org/wikipedia/en/thumb/b/b8/St_Louis_Rams_logo.svg/100px-St_Louis_Rams_logo.svg.png,live.dbpedia.org/page/St._Louis_Rams,live.dbpedia.org/page/St._Louis_Rams.json,NFL
2011,Oakland Raiders,31,761,0,121.76,0.16,217,194,23,3.51,33.09,0.19,0.03,NA,NA,NA,NA,NA,NA,Raiders,rai,wikipedia.org/wiki/Oakland_Raiders,http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Oakland_Raiders.svg/200px-Oakland_Raiders.svg.png,live.dbpedia.org/page/Oakland_Raiders,live.dbpedia.org/page/Oakland_Raiders.json,NFL
2011,Jacksonville Jaguars,32,725,0,123.25,0.17,236,203.2,32.8,3.07,22.1,0.27,0.05,NA,NA,NA,NA,NA,NA,Jaguars,jax,wikipedia.org/wiki/Jacksonville_Jaguars,http://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Jaguars_2013_logo.jpg/200px-Jaguars_2013_logo.jpg,live.dbpedia.org/page/Jacksonville_Jaguars,live.dbpedia.org/page/Jacksonville_Jaguars.json,NFL
2010,Dallas Cowboys,1,1805,0.09,198.55,0.11,420,276.7,143.3,4.3,12.6,0.72,0.08,NA,NA,NA,NA,NA,NA,Cowboys,dal,wikipedia.org/wiki/Dallas_Cowboys,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/200px-Dallas_Cowboys.svg.png,live.dbpedia.org/page/Dallas_Cowboys,live.dbpedia.org/page/Dallas_Cowboys.json,NFL
2010,Washington Redskins,2,1550,0,232.5,0.15,353,249.3,103.7,4.39,14.95,0.45,0.07,NA,NA,NA,NA,NA,NA,Redskins,was,wikipedia.org/wiki/Washington_Redskins,http://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/200px-Washington_Redskins_logo.svg.png,live.dbpedia.org/page/Washington_Redskins,live.dbpedia.org/page/Washington_Redskins.json,NFL
2010,New England Patriots,3,1367,0,273.4,0.2,318,251.5,66.5,4.3,20.56,0.24,0.05,NA,NA,NA,NA,NA,NA,Patriots,new,wikipedia.org/wiki/New_England_Patriots,http://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/200px-New_England_Patriots_logo.svg.png,live.dbpedia.org/page/New_England_Patriots,live.dbpedia.org/page/New_England_Patriots.json,NFL
