"","Sport","Association","Divison","Facet_Type","Facet_Value","Variable","Value","Value_Type","Period"
"51","Football","NCAA",1,"Event","Famous Idaho Potato Bowl","Website","www.famousidahopotatobowl.com","URL",2012
"52","Football","NCAA",1,"Event","Franklin American Mortgage Music City Bowl","Venue","LP Field (Nashville, TN)","Location",2012
"53","Football","NCAA",1,"Event","Franklin American Mortgage Music City Bowl","Payout","1.6","Dollars_Millions",2012
"54","Football","NCAA",1,"Event","Franklin American Mortgage Music City Bowl","Website","www.musiccitybowl.com","URL",2012
"55","Football","NCAA",1,"Event","Gator Bowl","Venue","EverBank Field (Jacksonville, FL)","Location",2012
"56","Football","NCAA",1,"Event","Gator Bowl","Payout","2.5","Dollars_Millions",2012
"57","Football","NCAA",1,"Event","Gator Bowl","Website","www.gatorbowl.com","URL",2012
"58","Football","NCAA",1,"Event","GoDaddy.com Bowl","Venue","Ladd Peebles Stadium (Mobile, AL)","Location",2012
"59","Football","NCAA",1,"Event","GoDaddy.com Bowl","Payout","0.75","Dollars_Millions",2012
"60","Football","NCAA",1,"Event","GoDaddy.com Bowl","Website","www.godaddybowl.com","URL",2012
"61","Football","NCAA",1,"Event","Hyundai Sun Bowl","Venue","Sun Bowl Stadium (El Paso, TX)","Location",2012
"62","Football","NCAA",1,"Event","Hyundai Sun Bowl","Payout","1.9","Dollars_Millions",2012
"63","Football","NCAA",1,"Event","Hyundai Sun Bowl","Website","www.sunbowl.org","URL",2012
"64","Football","NCAA",1,"Event","Insight Bowl","Venue","Sun Devil Stadium (Tempe, AZ)","Location",2012
"65","Football","NCAA",1,"Event","Insight Bowl","Payout","2.35","Dollars_Millions",2012
"66","Football","NCAA",1,"Event","Insight Bowl","Website","www.fiestabowl.org/index.php/insight/","URL",2012
"67","Football","NCAA",1,"Event","Kraft Fight Hunger Bowl","Venue","AT&T Park (San Francisco, CA)","Location",2012
"68","Football","NCAA",1,"Event","Kraft Fight Hunger Bowl","Payout","0.85","Dollars_Millions",2012
"69","Football","NCAA",1,"Event","Kraft Fight Hunger Bowl","Website","www.kraftbowl.org","URL",2012
"70","Football","NCAA",1,"Event","Little Caesars Pizza Bowl","Venue","Ford Field (Detroit, MI)","Location",2012
"71","Football","NCAA",1,"Event","Little Caesars Pizza Bowl","Payout","0.75","Dollars_Millions",2012
"72","Football","NCAA",1,"Event","Little Caesars Pizza Bowl","Website","www.littlecaesarspizzabowl.com","URL",2012
"73","Football","NCAA",1,"Event","Maaco Bowl Las Vegas","Venue","Sam Boyd Stadium (Las Vegas, NV)","Location",2012
"74","Football","NCAA",1,"Event","Maaco Bowl Las Vegas","Payout","1","Dollars_Millions",2012
"75","Football","NCAA",1,"Event","Maaco Bowl Las Vegas","Website","www.lvbowl.com","URL",2012
"76","Football","NCAA",1,"Event","Meineke Car Care Bowl of Texas","Venue","Reliant Stadium (Houston, TX)","Location",2012
"77","Football","NCAA",1,"Event","Meineke Car Care Bowl of Texas","Payout","1.7","Dollars_Millions",2012
"78","Football","NCAA",1,"Event","Meineke Car Care Bowl of Texas","Website","www.meinekecarcarebowloftexas.com","URL",2012
"79","Football","NCAA",1,"Event","Military Bowl Presented By Northrop Grumman","Venue","RFK Stadium (Washington, DC)","Location",2012
"80","Football","NCAA",1,"Event","Military Bowl Presented By Northrop Grumman","Payout","1","Dollars_Millions",2012
"81","Football","NCAA",1,"Event","Military Bowl Presented By Northrop Grumman","Website","www.militarybowl.org","URL",2012
"82","Football","NCAA",1,"Event","New Era Pinstripe Bowl","Venue","Yankee Stadium (Bronx, NY)","Location",2012
"83","Football","NCAA",1,"Event","New Era Pinstripe Bowl","Payout","2","Dollars_Millions",2012
"84","Football","NCAA",1,"Event","New Era Pinstripe Bowl","Website","www.newerapinstripebowl.com","URL",2012
"85","Football","NCAA",1,"Event","New Mexico Bowl","Venue","University Stadium (Albuquerque, NM)","Location",2012
"86","Football","NCAA",1,"Event","New Mexico Bowl","Payout","0.75","Dollars_Millions",2012
"87","Football","NCAA",1,"Event","New Mexico Bowl","Website","www.newmexicobowl.com","URL",2012
"88","Football","NCAA",1,"Event","Outback Bowl","Venue","Raymond James Stadium (Tampa, FL)","Location",2012
"89","Football","NCAA",1,"Event","Outback Bowl","Payout","3.3","Dollars_Millions",2012
"90","Football","NCAA",1,"Event","Outback Bowl","Website","www.outbackbowl.com","URL",2012
"91","Football","NCAA",1,"Event","R+L Carriers New Orleans Bowl","Venue","Louisiana Superdome (New Orleans, LA)","Location",2012
"92","Football","NCAA",1,"Event","R+L Carriers New Orleans Bowl","Payout","0.325","Dollars_Millions",2012
"93","Football","NCAA",1,"Event","R+L Carriers New Orleans Bowl","Website","www.neworleansbowl.com","URL",2012
"94","Football","NCAA",1,"Event","San Diego Credit Union Poinsettia Bowl","Venue","Qualcomm Stadium (San Diego, CA)","Location",2012
"95","Football","NCAA",1,"Event","San Diego Credit Union Poinsettia Bowl","Payout","0.75","Dollars_Millions",2012
"96","Football","NCAA",1,"Event","San Diego Credit Union Poinsettia Bowl","Website","www.poinsettiabowl.com","URL",2012
"97","Football","NCAA",1,"Event","Sheraton Hawai#i Bowl","Venue","Aloha Stadium (Honolulu, HI)","Location",2012
"98","Football","NCAA",1,"Event","Sheraton Hawai#i Bowl","Payout","0.389","Dollars_Millions",2012
"99","Football","NCAA",1,"Event","Sheraton Hawai#i Bowl","Website","www.hawaiibowl.com","URL",2012
"100","Football","NCAA",1,"Event","TicketCity Bowl","Venue","Cotton Bowl (Dallas, TX)","Location",2012
"101","Football","NCAA",1,"Event","TicketCity Bowl","Payout","1.2","Dollars_Millions",2012
"102","Football","NCAA",1,"Event","TicketCity Bowl","Website","www.ticketcitybowl.com","URL",2012
"103","Football","NCAA",1,"Event","uDrove Humanitarian Bowl","Venue","Bronco Stadium (Boise, ID)","Location",2012
"104","Football","NCAA",1,"Event","uDrove Humanitarian Bowl","Payout","0.75","Dollars_Millions",2012
"105","Football","NCAA",1,"Event","uDrove Humanitarian Bowl","Website","www.humanitarianbowl.org","URL",2012
"106","Football","NCAA",1,"Event","Valero Alamo Bowl","Venue","Alamodome (San Antonio, TX)","Location",2012
"107","Football","NCAA",1,"Event","Valero Alamo Bowl","Payout","2.25","Dollars_Millions",2012
"108","Football","NCAA",1,"Event","Valero Alamo Bowl","Website","www.alamobowl.com","URL",2012
