"","League","Event","Sport","Location_Value","Location_Type","Variable","Variable_Type","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value","Value_Details"
"1","ICC",NA,"Cricket","Global","World","Member Countries",NA,NA,NA,"Value","ICC",2012,NA,104,NA
"2","IPL",NA,"Cricket","India","Country","League Value",NA,NA,NA,"Dollars_Millions","Brand Finance",2012,NA,4100,NA
"3","ICC","World Cup","Cricket","Global","World","Television Viewers",NA,NA,NA,"Value_Milliions","ICC",2011,NA,1200,NA
