"","Season","Lg","Team","W","L","W-L%","Finish","SRS","ORtg","DRtg","Playoffs","Coaches"
"1","2012-13","NBA","New York Knicks","22","10",".688","1","4.96","111.7","105.8","","M. Woodson (22-10)"
"2","2011-12","NBA","New York Knicks*","36","30",".545","2","2.39","104.4","101.0","Lost Eastern Conference First Round","M. D'Antoni (18-24), M. Woodson (18-6)"
"3","2010-11","NBA","New York Knicks*","42","40",".512","2","0.48","110.9","110.1","Lost Eastern Conference First Round","M. D'Antoni (42-40)"
"4","2009-10","NBA","New York Knicks","29","53",".354","3","-4.01","107.6","111.6","","M. D'Antoni (29-53)"
"5","2008-09","NBA","New York Knicks","32","50",".390","5","-2.33","108.1","110.8","","M. D'Antoni (32-50)"
"6","2007-08","NBA","New York Knicks","23","59",".280","5","-6.54","104.7","111.9","","I. Thomas (23-59)"
"7","2006-07","NBA","New York Knicks","33","49",".402","4","-3.06","105.7","108.8","","I. Thomas (33-49)"
"8","2005-06","NBA","New York Knicks","23","59",".280","5","-6.30","104.0","111.0","","L. Brown (23-59)"
"9","2004-05","NBA","New York Knicks","33","49",".402","5","-2.73","106.2","108.9","","L. Wilkens (17-22), H. Williams (16-27)"
"10","2003-04","NBA","New York Knicks*","39","43",".476","3","-1.97","101.7","103.3","Lost Eastern Conference First Round","D. Chaney (15-24), H. Williams (1-0), L. Wilkens (23-19)"
"11","2002-03","NBA","New York Knicks","37","45",".451","6","-1.61","104.7","106.2","","D. Chaney (37-45)"
"12","2001-02","NBA","New York Knicks","30","52",".366","7","-4.15","101.5","105.9","","J. Van Gundy (10-9), D. Chaney (20-43)"
"13","2000-01","NBA","New York Knicks*","48","34",".585","3","1.98","101.2","98.2","Lost Eastern Conference First Round","J. Van Gundy (48-34)"
"14","1999-00","NBA","New York Knicks*","50","32",".610","2","1.30","102.5","100.9","Lost Eastern Conference Finals","J. Van Gundy (50-32)"
"15","1998-99","NBA","New York Knicks*","27","23",".540","4","1.45","98.6","97.5","Lost Finals","J. Van Gundy (27-23)"
"16","1997-98","NBA","New York Knicks*","43","39",".524","2","2.74","103.0","100.2","Lost Eastern Conference Semifinals","J. Van Gundy (43-39)"
"17","1996-97","NBA","New York Knicks*","57","25",".695","2","3.31","104.4","101.0","Lost Eastern Conference Semifinals","J. Van Gundy (57-25)"
"18","1995-96","NBA","New York Knicks*","47","35",".573","2","2.24","106.0","103.5","Lost Eastern Conference Semifinals","D. Nelson (34-25), J. Van Gundy (13-10)"
"19","1994-95","NBA","New York Knicks*","55","27",".671","2","2.78","107.2","103.8","Lost Eastern Conference Semifinals","P. Riley (55-27)"
"20","1993-94","NBA","New York Knicks*","57","25",".695","1","6.48","105.7","98.2","Lost Finals","P. Riley (57-25)"
"21","1992-93","NBA","New York Knicks*","60","22",".732","1","5.87","106.1","99.7","Lost Eastern Conference Finals","P. Riley (60-22)"
"22","1991-92","NBA","New York Knicks*","51","31",".622","2","3.67","108.3","104.2","Lost Eastern Conference Semifinals","P. Riley (51-31)"
"23","1990-91","NBA","New York Knicks*","39","43",".476","3","-0.44","107.1","107.3","Lost Eastern Conference First Round","S. Jackson (7-8), J. MacLeod (32-35)"
"24","1989-90","NBA","New York Knicks*","45","37",".549","3","0.78","109.4","108.0","Lost Eastern Conference Semifinals","S. Jackson (45-37)"
"25","1988-89","NBA","New York Knicks*","52","30",".634","1","3.63","111.1","107.5","Lost Eastern Conference Semifinals","R. Pitino (52-30)"
"26","1987-88","NBA","New York Knicks*","38","44",".463","3","0.14","105.9","106.4","Lost Eastern Conference First Round","R. Pitino (38-44)"
"27","1986-87","NBA","New York Knicks","24","58",".293","5","-5.42","104.8","111.1","","H. Brown (4-12), B. Hill (20-46)"
"28","1985-86","NBA","New York Knicks","23","59",".280","5","-4.82","99.5","105.2","","H. Brown (23-59)"
"29","1984-85","NBA","New York Knicks","24","58",".293","5","-4.09","104.9","109.6","","H. Brown (24-58)"
"30","1983-84","NBA","New York Knicks*","47","35",".573","3","3.79","107.0","103.1","Lost Eastern Conference Semifinals","H. Brown (47-35)"
"31","1982-83","NBA","New York Knicks*","44","38",".537","4","2.58","102.4","99.9","Lost Eastern Conference Semifinals","H. Brown (44-38)"
"32","1981-82","NBA","New York Knicks","33","49",".402","5","-2.15","106.0","108.6","","R. Holzman (33-49)"
"33","1980-81","NBA","New York Knicks*","50","32",".610","3","2.00","106.0","104.4","Lost Eastern Conference First Round","R. Holzman (50-32)"
"34","1979-80","NBA","New York Knicks","39","43",".476","4","-0.96","106.5","107.5","","R. Holzman (39-43)"
"35","1978-79","NBA","New York Knicks","31","51",".378","4","-3.29","102.2","105.4","","W. Reed (6-8), R. Holzman (25-43)"
"36","1977-78","NBA","New York Knicks*","43","39",".524","2","-0.53","101.7","102.2","Lost Eastern Conference Semifinals","W. Reed (43-39)"
"37","1976-77","NBA","New York Knicks","40","42",".488","3","0.02","100.1","100.1","","R. Holzman (40-42)"
"38","1975-76","NBA","New York Knicks","38","44",".463","4","-1.05","98.0","99.2","","R. Holzman (38-44)"
"39","1974-75","NBA","New York Knicks*","40","42",".488","3","-0.91","97.1","98.3","Lost Eastern Conference First Round","R. Holzman (40-42)"
"40","1973-74","NBA","New York Knicks*","49","33",".598","2","2.42","97.4","94.7","Lost Eastern Conference Finals","R. Holzman (49-33)"
"41","1972-73","NBA","New York Knicks*","57","25",".695","2","6.07","","","Won Finals","R. Holzman (57-25)"
