ID_Degree,Degree
CBB,Certificates Below Bachelor's
CAB,Certificates Above Bachelor's
A,Associate's Degrees Conferred
BD,Bachelor's Degrees Conferred
MA,Master's Degrees Conferred
DR,Doctor's research/ scholarship
DPP,Doctor's professional practice
DO,Doctor's other
