,date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
769,12/14/76,Rollie Fingers,1977,Padres,signed free agent,free agency,0,1,1977,1978,,1976
772,12/15/76,Richie Hebner,1977,Phillies,signed free agent,free agency,0,1,1977,1978,,1976
784,1/1/77,Dan Ford,1977,Twins,signed to a 3-year contract,free agency,0,3,1977,1980,,1977
785,1/3/77,Pedro Garcia,1977,Blue Jays,signed free agent,free agency,0,1,1977,1978,,1977
792,1/6/77,Willie McCovey,1977,Giants,signed free agent (from Padres),free agency,0,1,1977,1978,,1977
802,1/25/77,Mike Cuellar,1977,Angels,signed free agent,free agency,0,1,1977,1978,,1977
803,1/31/77,Ed Crosby,1977,Athletics,signed free agent,free agency,0,1,1977,1978,,1977
806,2/3/77,Davey Johnson,1977,Phillies,signed free agent,free agency,0,1,1977,1978,,1977
811,2/8/77,Billy Smith,1977,Orioles,signed free agent,free agency,0,1,1977,1978,,1977
812,2/10/77,Paul Dade,1977,Indians,signed free agent,free agency,0,1,1977,1978,,1977
815,2/11/77,Victor Rodriguez,1977,Orioles,signed free agent,free agency,0,1,1977,1978,,1977
822,2/23/77,Tito Fuentes,1977,Tigers,signed free agent (from Padres),free agency,0,1,1977,1978,,1977
831,3/2/77,Ed Farmer,1977,Orioles,signed free agent,free agency,0,1,1977,1978,,1977
839,3/15/77,Richie Allen,1977,Athletics,signed free agent,free agency,0,1,1977,1978,,1977
848,3/18/77,Geoff Zahn,1977,Twins,signed free agent,free agency,0,1,1977,1978,,1977
849,3/20/77,Joe Decker,1977,Cubs,signed free agent,free agency,0,1,1977,1978,,1977
856,3/22/77,Joe Lahoud,1977,Royals,signed free agent,free agency,0,1,1977,1978,,1977
890,3/31/77,Ray Sadecki,1977,Mets,signed free agent,free agency,0,1,1977,1978,,1977
894,4/1/77,Gary Sutherland,1977,Padres,signed free agent,free agency,0,1,1977,1978,,1977
895,4/3/77,Earl Williams,1977,Athletics,signed free agent,free agency,0,1,1977,1978,,1977
898,4/4/77,Bruce Dal Canton,1977,White Sox,signed free agent,free agency,0,1,1977,1978,,1977
899,4/5/77,Roric Harrison,1977,Tigers,signed free agent,free agency,0,1,1977,1978,,1977
903,4/5/77,John Powell,1977,Dodgers,signed free agent,free agency,0,1,1977,1978,,1977
906,4/7/77,Pete Redfern,1977,Twins,signed to a multi-year contract,free agency,0,1,1977,1978,,1977
907,4/7/77,Jim Bouton,1977,White Sox,signed free agent,free agency,0,1,1977,1978,,1977
908,4/8/77,Tim Stoddard,1977,Orioles,signed free agent,free agency,0,1,1977,1978,,1977
909,4/8/77,Kurt Bevacqua,1977,Rangers,signed free agent,free agency,0,1,1977,1978,,1977
911,4/9/77,Jim Obradovich,1977,Astros,signed free agent,free agency,0,1,1977,1978,,1977
912,4/10/77,Tom Walker,1977,Expos,signed free agent,free agency,0,1,1977,1978,,1977
923,4/27/77,Joe Hoerner,1977,Reds,signed free agent,free agency,0,1,1977,1978,,1977
926,5/2/77,Bret Pena,1977,Astros,signed,free agency,0,1,1977,1978,,1977
937,5/16/77,Jay Loviglio,1977,Phillies,signed free agent,free agency,0,1,1977,1978,,1977
944,5/22/77,Dave Huppert,1977,Orioles,signed free agent,free agency,0,1,1977,1978,,1977
945,5/23/77,Carlos Lezcano,1977,Cubs,signed,free agency,0,1,1977,1978,,1977
954,6/1/77,Steve Kline,1977,Braves,signed free agent (date approximate),free agency,0,1,1977,1978,,1977
959,6/10/77,Bobby Tolan,1977,Pirates,signed free agent,free agency,0,1,1977,1978,,1977
960,6/10/77,Kelley Becker,1977,Reds,signed free agent,free agency,0,1,1977,1978,,1977
961,6/10/77,Larry Jackson,1977,Reds,signed free agent,free agency,0,1,1977,1978,,1977
962,6/10/77,Richard Lombardo,1977,Reds,signed free agent,free agency,0,1,1977,1978,,1977
963,6/10/77,Robert Potts,1977,Reds,signed free agent,free agency,0,1,1977,1978,,1977
1002,6/16/77,Henry Bender,1977,Mariners,signed,free agency,0,1,1977,1978,,1977
1003,6/16/77,Ralph Musselman,1977,Mariners,signed,free agency,0,1,1977,1978,,1977
1004,6/16/77,Tracy Harris,1977,Mariners,signed,free agency,0,1,1977,1978,,1977
1005,6/20/77,Steve Lubratich,1977,Angels,signed,free agency,0,1,1977,1978,,1977
1006,6/23/77,Dan Morgan,1977,Expos,signed,free agency,0,1,1977,1978,,1977
1007,6/23/77,Tom Pettini,1977,Expos,signed,free agency,0,1,1977,1978,,1977
1008,6/23/77,Mookie Wilson,1977,Mets,signed,free agency,0,1,1977,1978,,1977
1011,6/23/77,Ricky Adams,1977,Astros,signed,free agency,0,1,1977,1978,,1977
1012,6/23/77,Paul Molitor,1977,Brewers,signed,free agency,0,1,1977,1978,,1977
1013,6/23/77,Brian Greer,1977,Padres,signed,free agency,0,1,1977,1978,,1977
1014,6/24/77,Karl Anderson,1977,Mariners,signed,free agency,0,1,1977,1978,,1977
1015,6/25/77,Chris Nyman,1977,White Sox,signed,free agency,0,1,1977,1978,,1977
1017,7/5/77,Pedro Garcia,1977,Padres,signed free agent,free agency,0,1,1977,1978,,1977
1025,7/26/77,Jim Wynn,1977,Brewers,signed free agent,free agency,0,1,1977,1978,,1977
1061,9/2/77,Ed Petryschuk,1977,Blue Jays,signed,free agency,0,1,1977,1978,,1977
1071,9/5/77,Lou Piniella,1977,Yankees,re-signed to a 2-year contract,re-signinging,0,2,1977,1979,,1977
1085,9/9/77,Steve Carlton,1977,Phillies,re-signed,re-signinging,0,1,1977,1978,,1977
1095,9/12/77,Keith Macwhorter,1977,Red Sox,signed free agent,free agency,0,1,1977,1978,,1977
1096,9/13/77,Jim Dwyer,1977,Cardinals,signed free agent,free agency,0,1,1977,1978,,1977
1100,9/14/77,,1977,Royals,resigned (effective at the end of the season),free agency,0,1,1977,1978,,1977
1114,9/20/77,Ken Brett,1977,Angels,re-signed to a contract through 1979,re-signinging,0,1,1977,1979,,1977
1133,10/3/77,Eric Soderholm,1978,White Sox,re-signed to a 2-year contract,re-signinging,0,2,1978,1980,,1977
1178,11/6/77,Randy Scarbery,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1183,11/10/77,Doug Capilla,1978,Reds,signed,free agency,0,1,1978,1979,,1977
1184,11/10/77,Paul Moskau,1978,Reds,signed,free agency,0,1,1978,1979,,1977
1185,11/10/77,Tom Hume,1978,Reds,signed,free agency,0,1,1978,1979,,1977
1187,11/10/77,George Medich,1978,Rangers,signed free agent (from Mets) to a 4-year contract,free agency,0,4,1978,1982,,1977
1188,11/11/77,Luis Gomez,1978,Blue Jays,signed free agent,free agency,0,1,1978,1979,,1977
1189,11/11/77,Bob Robertson,1978,Mariners,signed,free agency,0,1,1978,1979,,1977
1190,11/17/77,Ron Blomberg,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1192,11/17/77,Larry Hisle,1978,Brewers,signed free agent (from Twins) to a multi-year contract,free agency,0,1,1978,1979,,1977
1193,11/18/77,Oscar Zamora,1978,Astros,signed free agent,free agency,0,1,1978,1979,,1977
1194,11/18/77,Don Money,1978,Brewers,re-signed to a multi-year contract,re-signinging,0,1,1978,1979,,1977
1197,11/18/77,Terry Forster,1978,Dodgers,signed free agent (from Pirates) to a 5-year contract,free agency,0,5,1978,1983,,1977
1198,11/18/77,Tom Hausman,1978,Mets,signed free agent (from Brewers) to a 3-year contract,free agency,0,3,1978,1981,,1977
1199,11/21/77,Lyman Bostock,1978,Angels,signed free agent,free agency,0,1,1978,1979,,1977
1200,11/22/77,Mike Proly,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1201,11/22/77,Rich Gossage,1978,Yankees,signed free agent,free agency,0,1,1978,1979,,1977
1202,11/22/77,Mac Scarce,1978,Twins,signed free agent (date 11-29 per one source),free agency,0,1,1978,1979,,1977
1208,11/23/77,Mike Torrez,1978,Red Sox,signed free agent (from Yankees),free agency,0,1,1978,1979,,1977
1213,11/24/77,Larry Johnson,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1215,11/24/77,Arthur James,1978,White Sox,signed,free agency,0,1,1978,1979,,1977
1216,11/24/77,Cleo Smith,1978,White Sox,signed,free agency,0,1,1978,1979,,1977
1217,11/24/77,Larry Doby Johnson,1978,White Sox,re-signed,re-signinging,0,1,1978,1979,,1977
1218,11/24/77,Quency Hill,1978,White Sox,signed,free agency,0,1,1978,1979,,1977
1219,11/24/77,Randy Scarbery,1978,White Sox,signed,free agency,0,1,1978,1979,,1977
1220,11/24/77,Oscar Gamble,1978,Padres,signed free agent (from White Sox),free agency,0,1,1978,1979,,1977
1225,11/28/77,Alvin Moore,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1226,11/28/77,Greg Pryor,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1227,11/28/77,Rich Hinton,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1232,11/30/77,Elliott Maddox,1978,Mets,signed free agent,free agency,0,1,1978,1979,,1977
1233,11/30/77,Jack Brohamer,1978,Red Sox,signed free agent,free agency,0,1,1978,1979,,1977
1235,11/30/77,Dave Kingman,1978,Cubs,signed free agent (from Yankees),free agency,0,1,1978,1979,,1977
1236,12/3/77,Ron Schueler,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1296,12/9/77,Rawly Eastwick,1978,Yankees,signed free agent,free agency,0,1,1978,1979,,1977
1300,12/12/77,Mike Eden,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1977
1302,12/13/77,Phil Niekro,1978,Braves,signed to a 3-year contract,free agency,0,3,1978,1981,,1977
1310,12/15/77,Mario Guerrero,1978,Giants,signed free agent (from Angels),free agency,0,1,1978,1979,,1977
1313,12/19/77,Jesus Alou,1978,Astros,signed free agent,free agency,0,1,1978,1979,,1977
1314,12/20/77,Bruce Bochte,1978,Mariners,signed free agent,free agency,0,1,1978,1979,,1977
1315,12/21/77,Rick Miller,1978,Angels,signed free agent,free agency,0,1,1978,1979,,1977
1318,12/21/77,Ross Grimsley,1978,Expos,signed free agent (from Orioles),free agency,0,1,1978,1979,,1977
1319,12/27/77,Dick Drago,1978,Red Sox,signed free agent,free agency,0,1,1978,1979,,1977
1320,1/1/78,Enzo Hernandez,1978,Dodgers,signed (date approximate),free agency,0,1,1978,1979,,1978
1324,1/3/78,Gary Sutherland,1978,Cardinals,signed free agent,free agency,0,1,1978,1979,,1978
1327,1/5/78,Mario Guerrero,1978,Giants,signed,free agency,0,1,1978,1979,,1978
1328,1/11/78,Andy Merchant,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1329,1/11/78,Joel Finch,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1330,1/11/78,Rich Waller,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1331,1/11/78,Tommy Helms,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1332,1/11/78,Win Remmerswaal,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1336,1/13/78,Mark Paradise,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1337,1/16/78,Randy Stein,1978,Brewers,signed free agent,free agency,0,1,1978,1979,,1978
1338,1/24/78,Steve Luebber,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1978
1341,1/27/78,Tom Griffin,1978,Angels,signed free agent,free agency,0,1,1978,1979,,1978
1343,1/30/78,Rob Ellis,1978,Indians,signed free agent,free agency,0,1,1978,1979,,1978
1349,2/2/78,Mickey Lolich,1978,Padres,signed,free agency,0,1,1978,1979,,1978
1350,2/7/78,Craig Skok,1978,Braves,signed free agent,free agency,0,1,1978,1979,,1978
1352,2/8/78,Earl Bass,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1353,2/8/78,Garry Templeton,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1354,2/8/78,Joe Erdelen,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1355,2/8/78,Manny Castillo,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1356,2/8/78,Mike Ramsey,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1357,2/8/78,Tom Herr,1978,Cardinals,signed,free agency,0,1,1978,1979,,1978
1359,2/8/78,Don Hood,1978,Indians,signed to a 2-year contract,free agency,0,2,1978,1980,,1978
1361,2/11/78,Orlando Gonzalez,1978,Phillies,signed,free agency,0,1,1978,1979,,1978
1362,2/14/78,Tom Spencer,1978,White Sox,signed free agent,free agency,0,1,1978,1979,,1978
1366,2/15/78,Mike Lum,1978,Braves,signed free agent (from Reds),free agency,0,1,1978,1979,,1978
1367,2/17/78,Tom Burgmeier,1978,Red Sox,signed free agent,free agency,0,1,1978,1979,,1978
1377,3/1/78,Dan Briggs,1978,Indians,signed free agent,free agency,0,1,1978,1979,,1978
1381,3/7/78,Dave Frost,1978,Angels,signed,free agency,0,1,1978,1979,,1978
1382,3/7/78,Don Aase,1978,Angels,signed,free agency,0,1,1978,1979,,1978
1383,3/7/78,Willie May Aikens,1978,Angels,signed,free agency,0,1,1978,1979,,1978
1395,3/15/78,Jim Bibby,1978,Pirates,signed free agent (from Indians,free agency,0,1,1978,1979,,1978
1396,3/18/78,Stan Perzanowski,1978,Twins,signed,free agency,0,1,1978,1979,,1978
1408,3/25/78,Merv Rettenmund,1978,Angels,signed free agent,free agency,0,1,1978,1979,,1978
1409,3/25/78,Tommy Helms,1978,Red Sox,signed free agent,free agency,0,1,1978,1979,,1978
1426,3/28/78,Vern Ruhle,1978,Astros,signed free agent,free agency,0,1,1978,1979,,1978
1429,3/28/78,Warren Cromartie,1978,Expos,signed to a 1-year contract,free agency,0,1,1978,1979,,1978
1435,3/29/78,John Johnson,1978,Athletics,signed,free agency,0,1,1978,1979,,1978
1437,3/29/78,Phil Huffman,1978,Athletics,re-signed,re-signinging,0,1,1978,1979,,1978
1450,3/30/78,Roric Harrison,1978,Pirates,signed free agent,free agency,0,1,1978,1979,,1978
1459,3/31/78,Dave Wallace,1978,Blue Jays,signed free agent,free agency,0,1,1978,1979,,1978
1461,4/1/78,Bob Galasso,1978,Brewers,signed free agent,free agency,0,1,1978,1979,,1978
1462,4/1/78,Ed Farmer,1978,Brewers,signed free agent,free agency,0,1,1978,1979,,1978
1464,4/1/78,Clay Carroll,1978,Pirates,signed free agent (date approximate),free agency,0,1,1978,1979,,1978
1467,4/4/78,Tony Muser,1978,Brewers,signed free agent,free agency,0,1,1978,1979,,1978
1470,4/4/78,Steve Brye,1978,Pirates,signed free agent,free agency,0,1,1978,1979,,1978
1483,4/7/78,Tom Paciorek,1978,Braves,signed free agent,free agency,0,1,1978,1979,,1978
1489,4/9/78,Vic Correll,1978,Reds,signed free agent,free agency,0,1,1978,1979,,1978
1497,4/14/78,Mike Anderson,1978,Phillies,signed free agent,free agency,0,1,1978,1979,,1978
1502,4/28/78,Roric Harrison,1978,Twins,signed free agent,free agency,0,1,1978,1979,,1978
1505,5/15/78,Mike Marshall,1978,Twins,signed free agent,free agency,0,1,1978,1979,,1978
1508,5/16/78,Wayne Guinn,1978,Reds,signed,free agency,0,1,1978,1979,,1978
1515,5/17/78,Ben Hayes,1978,Reds,signed,free agency,0,1,1978,1979,,1978
1521,5/20/78,Bob Ojeda,1978,Red Sox,signed,free agency,0,1,1978,1979,,1978
1530,5/31/78,Tom Paciorek,1978,Mariners,signed free agent,free agency,0,1,1978,1979,,1978
1540,6/7/78,John Fuller,1978,Braves,signed free agent,free agency,0,1,1978,1979,,1978
1541,6/7/78,Jamie Cocanower,1978,Brewers,signed free agent,free agency,0,1,1978,1979,,1978
1544,6/9/78,Steve Brown,1978,Angels,signed,free agency,0,1,1978,1979,,1978
1572,6/19/78,Michael Woodard,1978,Athletics,signed,free agency,0,1,1978,1979,,1978
1573,6/19/78,Tito Fuentes,1978,Athletics,signed,free agency,0,1,1978,1979,,1978
1578,6/23/78,Julio Franco,1978,Phillies,signed non-drafted free agent,free agency,0,1,1978,1979,,1978
1580,6/23/78,Mike Anderson,1978,Orioles,signed free agent,free agency,0,1,1978,1979,,1978
1592,7/5/78,Buddy Biancalana,1978,Royals,signed,free agency,0,1,1978,1979,,1978
1596,7/15/78,Al Fitzmorris,1978,Angels,signed free agent,free agency,0,1,1978,1979,,1978
1617,9/1/78,Matt Alexander,1978,Pirates,signed free agent,free agency,0,1,1978,1979,,1978
1621,9/5/78,Rick Dempsey,1978,Orioles,re-signed to a 5-year contract,re-signinging,0,5,1978,1983,,1978
1665,11/1/78,Willie Stargell,1979,Pirates,re-signed to a multi-year contract,re-signinging,0,1,1979,1980,,1978
1687,11/13/78,Luis Tiant,1979,Yankees,signed free agent,free agency,0,1,1979,1980,,1978
1689,11/14/78,Derrel Thomas,1979,Dodgers,signed free agent (from Padres),free agency,0,1,1979,1980,,1978
1691,11/21/78,Tommy John,1979,Yankees,signed free agent (from Dodgers),free agency,0,1,1979,1980,,1978
1696,11/29/78,Steve Stone,1979,Orioles,signed free agent,free agency,0,1,1979,1980,,1978
1698,11/29/78,Jim Slaton,1979,Brewers,signed free agent (from Tigers),free agency,0,1,1979,1980,,1978
1699,12/3/78,Willie Lozado,1979,Brewers,signed free agent,free agency,0,1,1979,1980,,1978
1700,12/3/78,Jim Barr,1979,Angels,signed free agent,free agency,0,1,1979,1980,,1978
1718,12/5/78,Pete Rose Sr.,1979,Phillies,signed free agent (from Reds),free agency,0,1,1979,1980,,1978
1736,12/13/78,Larry Gura,1979,Royals,re-signed free agent,re-signinging,0,1,1979,1980,,1978
1743,1/6/79,Mike Marshall,1979,Twins,re-signed free agent,re-signinging,0,1,1979,1980,,1979
1746,1/9/79,Elias Sosa,1979,Expos,signed free agent (from Athletics),free agency,0,1,1979,1980,,1979
1747,1/15/79,Tom Paciorek,1979,Mariners,re-signed free agent,re-signinging,0,1,1979,1980,,1979
1749,1/16/79,Darold Knowles,1979,Cardinals,signed free agent,free agency,0,1,1979,1980,,1979
1753,1/18/79,Lee Lacy,1979,Pirates,signed free agent (from Dodgers),free agency,0,1,1979,1980,,1979
1754,1/19/79,Steve Renko,1979,Red Sox,signed free agent,free agency,0,1,1979,1980,,1979
1756,1/30/79,Craig Reynolds,1979,Astros,signed,free agency,0,1,1979,1980,,1979
1757,1/30/79,Gordon Pladson,1979,Astros,signed,free agency,0,1,1979,1980,,1979
1758,1/30/79,Mike Mendoza,1979,Astros,signed,free agency,0,1,1979,1980,,1979
1759,1/30/79,Tom Wiedenbauer,1979,Astros,signed,free agency,0,1,1979,1980,,1979
1760,1/30/79,Al Bumbry,1979,Orioles,signed free agent to a multi-year contract,free agency,0,1,1979,1980,,1979
1761,2/1/79,Bill Plummer,1979,Mariners,signed free agent,free agency,0,1,1979,1980,,1979
1767,2/7/79,Andy Messersmith,1979,Dodgers,signed free agent to a 2-year contract,free agency,0,2,1979,1981,,1979
1768,2/7/79,Steve Brye,1979,Padres,signed free agent,free agency,0,1,1979,1980,,1979
1773,2/8/79,Rod Carew,1979,Angels,re-signed to a 5-year contract,re-signinging,0,5,1979,1984,,1979
1774,2/8/79,Rick Camp,1979,Braves,signed to a 1-year contract,free agency,0,1,1979,1980,,1979
1775,2/8/79,Rod Gilbreath,1979,Braves,signed to a 1-year contract,free agency,0,1,1979,1980,,1979
1779,2/19/79,Will McEnaney,1979,Cardinals,signed free agent,free agency,0,1,1979,1980,,1979
1780,2/20/79,Fred Holdsworth,1979,Tigers,signed free agent,free agency,0,1,1979,1980,,1979
1781,2/20/79,Gary Ward,1979,Twins,re-signed,re-signinging,0,1,1979,1980,,1979
1782,2/20/79,Paul Hartzell,1979,Twins,signed,free agency,0,1,1979,1980,,1979
1783,2/22/79,Dave Roberts,1979,Giants,signed free agent,free agency,0,1,1979,1980,,1979
1784,2/22/79,Fred Kendall,1979,Padres,signed free agent,free agency,0,1,1979,1980,,1979
1787,2/23/79,Peter Broberg,1979,Dodgers,signed,free agency,0,1,1979,1980,,1979
1790,2/24/79,Art Kusyner,1979,White Sox,signed free agent,free agency,0,1,1979,1980,,1979
1791,2/25/79,Al Fitzmorris,1979,Padres,signed free agent,free agency,0,1,1979,1980,,1979
