,date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
1,2/13/75,Ken Berry,1975,Indians,signed free agent,free agency,0,1,1975,1976,,1975
2,2/14/75,Lew Krausse,1975,Athletics,signed free agent,free agency,0,1,1975,1976,,1975
3,2/18/75,Bill Gogolewski,1975,White Sox,signed free agent,free agency,0,1,1975,1976,,1975
4,2/19/75,Jerry DaVanon,1975,Indians,signed free agent,free agency,0,1,1975,1976,,1975
5,2/20/75,Jerry Johnson,1975,Padres,signed free agent,free agency,0,1,1975,1976,,1975
14,3/5/75,Tony Conigliaro,1975,Red Sox,signed free agent,free agency,0,1,1975,1976,,1975
20,3/15/75,Juan Marichal,1975,Dodgers,signed free agent,free agency,0,1,1975,1976,,1975
42,4/1/75,Charlie Sands,1975,Athletics,signed free agent (date approximate),free agency,0,1,1975,1976,,1975
44,4/2/75,Sam McDowell,1975,Pirates,signed,free agency,0,1,1975,1976,,1975
54,4/5/75,Roger Nelson,1975,Athletics,signed,free agency,0,1,1975,1976,,1975
60,4/5/75,Deron Johnson,1975,White Sox,signed free agent (from Red Sox),free agency,0,1,1975,1976,,1975
62,4/6/75,Billy Grabarkewitz,1975,Athletics,signed free agent,free agency,0,1,1975,1976,,1975
72,4/10/75,Jesus Alou,1975,Mets,signed free agent,free agency,0,1,1975,1976,,1975
75,4/11/75,Claude Osteen,1975,White Sox,signed free agent,free agency,0,1,1975,1976,,1975
80,4/25/75,Eddie Watt,1975,Cubs,signed free agent,free agency,0,1,1975,1976,,1975
81,4/25/75,Bill Laxton,1975,Mets,signed,free agency,0,1,1975,1976,,1975
86,5/1/75,Jimmy Rosario,1975,Brewers,signed free agent (date approximate),free agency,0,1,1975,1976,,1975
93,5/6/75,Doug Corbett,1975,Reds,signed free agent,free agency,0,1,1975,1976,,1975
108,5/21/75,Don Hahn,1975,Cardinals,signed,free agency,0,1,1975,1976,,1975
110,5/23/75,Chuck Hartenstein,1975,Padres,signed free agent,free agency,0,1,1975,1976,,1975
131,6/11/75,Leron Lee,1975,Dodgers,signed free agent,free agency,0,1,1975,1976,,1975
144,6/15/75,Sammy Stewart,1975,Orioles,signed free agent,free agency,0,1,1975,1976,,1975
157,6/16/75,Mark Clear,1975,Angels,signed free agent,free agency,0,1,1975,1976,,1975
165,6/24/75,Earl Stephenson,1975,Braves,signed free agent,free agency,0,1,1975,1976,,1975
170,6/30/75,Bill Sudakis,1975,Indians,signed free agent,free agency,0,1,1975,1976,,1975
173,7/1/75,Tim McCarver,1975,Phillies,signed,free agency,0,1,1975,1976,,1975
186,7/22/75,Tony Pena Sr.,1975,Pirates,signed free agent (N),free agency,0,1,1975,1976,,1975
242,11/14/75,Ed Romero,1976,Brewers,signed free agent,free agency,0,1,1976,1977,,1975
248,12/3/75,Kelvin Chapman,1976,Mets,signed free agent,free agency,0,1,1976,1977,,1975
286,12/12/75,Julio Valdez,1976,Red Sox,signed,free agency,0,1,1976,1977,,1975
304,12/17/75,Luis Aguayo,1976,Phillies,signed free agent,free agency,0,1,1976,1977,,1975
316,1/1/76,Rich Chiles,1976,Astros,signed free agent (date approximate),free agency,0,1,1976,1977,,1976
317,1/4/76,Bob Oliver,1976,White Sox,signed free agent,free agency,0,1,1976,1977,,1976
318,1/6/76,Joe Hoerner,1976,Rangers,signed free agent,free agency,0,1,1976,1977,,1976
320,1/7/76,Alex Johnson,1976,Tigers,signed free agent,free agency,0,1,1976,1977,,1976
325,1/27/76,Pascual Perez,1976,Pirates,signed free agent,free agency,0,1,1976,1977,,1976
330,2/14/76,Wayne Granger,1976,Expos,signed free agent,free agency,0,1,1976,1977,,1976
335,2/24/76,Tommy Davis,1976,Yankees,signed free agent,free agency,0,1,1976,1977,,1976
340,3/3/76,Roger Nelson,1976,Royals,signed free agent,free agency,0,1,1976,1977,,1976
350,4/1/76,Bobby Tolan,1976,Phillies,signed free agent,free agency,0,1,1976,1977,,1976
357,4/3/76,Cleon Jones,1976,White Sox,signed free agent,free agency,0,1,1976,1977,,1976
373,4/9/76,Tommy Harper,1976,Orioles,signed free agent,free agency,0,1,1976,1977,,1976
377,4/10/76,Andy Messersmith,1976,Braves,signed free agent (from Dodgers),free agency,0,1,1976,1977,,1976
381,4/16/76,Orlando Sanchez,1976,Phillies,signed free agent,free agency,0,1,1976,1977,,1976
382,4/17/76,Nardi Contreras,1976,Phillies,signed free agent,free agency,0,1,1976,1977,,1976
392,5/13/76,Ray Sadecki,1976,Brewers,signed free agent,free agency,0,1,1976,1977,,1976
409,5/30/76,Mario Ramirez,1976,Mets,signed free agent,free agency,0,1,1976,1977,,1976
411,5/30/76,Teddy Martinez,1976,Reds,signed free agent (from Athletics),free agency,0,1,1976,1977,,1976
416,6/2/76,Tommy Davis,1976,Angels,signed free agent,free agency,0,1,1976,1977,,1976
452,6/21/76,Casey Parsons,1976,Giants,signed,free agency,0,1,1976,1977,,1976
460,6/28/76,Joe Decker,1976,Tigers,signed free agent,free agency,0,1,1976,1977,,1976
479,8/3/76,Carlton Fisk,1976,Red Sox,re-signed to a multi-year contract,re-signinging,0,1,1976,1977,,1976
480,8/3/76,Rick Burleson,1976,Red Sox,re-signed to a multi-year contract,re-signinging,0,1,1976,1977,,1976
482,8/11/76,Jim Lyttle,1976,Dodgers,signed,free agency,0,1,1976,1977,,1976
488,8/31/76,Rafael Santana,1976,Yankees,signed free agent,free agency,0,1,1976,1977,,1976
489,9/1/76,Cesar Tovar,1976,Yankees,signed,free agency,0,1,1976,1977,,1976
498,9/10/76,Minnie Minoso,1976,White Sox,signed free agent,free agency,0,1,1976,1977,,1976
502,9/17/76,Greg Harris,1976,Mets,signed free agent,free agency,0,1,1976,1977,,1976
676,11/6/76,Bill Campbell,1977,Red Sox,signed free agent,free agency,0,1,1977,1978,,1976
681,11/16/76,Don Baylor,1977,Angels,signed free agent,free agency,0,1,1977,1978,,1976
682,11/16/76,Buddy Bell,1977,Indians,re-signed,re-signinging,0,1,1977,1978,,1976
683,11/16/76,Jon Matlack,1977,Mets,re-signed,re-signinging,0,1,1977,1978,,1976
686,11/16/76,Gene Tenace,1977,Padres,signed free agent (from Athletics) (date 12-14 per BTR),free agency,0,1,1977,1978,,1976
687,11/17/76,Joe Rudi,1977,Angels,signed free agent,free agency,0,1,1977,1978,,1976
690,11/17/76,Gary Matthews Sr.,1977,Braves,signed free agent (from Giants),free agency,0,1,1977,1978,,1976
691,11/17/76,Dave Cash,1977,Expos,signed free agent (from Phillies),free agency,0,1,1977,1978,,1976
695,11/18/76,Don Gullett,1977,Yankees,signed free agent (from Reds),free agency,0,1,1977,1978,,1976
696,11/19/76,Wayne Garland,1977,Indians,signed free agent,free agency,0,1,1977,1978,,1976
698,11/19/76,Sal Bando,1977,Brewers,signed free agent (from Athletics),free agency,0,1,1977,1978,,1976
703,11/23/76,Doyle Alexander,1977,Rangers,signed free agent,free agency,0,1,1977,1978,,1976
704,11/24/76,Bobby Grich,1977,Angels,signed free agent,free agency,0,1,1977,1978,,1976
706,11/24/76,Steve Stone,1977,White Sox,signed free agent (from Cubs),free agency,0,1,1977,1978,,1976
708,11/26/76,Eric Soderholm,1977,White Sox,signed free agent,free agency,0,1,1977,1978,,1976
709,11/29/76,Jim Fuller,1977,Astros,signed free agent,free agency,0,1,1977,1978,,1976
712,11/29/76,Reggie Jackson,1977,Yankees,signed free agent to a 5-year contract,free agency,0,5,1977,1982,,1976
714,12/2/76,Tim Nordbrook,1977,White Sox,signed free agent,free agency,0,1,1977,1978,,1976
717,12/5/76,Royle Stillman,1977,White Sox,signed free agent,free agency,0,1,1977,1978,,1976
