"","Location","Sports_Facility_Name","Franchise_Name","League","Capacity","Year_Built"
"111","San Francisco/Oakland, California","AT&T Park","Giants ","MLB",42271,2000
"112",NA,"Candlestick Park","49ers ","NFL",70207,1960
"113",NA,"Oakland-Alamdea County Coliseum","Athletics ","MLB",35067,1966
"114",NA,"Oakland-Alamdea County Coliseum","Raiders ","NFL",63026,1966
"115",NA,"Oracle Arena","Warriors ","NBA",19596,1996
"116","San Jose, California","Buck Shaw Stadium","Earthquakes ","MLS",10300,1962
"117",NA,"HP Pavilion at San Jose","Sharks ","NHL",17562,1993
"118","Sacramento, California","Sleepy Train Arena","Kings ","NBA",17317,1988
"119","Seattle, Washington","Century Link Field","Seahawks ","NFL",67000,2002
"120",NA,"Century Link Field","Sounders FC ","MLS",35700,2002
"121",NA,"Safeco Field","Mariners ","MLB",47116,1999
"122","St. Louis, Missouri","Busch Stadium","Cardinals ","MLB",43975,2006
"123",NA,"Edward Jones Dome","Rams ","NFL",66965,1995
"124",NA,"Scottrade Center","Blues ","NHL",19150,1994
"125","Tampa/St. Petersburg, Florida","Raymond James Stadium","Buccaneers ","NFL",65857,1998
"126",NA,"St. Pete Times Forum","Lightning ","NHL",28153,1990
"127",NA,"Tropicana Field","Blue Rays ","MLB",36973,1990
"128","Toronto, Ontario, Canada","Air Canada Centre","Raptors ","NBA",19800,1989
"129",NA,"Air Canada Centre","Maple Leafs ","NHL",18800,1999
"130",NA,"BMO Field","Toronto FC ","MLS",21800,2007
"131",NA,"Rogers Centre","Blue Jays ","MLB",49539,2009
"132","Vancouver, British Columbia, Canada","Rogers Arena","Canucks ","NHL",18800,1995
"133","Washington, D.C./Landover, Maryland","FedEx Field","Redskins ","NFL",91704,1997
"134",NA,"Nationals Park","Nationals ","MLB",41888,2008
"135",NA,"RFK Stadium","D.C. United ","MLS",23865,1961
"136",NA,"Verizon Center","Wizards ","NBA",20173,1997
"137",NA,"Verizon Center","Capitals ","NHL",18277,1997
"138",NA,NA,NA,NA,NA,NA
