"","League","Variable","Facet_Type","Facet_Value","Value_Type","Source","Period","Date","Value"
"64","MLB","Estimated Franchise Value","Franchise","Baltimore Orioles","Dollars_Millions","Forbes",2012,2012-04-01,460
"65","MLB","Estimated Franchise Value","Franchise","San Diego Padres","Dollars_Millions","Forbes",2012,2012-04-01,458
"66","MLB","Estimated Franchise Value","Franchise","Miami Marlins","Dollars_Millions","Forbes",2012,2012-04-01,450
"67","MLB","Estimated Franchise Value","Franchise","Milwaukee Brewers","Dollars_Millions","Forbes",2012,2012-04-01,448
"68","MLB","Estimated Franchise Value","Franchise","Arizona Diamondbacks","Dollars_Millions","Forbes",2012,2012-04-01,447
"69","MLB","Estimated Franchise Value","Franchise","Cincinnati Reds","Dollars_Millions","Forbes",2012,2012-04-01,424
"70","MLB","Estimated Franchise Value","Franchise","Toronto Blue Jays","Dollars_Millions","Forbes",2012,2012-04-01,413
"71","MLB","Estimated Franchise Value","Franchise","Cleveland Indians","Dollars_Millions","Forbes",2012,2012-04-01,410
"72","MLB","Estimated Franchise Value","Franchise","Kansas City Royals","Dollars_Millions","Forbes",2012,2012-04-01,354
"73","MLB","Estimated Franchise Value","Franchise","Pittsburgh Pirates","Dollars_Millions","Forbes",2012,2012-04-01,336
"74","MLB","Estimated Franchise Value","Franchise","Tampa Bay Rays","Dollars_Millions","Forbes",2012,2012-04-01,323
"75","MLB","Estimated Franchise Value","Franchise","Oakland Athletics","Dollars_Millions","Forbes",2012,2012-04-01,321
"76","MLB","Franchise Sale","Franchise","Los Angeles Angels","Dollars_Millions","MLB",2003,NA,200
"77","MLB","Franchise Sale","Franchise","Los Angeles Dodgers","Dollars_Millions","MLB",2004,NA,421
"78","MLB","Franchise Sale","Franchise","Tampa Bay Rays","Dollars_Millions","MLB",2004,NA,85
"79","MLB","Franchise Sale","Franchise","Oakland Athletics","Dollars_Millions","MLB",2005,NA,180
"80","MLB","Franchise Sale","Franchise","Milwaukee Brewers","Dollars_Millions","MLB",2005,NA,220
"81","MLB","Franchise Sale","Franchise","Cincinnati Reds","Dollars_Millions","MLB",2006,NA,270
"82","MLB","Franchise Sale","Franchise","Washington Nationals","Dollars_Millions","MLB",2006,NA,450
"83","MLB","Franchise Sale","Franchise","Atlanta Braves","Dollars_Millions","MLB",2007,NA,450
"84","MLB","Franchise Sale","Franchise","Chicago Cubs","Dollars_Millions","MLB",2009,NA,900
"85","MLB","Franchise Sale","Franchise","Texas Rangers","Dollars_Millions","MLB",2010,NA,500
"86","MLB","Franchise Sale","Franchise","Houston Astros","Dollars_Millions","MLB",2011,NA,675
"87","MLB","Franchise Sale","Franchise","Los Angeles Dodgers","Dollars_Millions","MLB",2012,NA,2150
"88","MLB","Average Ticket","Franchise","Boston Red Sox","Dollars","Team Marketing Report",2012,NA,53.38
"89","MLB","Average Ticket","Franchise","New York Yankees","Dollars","Team Marketing Report",2012,NA,51.55
"90","MLB","Average Ticket","Franchise","Chicago Cubs","Dollars","Team Marketing Report",2012,NA,46.3
"91","MLB","Average Ticket","Franchise","Philadelphia Phillies","Dollars","Team Marketing Report",2012,NA,37.42
"92","MLB","Average Ticket","Franchise","Miami Marlins","Dollars","Team Marketing Report",2012,NA,29.62
"93","MLB","Average Ticket","Franchise","Detroit Tigers","Dollars","Team Marketing Report",2012,NA,31
"94","MLB","Average Ticket","Franchise","New York Mets","Dollars","Team Marketing Report",2012,NA,27.24
"95","MLB","Average Ticket","Franchise","Minnesota Twins","Dollars","Team Marketing Report",2012,NA,33.04
"96","MLB","Average Ticket","Franchise","St. Louis Cardinals","Dollars","Team Marketing Report",2012,NA,31.57
"97","MLB","Average Ticket","Franchise","Houston Astros","Dollars","Team Marketing Report",2012,NA,30.09
"98","MLB","Average Ticket","Franchise","San Francisco Giants","Dollars","Team Marketing Report",2012,NA,27.21
"99","MLB","Average Ticket","Franchise","Chicago White Sox","Dollars","Team Marketing Report",2012,NA,29
"100","MLB","Average Ticket","Franchise","Toronto Blue Jays","Dollars","Team Marketing Report",2012,NA,24.81
"101","MLB","Average Ticket","Franchise","Los Angeles Dodgers","Dollars","Team Marketing Report",2012,NA,23.22
"102","MLB","Average Ticket","Franchise","Washington Nationals","Dollars","Team Marketing Report",2012,NA,30.54
"103","MLB","Average Ticket","Franchise","Seattle Mariners","Dollars","Team Marketing Report",2012,NA,26.4
"104","MLB","Average Ticket","Franchise","Oakland Athletics","Dollars","Team Marketing Report",2012,NA,21.64
"105","MLB","Average Ticket","Franchise","Kansas City Royals","Dollars","Team Marketing Report",2012,NA,21.84
"106","MLB","Average Ticket","Franchise","Colorado Rockies","Dollars","Team Marketing Report",2012,NA,20.55
"107","MLB","Average Ticket","Franchise","Texas Rangers","Dollars","Team Marketing Report",2012,NA,20.49
"108","MLB","Average Ticket","Franchise","Baltimore Orioles","Dollars","Team Marketing Report",2012,NA,23.89
"109","MLB","Average Ticket","Franchise","Cleveland Indians","Dollars","Team Marketing Report",2012,NA,20.42
"110","MLB","Average Ticket","Franchise","Atlanta Braves","Dollars","Team Marketing Report",2012,NA,16.69
"111","MLB","Average Ticket","Franchise","Milwaukee Brewers","Dollars","Team Marketing Report",2012,NA,24.01
"112","MLB","Average Ticket","Franchise","Cincinnati Reds","Dollars","Team Marketing Report",2012,NA,20.49
"113","MLB","Average Ticket","Franchise","Los Angeles Angels","Dollars","Team Marketing Report",2012,NA,19.71
"114","MLB","Average Ticket","Franchise","Tampa Bay Rays","Dollars","Team Marketing Report",2012,NA,19.83
"115","MLB","Average Ticket","Franchise","Pittsburgh Pirates","Dollars","Team Marketing Report",2012,NA,16.11
"116","MLB","Average Ticket","Franchise","San Diego Padres","Dollars","Team Marketing Report",2012,NA,15.67
"117","MLB","Average Ticket","Franchise","Arizona Diamondbacks","Dollars","Team Marketing Report",2012,NA,15.74
"118","MLB","Average Premium Ticket","Franchise","Boston Red Sox","Dollars","Team Marketing Report",2012,NA,172.51
"119","MLB","Average Premium Ticket","Franchise","New York Yankees","Dollars","Team Marketing Report",2012,NA,305.11
"120","MLB","Average Premium Ticket","Franchise","Chicago Cubs","Dollars","Team Marketing Report",2012,NA,103.98
"121","MLB","Average Premium Ticket","Franchise","Philadelphia Phillies","Dollars","Team Marketing Report",2012,NA,79.82
"122","MLB","Average Premium Ticket","Franchise","Miami Marlins","Dollars","Team Marketing Report",2012,NA,195.81
"123","MLB","Average Premium Ticket","Franchise","Detroit Tigers","Dollars","Team Marketing Report",2012,NA,76.88
